Clearly	clear	Clearly
to	to	to
think	think	think
this	this	this
was	was	wa
much	much	much
of	of	of
a	a	a
problem	problem	problem
,	,	,
and	and	and
commended	commend	commended
himself	himself	himself
on	on	on
being	be	being
more	more	more
crooked	crook	crooked
than	than	than
other	other	other
tax	tax	tax
-paying	-pay	-paying
politicians	politician	politician
I	i	I
fight	fight	fight
like	like	like
hell	hell	hell
not	not	not
to	to	to
pay	pay	pay
a	a	a
lot	lot	lot
of	of	of
tax	tax	tax
,	,	,
and	and	and
you	you	you
know	know	know
what	what	what
?	?	?
Every	everi	Every
politician	politician	politician
probably	probabl	probably
does	doe	doe
.	.	.
I	i	I
ve	ve	ve
watched	watch	watched
others	other	others
where	where	where
they	they	they
say	say	say
,	,	,
Oh	oh	Oh
,	,	,
I	i	I
want	want	want
to	to	to
pay	pay	pay
tax	tax	tax
.	.	.
In	in	In
the	the	the
same	same	same
interview	interview	interview
,	,	,
Trump	trump	Trump
defended	defend	defended
himself	himself	himself
for	for	for
calling	call	calling
Texas	texa	Texas
Senator	senat	Senator
Ted	ted	Ted
Cruz	cruz	Cruz
a	a	a
p	p	p
ssy	ssi	ssy
,	,	,
explaining	explain	explaining
that	that	that
it	it	it
wasn	wasn	wasn
t	t	t
the	the	the
worst	worst	worst
thing	thing	thing
in	in	in
the	the	the
world	world	world
and	and	and
that	that	that
he	he	he
was	was	wa
just	just	just
having	have	having
a	a	a
good	good	good
time	time	time
.	.	.
He	he	He
also	also	also
said	said	said
that	that	that
because	becaus	because
he	he	he
stood	stood	stood
up	up	up
against	against	against
political	polit	political
correctness	correct	correctness
by	by	by
being	be	being
himself	himself	himself
and	and	and
just	just	just
saying	say	saying
whatever	whatev	whatever
batsh	batsh	batsh
t	t	t
crazy	crazi	crazy
thing	thing	thing
came	came	came
to	to	to
mind	mind	mind
,	,	,
people	peopl	people
went	went	went
out	out	out
and	and	and
voted	vote	voted
for	for	for
me	me	me
,	,	,
and	and	and
that	that	that
s	s	s
why	whi	why
we	we	we
got	got	got
,	,	,
you	you	you
know	know	know
,	,	,
the	the	the
numbers	number	number
we	we	we
did	did	did
when	when	when
talking	talk	talking
about	about	about
his	his	his
New	new	New
Hampshire	hampshir	Hampshire
victory	victori	victory
.	.	.
This	this	This
interview	interview	interview
is	is	is
hardly	hard	hardly
the	the	the
first	first	first
time	time	time
Trump	trump	Trump
has	has	ha
confessed	confess	confessed
to	to	to
not	not	not
paying	pay	paying
as	as	a
much	much	much
as	as	a
others	other	others
in	in	in
taxes	tax	tax
.	.	.
Last	last	Last
year	year	year
,	,	,
Trump	trump	Trump
said	said	said
in	in	in
an	an	an
interview	interview	interview
with	with	with
CBS	cbs	CBS
Face	face	Face
The	the	The
Nation	nation	Nation
I	i	I
fight	fight	fight
like	like	like
hell	hell	hell
to	to	to
pay	pay	pay
as	as	a
little	littl	little
as	as	a
possible	possibl	possible
for	for	for
two	two	two
reasons	reason	reason
.	.	.
Number	number	Number
one	one	one
,	,	,
I	i	I
m	m	m
a	a	a
businessman	businessman	businessman
.	.	.
And	and	And
that	that	that
s	s	s
the	the	the
way	way	way
you	you	you
re	re	re
supposed	suppos	supposed
to	to	to
do	do	do
it	it	it
.	.	.
The	the	The
other	other	other
reason	reason	reason
is	is	is
that	that	that
I	i	I
hate	hate	hate
the	the	the
way	way	way
our	our	our
government	govern	government
spends	spend	spends
our	our	our
taxes	tax	tax
.	.	.
I	i	I
hate	hate	hate
the	the	the
way	way	way
they	they	they
waste	wast	waste
our	our	our
money	money	money
.	.	.
Trillions	trillion	Trillions
and	and	and
trillions	trillion	trillion
of	of	of
dollars	dollar	dollar
of	of	of
waste	wast	waste
and	and	and
abuse	abus	abuse
.	.	.
And	and	And
I	i	I
hate	hate	hate
it	it	it
.	.	.
But	but	But
building	build	building
that	that	that
racist	racist	racist
8	8	8
billion	billion	billion
border	border	border
wall	wall	wall
isn	isn	isn
t	t	t
wasteful	wast	wasteful
?	?	?
