Every	everi	Every
parties	parti	party
.	.	.
After	after	After
four	four	four
years	year	year
,	,	,
I	i	I
ll	ll	ll
be	be	be
back	back	back
to	to	to
my	my	my
high	high	high
school	school	school
weight	weight	weight
.	.	.
He	he	He
added	ad	added
that	that	that
many	mani	many
liberals	liber	liberal
do	do	do
not	not	not
want	want	want
to	to	to
understand	understand	understand
his	his	his
view	view	view
and	and	and
immediately	immedi	immediately
accuse	accus	accuse
him	him	him
of	of	of
being	be	being
on	on	on
Trump	trump	Trump
s	s	s
side	side	side
.	.	.
WATCH	watch	WATCH
I	i	I
m	m	m
on	on	on
nobody	nobodi	nobody
s	s	s
side	side	side
.	.	.
I	i	I
m	m	m
on	on	on
the	the	the
side	side	side
of	of	of
the	the	the
rule	rule	rule
of	of	of
law	law	law
,	,	,
the	the	the
Constitution	constitut	Constitution
,	,	,
and	and	and
the	the	the
Constitution	constitut	Constitution
is	is	is
clear	clear	clear
that	that	that
if	if	if
a	a	a
president	presid	president
exercises	exercis	exercise
his	his	his
constitutional	constitut	constitutional
authority	author	authority
by	by	by
firing	fire	firing
somebody	somebodi	somebody
or	or	or
by	by	by
pardoning	pardon	pardoning
somebody	somebodi	somebody
,	,	,
that	that	that
cannot	cannot	cannot
be	be	be
the	the	the
basis	basi	basis
for	for	for
obstruction	obstruct	obstruction
of	of	of
justice	justic	justice
,	,	,
Dershowitz	dershowitz	Dershowitz
said	said	said
.	.	.
If	if	If
he	he	he
goes	goe	go
further	further	further
and	and	and
lies	lie	lie
or	or	or
tells	tell	tell
his	his	his
people	peopl	people
to	to	to
destroy	destroy	destroy
evidence	evid	evidence
,	,	,
of	of	of
course	cours	course
,	,	,
that	that	that
s	s	s
different	differ	different
.	.	.
That	that	That
s	s	s
how	how	how
Richard	richard	Richard
Nixon	nixon	Nixon
and	and	and
Bill	bill	Bill
Clinton	clinton	Clinton
got	got	got
in	in	in
trouble	troubl	trouble
,	,	,
but	but	but
President	presid	President
Trump	trump	Trump
cannot	cannot	cannot
be	be	be
charged	charg	charged
with	with	with
obstruction	obstruct	obstruction
for	for	for
simply	simpli	simply
exercising	exercis	exercising
his	his	his
Article	articl	Article
2	2	2
power	power	power
under	under	under
the	the	the
Constitution	constitut	Constitution
.	.	.
And	and	And
that	that	that
s	s	s
the	the	the
point	point	point
of	of	of
view	view	view
you	you	you
expressed	express	expressed
on	on	on
this	this	this
program	program	program
a	a	a
couple	coupl	couple
of	of	of
days	day	day
ago	ago	ago
,	,	,
co	co	co
-host	-host	-host
Steve	steve	Steve
Doocy	dooci	Doocy
added	ad	added
.	.	.
And	and	And
then	then	then
the	the	the
president	presid	president
of	of	of
the	the	the
United	unit	United
States	state	States
retweeted	retweet	retweeted
,	,	,
Hey	hey	Hey
you	you	you
should	should	should
watch	watch	watch
Alan	alan	Alan
Dershowitz	dershowitz	Dershowitz
on	on	on
Fox	fox	Fox
and	and	and
Friends	friend	Friends
make	make	make
that	that	that
case	case	case
,	,	,
but	but	but
then	then	then
your	your	your
liberal	liber	liberal
friends	friend	friend
,	,	,
their	their	their
heads	head	head
started	start	started
exploding	explod	exploding
,	,	,
and	and	and
I	i	I
understand	understand	understand
somebody	somebodi	somebody
even	even	even
suggested	suggest	suggested
that	that	that
you	you	you
re	re	re
being	be	being
paid	paid	paid
off	off	off
by	by	by
the	the	the
Trump	trump	Trump
people	peopl	people
.	.	.
Dershowitz	dershowitz	Dershowitz
mocked	mock	mocked
the	the	the
idea	idea	idea
that	that	that
he	he	he
is	is	is
being	be	being
paid	paid	paid
off	off	off
or	or	or
that	that	that
he	he	he
wants	want	want
to	to	to
become	becom	become
a	a	a
Supreme	suprem	Supreme
Court	court	Court
justice	justic	justice
at	at	at
the	the	the
age	age	age
of	of	of
79	79	79
.	.	.
He	he	He
then	then	then
mentioned	mention	mentioned
that	that	that
he	he	he
also	also	also
is	is	is
being	be	being
attacked	attack	attacked
for	for	for
his	his	his
article	articl	article
supporting	support	supporting
Trump	trump	Trump
s	s	s
decision	decis	decision
to	to	to
recognize	recogn	recognize
Jerusalem	jerusalem	Jerusalem
as	as	a
Israel	israel	Israel
s	s	s
capital	capit	capital
.	.	.
I	i	I
m	m	m
being	be	being
criticized	critic	criticized
for	for	for
that	that	that
by	by	by
people	peopl	people
because	becaus	because
that	that	that
s	s	s
what	what	what
Trump	trump	Trump
said	said	said
,	,	,
and	and	and
if	if	if
Trump	trump	Trump
said	said	said
it	it	it
,	,	,
that	that	that
means	mean	mean
Dershowitz	dershowitz	Dershowitz
can	can	can
t	t	t
say	say	say
it	it	it
because	becaus	because
that	that	that
means	mean	mean
Dershowitz	dershowitz	Dershowitz
is	is	is
on	on	on
Trump	trump	Trump
s	s	s
side	side	side
,	,	,
Dershowitz	dershowitz	Dershowitz
said	said	said
.	.	.
I	i	I
m	m	m
on	on	on
the	the	the
side	side	side
of	of	of
justice	justic	justice
and	and	and
fairness	fair	fairness
.	.	.
