Looking	look	Looking
unauthorized	unauthor	unauthorized
disclosure	disclosur	disclosure
of	of	of
which	which	which
reasonably	reason	reasonably
could	could	could
be	be	be
expected	expect	expected
to	to	to
cause	caus	cause
damage	damag	damage
to	to	to
the	the	the
national	nation	national
security	secur	security
,	,	,
according	accord	according
to	to	to
the	the	the
Government	govern	Government
Publishing	publish	Publishing
Office	offic	Office
.	.	.
While	while	While
the	the	the
documents	document	document
were	were	were
not	not	not
marked	mark	marked
as	as	a
classified	classifi	classified
before	befor	before
they	they	they
were	were	were
released	releas	released
,	,	,
some	some	some
of	of	of
the	the	the
information	inform	information
recovered	recov	recovered
in	in	in
the	the	the
emails	email	email
was	was	wa
considered	consid	considered
classified	classifi	classified
.	.	.
It	it	It
is	is	is
illegal	illeg	illegal
for	for	for
civilians	civilian	civilian
to	to	to
posses	poss	posse
or	or	or
read	read	read
classified	classifi	classified
documents	document	document
without	without	without
a	a	a
security	secur	security
clearance	clearanc	clearance
.	.	.
The	the	The
confidential	confidenti	confidential
emails	email	email
,	,	,
which	which	which
date	date	date
from	from	from
2010	2010	2010
to	to	to
2012	2012	2012
,	,	,
concern	concern	concern
discussions	discuss	discussion
with	with	with
Middle	middl	Middle
Eastern	eastern	Eastern
leaders	leader	leader
.	.	.
Dishonest	dishonest	Dishonest
despite	despit	despite
being	be	being
caught	caught	caught
multiple	multipl	multiple
times	time	time
,	,	,
Hillary	hillari	Hillary
Clinton	clinton	Clinton
is	is	is
still	still	still
in	in	in
denial	denial	denial
about	about	about
mishandling	mishandl	mishandling
classified	classifi	classified
material	materi	material
.	.	.
One	one	One
of	of	of
the	the	the
emails	email	email
has	has	ha
the	the	the
subject	subject	subject
Egyptian	egyptian	Egyptian
MFA	mfa	MFA
on	on	on
Hamas	hama	Hamas
-PLO	-plo	-PLO
talks	talk	talk
,	,	,
referring	refer	referring
to	to	to
the	the	the
Palestine	palestin	Palestine
Liberation	liber	Liberation
Organization	organ	Organization
.	.	.
The	the	The
email	email	email
is	is	is
mostly	most	mostly
redacted	redact	redacted
,	,	,
only	onli	only
mentioning	mention	mentioning
that	that	that
it	it	it
is	is	is
a	a	a
further	further	further
update	updat	update
on	on	on
Hamas	hama	Hamas
-PA	-pa	-PA
talks	talk	talk
,	,	,
referring	refer	referring
to	to	to
the	the	the
Palestinian	palestinian	Palestinian
Authority	author	Authority
.	.	.
Another	anoth	Another
four	four	four
-page	-page	-page
email	email	email
contains	contain	contains
a	a	a
completely	complet	completely
redacted	redact	redacted
call	call	call
sheet	sheet	sheet
to	to	to
prepare	prepar	prepare
Clinton	clinton	Clinton
for	for	for
an	an	an
upcoming	upcom	upcoming
call	call	call
with	with	with
Israeli	isra	Israeli
Prime	prime	Prime
Minister	minist	Minister
Benjamin	benjamin	Benjamin
Netanyahu	netanyahu	Netanyahu
.	.	.
A	a	A
call	call	call
sheet	sheet	sheet
in	in	in
another	anoth	another
2010	2010	2010
email	email	email
includes	includ	includes
notes	note	note
to	to	to
guide	guid	guide
Clinton	clinton	Clinton
through	through	through
a	a	a
call	call	call
she	she	she
would	would	would
make	make	make
to	to	to
Saudi	saudi	Saudi
Foreign	foreign	Foreign
Minister	minist	Minister
Prince	princ	Prince
Saud	saud	Saud
al	al	al
-Faisal	-faisal	-Faisal
.	.	.
The	the	The
purpose	purpos	purpose
of	of	of
the	the	the
call	call	call
was	was	wa
to	to	to
inform	inform	inform
Saud	saud	Saud
about	about	about
an	an	an
impending	impend	impending
WikiLeaks	wikileak	WikiLeaks
disclosure	disclosur	disclosure
.	.	.
This	this	This
appears	appear	appears
to	to	to
be	be	be
the	the	the
result	result	result
of	of	of
an	an	an
illegal	illeg	illegal
act	act	act
in	in	in
which	which	which
a	a	a
fully	fulli	fully
cleared	clear	cleared
intelligence	intellig	intelligence
officer	offic	officer
stole	stole	stole
information	inform	information
and	and	and
gave	gave	gave
it	it	it
to	to	to
a	a	a
website	websit	website
.	.	.
The	the	The
person	person	person
responsible	respons	responsible
will	will	will
be	be	be
prosecuted	prosecut	prosecuted
to	to	to
the	the	the
fullest	fullest	fullest
extent	extent	extent
of	of	of
the	the	the
law	law	law
,	,	,
the	the	the
call	call	call
sheet	sheet	sheet
instructed	instruct	instructed
Clinton	clinton	Clinton
to	to	to
say	say	say
.	.	.
Clinton	clinton	Clinton
was	was	wa
warning	warn	warning
the	the	the
Saudis	saudi	Saudis
the	the	the
leak	leak	leak
could	could	could
contain	contain	contain
information	inform	information
related	relat	related
to	to	to
private	privat	private
conversations	convers	conversation
with	with	with
your	your	your
government	govern	government
on	on	on
Iraq	iraq	Iraq
,	,	,
Iran	iran	Iran
,	,	,
and	and	and
Afghanistan	afghanistan	Afghanistan
,	,	,
and	and	and
asked	ask	asked
the	the	the
Saudi	saudi	Saudi
s	s	s
to	to	to
help	help	help
the	the	the
US	us	US
prevent	prevent	prevent
WikiLeaks	wikileak	WikiLeaks
from	from	from
undermining	undermin	undermining
our	our	our
mutual	mutual	mutual
interests	interest	interest
.	.	.
During	dure	During
a	a	a
congressional	congression	congressional
hearing	hear	hearing
in	in	in
2016	2016	2016
,	,	,
former	former	former
FBI	fbi	FBI
Director	director	Director
James	jame	James
Comey	comey	Comey
said	said	said
Abedin	abedin	Abedin
regularly	regular	regularly
forwarded	forward	forwarded
emails	email	email
to	to	to
Weiner	weiner	Weiner
for	for	for
him	him	him
to	to	to
print	print	print
out	out	out
for	for	for
her	her	her
so	so	so
she	she	she
could	could	could
deliver	deliv	deliver
them	them	them
to	to	to
the	the	the
secretary	secretari	secretary
of	of	of
state	state	state
.	.	.
The	the	The
emails	email	email
were	were	were
released	releas	released
in	in	in
response	respons	response
to	to	to
a	a	a
2015	2015	2015
lawsuit	lawsuit	lawsuit
filed	file	filed
by	by	by
conservative	conserv	conservative
watchdog	watchdog	watchdog
group	group	group
Judicial	judici	Judicial
Watch	watch	Watch
against	against	against
the	the	the
State	state	State
Department	depart	Department
after	after	after
it	it	it
failed	fail	failed
to	to	to
respond	respond	respond
to	to	to
a	a	a
Freedom	freedom	Freedom
of	of	of
Information	inform	Information
request	request	request
FOIA	foia	FOIA
seeking	seek	seeking
All	all	All
emails	email	email
of	of	of
official	offici	official
State	state	State
Department	depart	Department
business	busi	business
received	receiv	received
or	or	or
sent	sent	sent
by	by	by
former	former	former
Deputy	deputi	Deputy
Chief	chief	Chief
of	of	of
Staff	staff	Staff
Huma	huma	Huma
Abedin	abedin	Abedin
from	from	from
January	januari	January
1	1	1
,	,	,
2009	2009	2009
through	through	through
February	februari	February
1	1	1
,	,	,
2013	2013	2013
using	use	using
a	a	a
non	non	non
-	-	-
state	state	state
.	.	.
gov	gov	gov
email	email	email
address	address	address
.	.	.
In	in	In
a	a	a
statement	statement	statement
issued	issu	issued
Friday	friday	Friday
,	,	,
Judicial	judici	Judicial
Watch	watch	Watch
President	presid	President
Tom	tom	Tom
Fitton	fitton	Fitton
called	call	called
the	the	the
release	releas	release
a	a	a
major	major	major
victory	victori	victory
,	,	,
adding	ad	adding
that	that	that
it	it	it
was	was	wa
no	no	no
surprise	surpris	surprise
there	there	there
were	were	were
classified	classifi	classified
documents	document	document
on	on	on
Weiner	weiner	Weiner
s	s	s
computer	comput	computer
.	.	.
It	it	It
will	will	will
be	be	be
in	in	in
keeping	keep	keeping
with	with	with
our	our	our
past	past	past
experience	experi	experience
that	that	that
Abedin	abedin	Abedin
s	s	s
emails	email	email
on	on	on
Weiner	weiner	Weiner
s	s	s
laptop	laptop	laptop
will	will	will
include	includ	include
classified	classifi	classified
and	and	and
other	other	other
sensitive	sensit	sensitive
materials	materi	material
,	,	,
Fitton	fitton	Fitton
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
That	that	That
these	these	these
government	govern	government
docs	doc	doc
were	were	were
on	on	on
Anthony	anthoni	Anthony
Weiner	weiner	Weiner
s	s	s
laptop	laptop	laptop
dramatically	dramat	dramatically
illustrates	illustr	illustrates
the	the	the
need	need	need
for	for	for
the	the	the
Justice	justic	Justice
Department	depart	Department
to	to	to
finally	final	finally
do	do	do
a	a	a
serious	serious	serious
investigation	investig	investigation
of	of	of
Hillary	hillari	Hillary
Clinton	clinton	Clinton
s	s	s
and	and	and
Huma	huma	Huma
Abedin	abedin	Abedin
s	s	s
obvious	obvious	obvious
violations	violat	violation
of	of	of
law	law	law
.	.	.
The	the	The
emails	email	email
were	were	were
discovered	discov	discovered
on	on	on
Weiner	weiner	Weiner
s	s	s
laptop	laptop	laptop
during	dure	during
an	an	an
FBI	fbi	FBI
investigation	investig	investigation
into	into	into
allegations	alleg	allegation
that	that	that
he	he	he
engaged	engag	engaged
in	in	in
sexting	sext	sexting
with	with	with
a	a	a
15	15	15
-year-old	-year-old	-year-old
girl	girl	girl
.	.	.
In	in	In
September	septemb	September
,	,	,
Weiner	weiner	Weiner
was	was	wa
sentenced	sentenc	sentenced
to	to	to
21	21	21
months	month	month
in	in	in
prison	prison	prison
after	after	after
he	he	he
pleaded	plead	pleaded
guilty	guilti	guilty
to	to	to
sending	send	sending
obscene	obscen	obscene
material	materi	material
to	to	to
a	a	a
minor	minor	minor
.	.	.
The	the	The
discovery	discoveri	discovery
of	of	of
the	the	the
emails	email	email
led	led	led
Comey	comey	Comey
to	to	to
announce	announc	announce
that	that	that
the	the	the
FBI	fbi	FBI
was	was	wa
reopening	reopen	reopening
an	an	an
investigation	investig	investigation
into	into	into
Clinton	clinton	Clinton
s	s	s
use	use	use
of	of	of
a	a	a
private	privat	private
email	email	email
server	server	server
11	11	11
days	day	day
before	befor	before
the	the	the
2016	2016	2016
presidential	presidenti	presidential
election	elect	election
.	.	.
Clinton	clinton	Clinton
said	said	said
the	the	the
announcement	announc	announcement
contributed	contribut	contributed
to	to	to
her	her	her
loss	loss	loss
to	to	to
Donald	donald	Donald
Trump	trump	Trump
See	see	See
more	more	more
at	at	at
RTLast	rtlast	RTLast
year	year	year
,	,	,
in	in	in
effort	effort	effort
to	to	to
shore	shore	shore
-up	-up	-up
Clinton	clinton	Clinton
s	s	s
crumbling	crumbl	crumbling
reputation	reput	reputation
for	for	for
being	be	being
truthful	truth	truthful
to	to	to
the	the	the
public	public	public
,	,	,
her	her	her
campaign	campaign	campaign
published	publish	published
a	a	a
bizarre	bizarr	bizarre
4	4	4
,	,	,
000	000	000
-word	-word	-word
fact	fact	fact
sheet	sheet	sheet
on	on	on
the	the	the
Clinton	clinton	Clinton
campaign	campaign	campaign
website	websit	website
.	.	.
As	as	As
it	it	it
turned	turn	turned
out	out	out
,	,	,
Clinton	clinton	Clinton
s	s	s
fact	fact	fact
sheet	sheet	sheet
was	was	wa
riddled	riddl	riddled
with	with	with
numerous	numer	numerous
false	fals	false
statements	statement	statement
and	and	and
other	other	other
half	half	half
-truths	-truth	-truths
,	,	,
including	includ	including
a	a	a
lie	lie	lie
that	that	that
the	the	the
FBI	fbi	FBI
was	was	wa
conducting	conduct	conducting
a	a	a
security	secur	security
review	review	review
when	when	when
it	it	it
was	was	wa
in	in	in
fact	fact	fact
conducting	conduct	conducting
an	an	an
investigation	investig	investigation
,	,	,
and	and	and
that	that	that
she	she	she
never	never	never
sent	sent	sent
or	or	or
received	receiv	received
classified	classifi	classified
information	inform	information
on	on	on
her	her	her
email	email	email
account	account	account
.	.	.
This	this	This
latest	latest	latest
Weiner	weiner	Weiner
revelation	revel	revelation
is	is	is
just	just	just
another	anoth	another
devastating	devast	devastating
blow	blow	blow
to	to	to
an	an	an
already	alreadi	already
damaged	damag	damaged
political	polit	political
brand	brand	brand
.	.	.
Could	could	Could
Clinton	clinton	Clinton
mount	mount	mount
a	a	a
2020	2020	2020
run	run	run
?	?	?
It	it	It
s	s	s
highly	high	highly
unlikely	unlik	unlikely
.	.	.
READ	read	READ
MORE	more	MORE
HILLARY	hillari	HILLARY
NEWS	news	NEWS
AT	at	AT
21st	21st	21st
Century	centuri	Century
Wire	wire	Wire
Clinton	clinton	Clinton
FilesSUPPORT	filessupport	FilesSUPPORT
21WIRE	21wire	21WIRE
SUBSCRIBE	subscrib	SUBSCRIBE
BECOME	becom	BECOME
A	a	A
MEMBER	member	MEMBER
@21WIRE	@21wire	@21WIRE
.	.	.
TV	tv	TV
