Warning	warn	Warning
after	after	after
stabbing	stab	stabbing
the	the	the
Israeli	isra	Israeli
youth	youth	youth
while	while	while
his	his	his
accomplice	accomplic	accomplice
was	was	wa
caught	caught	caught
after	after	after
he	he	he
ran	ran	ran
away	away	away
.	.	.
She	she	She
said	said	said
the	the	the
two	two	two
Israeli	isra	Israeli
victims	victim	victim
are	are	are
minors	minor	minor
.	.	.
Israel	israel	Israel
s	s	s
Channel	channel	Channel
10	10	10
TV	tv	TV
reported	report	reported
that	that	that
Israeli	isra	Israeli
forces	forc	force
shot	shot	shot
one	one	one
of	of	of
the	the	the
Palestinians	palestinian	Palestinians
after	after	after
the	the	the
attack	attack	attack
Monday	monday	Monday
afternoon	afternoon	afternoon
.	.	.
Eli	eli	Eli
Bin	bin	Bin
of	of	of
Israel	israel	Israel
s	s	s
emergency	emerg	emergency
service	servic	service
said	said	said
the	the	the
two	two	two
Israelis	isra	Israelis
and	and	and
the	the	the
Palestinian	palestinian	Palestinian
attacker	attack	attacker
were	were	were
treated	treat	treated
for	for	for
injuries	injuri	injury
.	.	.
The	the	The
attack	attack	attack
was	was	wa
in	in	in
Pisgat	pisgat	Pisgat
Zeev	zeev	Zeev
on	on	on
the	the	the
outskirts	outskirt	outskirt
of	of	of
Jerusalem	jerusalem	Jerusalem
.	.	.
It	it	It
was	was	wa
the	the	the
latest	latest	latest
in	in	in
a	a	a
rash	rash	rash
of	of	of
Palestinian	palestinian	Palestinian
attacks	attack	attack
against	against	against
Israelis	isra	Israelis
.	.	.
___2	___2	___2
45	45	45
p	p	p
.	.	.
m	m	m
.	.	.
Israeli	isra	Israeli
police	polic	police
say	say	say
a	a	a
Palestinian	palestinian	Palestinian
woman	woman	woman
has	has	ha
lightly	light	lightly
wounded	wound	wounded
a	a	a
police	polic	police
officer	offic	officer
in	in	in
a	a	a
stabbing	stab	stabbing
attack	attack	attack
in	in	in
Jerusalem	jerusalem	Jerusalem
.	.	.
Police	polic	Police
spokeswoman	spokeswoman	spokeswoman
Luba	luba	Luba
Samri	samri	Samri
says	say	say
the	the	the
officer	offic	officer
shot	shot	shot
and	and	and
wounded	wound	wounded
the	the	the
woman	woman	woman
,	,	,
whose	whose	whose
condition	condit	condition
was	was	wa
not	not	not
immediately	immedi	immediately
known	known	known
.	.	.
Samri	samri	Samri
says	say	say
the	the	the
attack	attack	attack
took	took	took
place	place	place
near	near	near
Israeli	isra	Israeli
police	polic	police
headquarters	headquart	headquarters
,	,	,
in	in	in
an	an	an
area	area	area
between	between	between
the	the	the
city	citi	city
s	s	s
predominantly	predomin	predominantly
Arab	arab	Arab
eastern	eastern	eastern
district	district	district
and	and	and
the	the	the
predominantly	predomin	predominantly
Jewish	jewish	Jewish
western	western	western
district	district	district
.	.	.
___9	___9	___9
15	15	15
a	a	a
.	.	.
m	m	m
.	.	.
Israeli	isra	Israeli
police	polic	police
are	are	are
reporting	report	reporting
that	that	that
a	a	a
Palestinian	palestinian	Palestinian
man	man	man
attacked	attack	attacked
an	an	an
Israeli	isra	Israeli
officer	offic	officer
with	with	with
a	a	a
knife	knife	knife
and	and	and
was	was	wa
shot	shot	shot
dead	dead	dead
by	by	by
police	polic	police
.	.	.
Police	polic	Police
said	said	said
the	the	the
attack	attack	attack
early	earli	early
Monday	monday	Monday
took	took	took
place	place	place
near	near	near
a	a	a
gate	gate	gate
of	of	of
Jerusalem	jerusalem	Jerusalem
s	s	s
walled	wall	walled
Old	old	Old
City	citi	City
on	on	on
the	the	the
predominantly	predomin	predominantly
Arab	arab	Arab
eastern	eastern	eastern
side	side	side
of	of	of
the	the	the
city	citi	city
.	.	.
Israeli	isra	Israeli
police	polic	police
spokeswoman	spokeswoman	spokeswoman
Luba	luba	Luba
Samri	samri	Samri
says	say	say
border	border	border
police	polic	police
officers	offic	officer
ordered	order	ordered
the	the	the
Palestinian	palestinian	Palestinian
to	to	to
take	take	take
his	his	his
hand	hand	hand
out	out	out
of	of	of
his	his	his
pocket	pocket	pocket
.	.	.
She	she	She
said	said	said
the	the	the
man	man	man
then	then	then
attacked	attack	attacked
the	the	the
officer	offic	officer
with	with	with
a	a	a
knife	knife	knife
,	,	,
but	but	but
he	he	he
was	was	wa
wearing	wear	wearing
a	a	a
protective	protect	protective
vest	vest	vest
and	and	and
was	was	wa
not	not	not
injured	injur	injured
.	.	.
The	the	The
attack	attack	attack
comes	come	come
amid	amid	amid
a	a	a
recent	recent	recent
wave	wave	wave
of	of	of
Israeli	isra	Israeli
-Palestinian	-palestinian	-Palestinian
violence	violenc	violence
,	,	,
marked	mark	marked
primarily	primarili	primarily
by	by	by
Palestinian	palestinian	Palestinian
stabbing	stab	stabbing
and	and	and
shooting	shoot	shooting
attacks	attack	attack
.	.	.
At	at	At
least	least	least
25	25	25
Palestinians	palestinian	Palestinians
,	,	,
including	includ	including
nine	nine	nine
attackers	attack	attacker
,	,	,
have	have	have
been	been	been
killed	kill	killed
by	by	by
Israeli	isra	Israeli
forces	forc	force
,	,	,
while	while	while
five	five	five
Israelis	isra	Israelis
have	have	have
been	been	been
killed	kill	killed
in	in	in
attacks	attack	attack
.	.	.
Via	via	Via
US	us	US
NewsHere	newsher	NewsHere
is	is	is
the	the	the
dramatic	dramat	dramatic
video	video	video
showing	show	showing
the	the	the
stabbing	stab	stabbing
of	of	of
Israeli	isra	Israeli
police	polic	police
officers	offic	officer
