Well	well	Well
than	than	than
the	the	the
care	care	care
of	of	of
her	her	her
DC	dc	DC
residence	resid	residence
,	,	,
known	known	known
as	as	a
Whitehaven	whitehaven	Whitehaven
,	,	,
to	to	to
Santos	santo	Santos
.	.	.
She	she	She
expected	expect	expected
the	the	the
Filipino	filipino	Filipino
immigrant	immigr	immigrant
to	to	to
handle	handl	handle
state	state	state
secrets	secret	secret
,	,	,
further	further	further
opening	open	opening
the	the	the
Democratic	democrat	Democratic
presidential	presidenti	presidential
nominee	nomine	nominee
to	to	to
criticism	critic	criticism
that	that	that
she	she	she
played	play	played
fast	fast	fast
and	and	and
loose	loos	loose
with	with	with
national	nation	national
security	secur	security
.	.	.
Clinton	clinton	Clinton
would	would	would
first	first	first
receive	receiv	receive
highly	high	highly
sensitive	sensit	sensitive
e	e	e
-mails	-mail	-mails
from	from	from
top	top	top
aides	aid	aide
at	at	at
the	the	the
State	state	State
Department	depart	Department
and	and	and
then	then	then
request	request	request
that	that	that
they	they	they
,	,	,
in	in	in
turn	turn	turn
,	,	,
forward	forward	forward
the	the	the
messages	messag	message
and	and	and
any	ani	any
attached	attach	attached
documents	document	document
to	to	to
Santos	santo	Santos
to	to	to
print	print	print
out	out	out
for	for	for
her	her	her
at	at	at
the	the	the
home	home	home
.	.	.
Among	among	Among
other	other	other
things	thing	thing
,	,	,
Clinton	clinton	Clinton
requested	request	requested
Santos	santo	Santos
print	print	print
out	out	out
drafts	draft	draft
of	of	of
her	her	her
speeches	speech	speech
,	,	,
confidential	confidenti	confidential
memos	memo	memo
and	and	and
call	call	call
sheets	sheet	sheet
background	background	background
information	inform	information
and	and	and
talking	talk	talking
points	point	point
prepared	prepar	prepared
for	for	for
the	the	the
secretary	secretari	secretary
of	of	of
state	state	state
in	in	in
advance	advanc	advance
of	of	of
a	a	a
phone	phone	phone
call	call	call
with	with	with
a	a	a
foreign	foreign	foreign
head	head	head
of	of	of
state	state	state
.	.	.
Pls	pls	Pls
ask	ask	ask
Marina	marina	Marina
to	to	to
print	print	print
for	for	for
me	me	me
in	in	in
am	am	am
,	,	,
Clinton	clinton	Clinton
e	e	e
-mailed	-mail	-mailed
top	top	top
aide	aid	aide
Huma	huma	Huma
Abedin	abedin	Abedin
regarding	regard	regarding
a	a	a
redacted	redact	redacted
2011	2011	2011
message	messag	message
marked	mark	marked
sensitive	sensit	sensitive
but	but	but
unclassified	unclassifi	unclassified
.	.	.
In	in	In
a	a	a
classified	classifi	classified
2012	2012	2012
e	e	e
-mail	-mail	-mail
dealing	deal	dealing
with	with	with
the	the	the
new	new	new
president	presid	president
of	of	of
Malawi	malawi	Malawi
,	,	,
another	anoth	another
Clinton	clinton	Clinton
aide	aid	aide
,	,	,
Monica	monica	Monica
Hanley	hanley	Hanley
,	,	,
advised	advis	advised
Clinton	clinton	Clinton
,	,	,
We	we	We
can	can	can
ask	ask	ask
Marina	marina	Marina
to	to	to
print	print	print
this	this	this
.	.	.
Revisions	revis	Revisions
to	to	to
the	the	the
Iran	iran	Iran
points	point	point
was	was	wa
the	the	the
subject	subject	subject
line	line	line
of	of	of
a	a	a
classified	classifi	classified
April	april	April
2012	2012	2012
e	e	e
-mail	-mail	-mail
to	to	to
Clinton	clinton	Clinton
from	from	from
Hanley	hanley	Hanley
.	.	.
In	in	In
it	it	it
,	,	,
the	the	the
text	text	text
reads	read	read
,	,	,
Marina	marina	Marina
is	is	is
trying	tri	trying
to	to	to
print	print	print
for	for	for
you	you	you
.	.	.
Both	both	Both
classified	classifi	classified
e	e	e
-mails	-mail	-mails
were	were	were
marked	mark	marked
confidential	confidenti	confidential
,	,	,
the	the	the
tier	tier	tier
below	below	below
secret	secret	secret
or	or	or
top	top	top
secret	secret	secret
.	.	.
Santos	santo	Santos
also	also	also
had	had	had
access	access	access
to	to	to
a	a	a
highly	high	highly
secure	secur	secure
room	room	room
called	call	called
an	an	an
SCIF	scif	SCIF
sensitive	sensit	sensitive
compartmented	compart	compartmented
information	inform	information
facility	facil	facility
that	that	that
diplomatic	diplomat	diplomatic
security	secur	security
agents	agent	agent
set	set	set
up	up	up
at	at	at
Whitehaven	whitehaven	Whitehaven
,	,	,
according	accord	according
to	to	to
FBI	fbi	FBI
notes	note	note
from	from	from
an	an	an
interview	interview	interview
with	with	with
Abedin	abedin	Abedin
.	.	.
From	from	From
within	within	within
the	the	the
SCIF	scif	SCIF
,	,	,
Santos	santo	Santos
who	who	who
had	had	had
no	no	no
clearance	clearanc	clearance
collected	collect	collected
documents	document	document
from	from	from
the	the	the
secure	secur	secure
facsimile	facsimil	facsimile
machine	machin	machine
for	for	for
Clinton	clinton	Clinton
,	,	,
the	the	the
FBI	fbi	FBI
notes	note	note
revealed	reveal	revealed
.	.	.
Read	read	Read
more	more	more
NYP	nyp	NYP
