Hollywood	hollywood	Hollywood
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
July	juli	July
26	26	26
,	,	,
2017	2017	2017
.	.	.
victory	victori	victory
and	and	and
cannot	cannot	cannot
be	be	be
burdened	burden	burdened
with	with	with
the	the	the
tremendous	tremend	tremendous
medical	medic	medical
costs	cost	cost
and	and	and
disruption	disrupt	disruption
that	that	that
transgender	transgend	transgender
in	in	in
the	the	the
military	militari	military
would	would	would
entail	entail	entail
.	.	.

Thank	thank	Thank
you	you	you
Donald	donald	Donald
J	j	J
.	.	.

Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
July	juli	July
26	26	26
,	,	,
2017The	2017the	2017The
news	news	news
spurred	spur	spurred
some	some	some
stars	star	star
to	to	to
viciously	vicious	viciously
attack	attack	attack
the	the	the
president	presid	president
,	,	,
with	with	with
some	some	some
calling	call	calling
Trump	trump	Trump
a	a	a
cruel	cruel	cruel
bigot	bigot	bigot
.	.	.

-For	-for	-For
entire	entir	entire
story	stori	story
BreitbartStar	breitbartstar	BreitbartStar
Trek	trek	Trek
actor	actor	actor
and	and	and
gay	gay	gay
activist	activist	activist
George	georg	George
Takei	takei	Takei
sent	sent	sent
what	what	what
appeared	appear	appeared
to	to	to
be	be	be
a	a	a
threat	threat	threat
to	to	to
Trump	trump	Trump
,	,	,
warning	warn	warning
that	that	that
he	he	he
just	just	just
pissed	piss	pissed
off	off	off
the	the	the
wrong	wrong	wrong
community	communiti	community
and	and	and
said	said	said
the	the	the
president	presid	president
will	will	will
regret	regret	regret
this	this	this
action	action	action
.	.	.
Donald	donald	Donald
With	with	With
your	your	your
ban	ban	ban
on	on	on
trans	tran	trans
people	peopl	people
from	from	from
the	the	the
military	militari	military
,	,	,
you	you	you
are	are	are
on	on	on
notice	notic	notice
that	that	that
you	you	you
just	just	just
pissed	piss	pissed
off	off	off
the	the	the
wrong	wrong	wrong
community	communiti	community
.	.	.

You	you	You
will	will	will
regret	regret	regret
it	it	it
.	.	.

George	georg	George
Takei	takei	Takei
@GeorgeTakei	@georgetakei	@GeorgeTakei
July	juli	July
26	26	26
,	,	,
2017Takei	2017takei	2017Takei
also	also	also
tweeted	tweet	tweeted
History	histori	History
shall	shall	shall
record	record	record
that	that	that
you	you	you
are	are	are
not	not	not
only	onli	only
the	the	the
stupidest	stupidest	stupidest
,	,	,
most	most	most
incompetent	incompet	incompetent
president	presid	president
ever	ever	ever
,	,	,
but	but	but
also	also	also
the	the	the
cruelest	cruelest	cruelest
and	and	and
pettiest	pettiest	pettiest
.	.	.

#Shame.	#shame.	#Shame.

The	the	The
actor	actor	actor
also	also	also
issued	issu	issued
a	a	a
call	call	call
to	to	to
action	action	action
Invidious	invidi	Invidious
discrimination	discrimin	discrimination
against	against	against
any	ani	any
group	group	group
must	must	must
be	be	be
opposed	oppos	opposed
by	by	by
all	all	all
.	.	.

Straight	straight	Straight
Cis	cis	Cis
allies	alli	ally
Will	will	Will
you	you	you
stand	stand	stand
with	with	with
LGBTs	lgbts	LGBTs
?	?	?

#TransRightsAreHumanRights	#transrightsarehumanright	#TransRightsAreHumanRights
George	georg	George
Takei	takei	Takei
@GeorgeTakei	@georgetakei	@GeorgeTakei
July	juli	July
26	26	26
,	,	,
2017Not	2017not	2017Not
funny	funni	funny
actor	actor	actor
comedian	comedian	comedian
Seth	seth	Seth
Rogan	rogan	Rogan
went	went	went
after	after	after
President	presid	President
Trump	trump	Trump
s	s	s
daughter	daughter	daughter
Ivanka	ivanka	Ivanka
on	on	on
Twitter	twitter	Twitter
because	becaus	because
,	,	,
of	of	of
course	cours	course
.	.	.

Remember	rememb	Remember
when	when	when
Americans	american	Americans
blamed	blame	blamed
Chelsea	chelsea	Chelsea
for	for	for
Benghazi	benghazi	Benghazi
or	or	or
for	for	for
her	her	her
the	the	the
victims	victim	victim
of	of	of
her	her	her
serial	serial	serial
rapist	rapist	rapist
father	father	father
?	?	?
Loudmouth	loudmouth	Loudmouth
actor	actor	actor
,	,	,
filmmaker	filmmak	filmmaker
and	and	and
producer	produc	producer
Rob	rob	Rob
Reiner	reiner	Reiner
,	,	,
aka	aka	aka
Meathead	meathead	Meathead
fired	fire	fired
off	off	off
another	anoth	another
one	one	one
in	in	in
a	a	a
series	seri	series
hateful	hate	hateful
tweets	tweet	tweet
to	to	to
President	presid	President
Trump	trump	Trump
since	sinc	since
he	he	he
took	took	took
office	offic	office
Not	not	Not
allowing	allow	allowing
transgender	transgend	transgender
people	peopl	people
to	to	to
serve	serv	serve
in	in	in
military	militari	military
,	,	,
DT	dt	DT
again	again	again
shows	show	show
astounding	astound	astounding
ignorance	ignor	ignorance
bigotry	bigotri	bigotry
.	.	.

Simply	simpli	Simply
put	put	put
DT	dt	DT
is	is	is
a	a	a
hateful	hate	hateful
human	human	human
being	be	being
.	.	.

Rob	rob	Rob
Reiner	reiner	Reiner
@robreiner	@robrein	@robreiner
July	juli	July
26	26	26
,	,	,
2017Leftist	2017leftist	2017Leftist
actress	actress	actress
and	and	and
vocal	vocal	vocal
Trump	trump	Trump
hater	hater	hater
Debra	debra	Debra
Messing	mess	Messing
came	came	came
up	up	up
with	with	with
a	a	a
very	veri	very
clever	clever	clever
little	littl	little
saying	say	saying
.	.	.

She	she	She
was	was	wa
clearly	clear	clearly
hoping	hope	hoping
to	to	to
make	make	make
her	her	her
hashtag	hashtag	hashtag
trend	trend	trend
.	.	.

It	it	It
didn	didn	didn
t	t	t
#MakingAmericaDiscriminateAgain	#makingamericadiscriminateagain	#MakingAmericaDiscriminateAgain
https://t.co/TX6HuIuHwD	https://t.co/tx6huiuhwd	https://t.co/TX6HuIuHwD
Debra	debra	Debra
Messing	mess	Messing
@DebraMessing	@debramess	@DebraMessing
July	juli	July
26	26	26
,	,	,
2017Lena	2017lena	2017Lena
Dunham	dunham	Dunham
,	,	,
the	the	the
not	not	not
funny	funni	funny
comedian	comedian	comedian
who	who	who
admitted	admit	admitted
to	to	to
sexually	sexual	sexually
abusing	abus	abusing
her	her	her
younger	younger	younger
sister	sister	sister
tweets	tweet	tweet
words	word	word
of	of	of
comfort	comfort	comfort
to	to	to
transgenders	transgend	transgenders
following	follow	following
the	the	the
announcement	announc	announcement
of	of	of
President	presid	President
Trump	trump	Trump
s	s	s
new	new	new
transgender	transgend	transgender
policy	polici	policy
.	.	.

Who	who	Who
better	better	better
to	to	to
speak	speak	speak
out	out	out
on	on	on
behalf	behalf	behalf
of	of	of
transgenders	transgend	transgenders
than	than	than
a	a	a
pedophile	pedophil	pedophile
,	,	,
Hillary	hillari	Hillary
-loving	-love	-loving
Hollywood	hollywood	Hollywood
lib	lib	lib
?	?	?
Hey	hey	Hey
trans	tran	trans
teens	teen	teen
this	this	this
man	man	man
does	doe	doe
not	not	not
represent	repres	represent
the	the	the
overwhelming	overwhelm	overwhelming
love	love	love
,	,	,
support	support	support
and	and	and
pride	pride	pride
waiting	wait	waiting
for	for	for
you	you	you
when	when	when
you	you	you
step	step	step
out	out	out
into	into	into
the	the	the
world	world	world
.	.	.

Lena	lena	Lena
Dunham	dunham	Dunham
@lenadunham	@lenadunham	@lenadunham
July	juli	July
26	26	26
,	,	,
2017	2017	2017

