These	these	These
No	no	No
.	.	.
1	1	1
15	15	15
-cv-00684	-cv-00684	-cv-00684
after	after	after
it	it	it
failed	fail	failed
to	to	to
respond	respond	respond
to	to	to
a	a	a
March	march	March
18	18	18
Freedom	freedom	Freedom
of	of	of
Information	inform	Information
Act	act	Act
FOIA	foia	FOIA
request	request	request
seeking	seek	seeking
All	all	All
emails	email	email
of	of	of
official	offici	official
State	state	State
Department	depart	Department
business	busi	business
received	receiv	received
or	or	or
sent	sent	sent
by	by	by
former	former	former
Deputy	deputi	Deputy
Chief	chief	Chief
of	of	of
Staff	staff	Staff
Huma	huma	Huma
Abedin	abedin	Abedin
from	from	from
January	januari	January
1	1	1
,	,	,
2009	2009	2009
through	through	through
February	februari	February
1	1	1
,	,	,
2013	2013	2013
using	use	using
a	a	a
non	non	non
-	-	-
state	state	state
.	.	.
gov	gov	gov
email	email	email
address	address	address
.	.	.
The	the	The
new	new	new
documents	document	document
show	show	show
that	that	that
Hillary	hillari	Hillary
Clinton	clinton	Clinton
used	use	used
the	the	the
clintonemail	clintonemail	clintonemail
.	.	.
com	com	com
system	system	system
to	to	to
ask	ask	ask
Huma	huma	Huma
Abedin	abedin	Abedin
also	also	also
on	on	on
a	a	a
non	non	non
-state	-state	-state
.	.	.
gov	gov	gov
email	email	email
account	account	account
to	to	to
print	print	print
two	two	two
March	march	March
2011	2011	2011
emails	email	email
,	,	,
which	which	which
were	were	were
sent	sent	sent
from	from	from
former	former	former
British	british	British
Prime	prime	Prime
Minister	minist	Minister
Tony	toni	Tony
Blair	blair	Blair
using	use	using
the	the	the
moniker	monik	moniker
aclb	aclb	aclb
to	to	to
Jake	jake	Jake
Sullivan	sullivan	Sullivan
on	on	on
Sullivan	sullivan	Sullivan
s	s	s
non	non	non
-state	-state	-state
.	.	.
gov	gov	gov
email	email	email
account	account	account
.	.	.
The	the	The
Obama	obama	Obama
State	state	State
Department	depart	Department
redacted	redact	redacted
the	the	the
Blair	blair	Blair
emails	email	email
under	under	under
Exemption	exempt	Exemption
b	b	b
1	1	1
which	which	which
allows	allow	allows
the	the	the
withholding	withhold	withholding
of	of	of
classified	classifi	classified
material	materi	material
.	.	.
The	the	The
material	materi	material
is	is	is
marked	mark	marked
as	as	a
being	be	being
classified	classifi	classified
as	as	a
Foreign	foreign	Foreign
government	govern	government
information	inform	information
and	and	and
foreign	foreign	foreign
relations	relat	relation
or	or	or
foreign	foreign	foreign
activities	activ	activity
of	of	of
the	the	the
US	us	US
,	,	,
including	includ	including
confidential	confidenti	confidential
sources	sourc	source
.	.	.
Another	anoth	Another
email	email	email
shows	show	show
that	that	that
Clinton	clinton	Clinton
wanted	want	wanted
to	to	to
know	know	know
how	how	how
meetings	meet	meeting
in	in	in
Washington	washington	Washington
,	,	,
including	includ	including
a	a	a
four	four	four
-hour	-hour	-hour
meeting	meet	meeting
concerning	concern	concerning
America	america	America
s	s	s
war	war	war
on	on	on
Libya	libya	Libya
,	,	,
would	would	would
impact	impact	impact
her	her	her
Hampton	hampton	Hampton
vacation	vacat	vacation
.	.	.
Responding	respond	Responding
to	to	to
an	an	an
email	email	email
that	that	that
details	detail	detail
the	the	the
sensitive	sensit	sensitive
meetings	meet	meeting
in	in	in
DC	dc	DC
,	,	,
Clinton	clinton	Clinton
emails	email	email
Abedin	abedin	Abedin
on	on	on
August	august	August
26	26	26
,	,	,
2011	2011	2011
,	,	,
Ok	ok	Ok
.	.	.
What	what	What
time	time	time
would	would	would
I	i	I
get	get	get
back	back	back
to	to	to
Hamptons	hampton	Hamptons
?	?	?
Again	again	Again
,	,	,
this	this	this
email	email	email
discussion	discuss	discussion
takes	take	take
place	place	place
on	on	on
non	non	non
-state	-state	-state
.	.	.
gov	gov	gov
email	email	email
accounts	account	account
.	.	.
The	the	The
documents	document	document
also	also	also
include	includ	include
advice	advic	advice
to	to	to
Clinton	clinton	Clinton
on	on	on
Libya	libya	Libya
from	from	from
Sidney	sidney	Sidney
Blumenthal	blumenth	Blumenthal
,	,	,
a	a	a
Clinton	clinton	Clinton
Foundation	foundat	Foundation
employee	employe	employee
who	who	who
,	,	,
according	accord	according
to	to	to
a	a	a
Judicial	judici	Judicial
Watch	watch	Watch
investigative	investig	investigative
report	report	report
,	,	,
also	also	also
had	had	had
business	busi	business
interests	interest	interest
in	in	in
Libya	libya	Libya
.	.	.
Clinton	clinton	Clinton
wanted	want	wanted
Blumenthal	blumenth	Blumenthal
s	s	s
March	march	March
9	9	9
,	,	,
2011	2011	2011
,	,	,
Libya	libya	Libya
memo	memo	memo
to	to	to
be	be	be
printed	print	printed
without	without	without
any	ani	any
identifiers	identifi	identifier
.	.	.
The	the	The
newly	newli	newly
released	releas	released
Abedin	abedin	Abedin
emails	email	email
include	includ	include
a	a	a
lengthy	lengthi	lengthy
exchange	exchang	exchange
giving	give	giving
precise	precis	precise
details	detail	detail
of	of	of
Clinton	clinton	Clinton
s	s	s
schedule	schedul	schedule
using	use	using
unsecured	unsecur	unsecured
government	govern	government
emails	email	email
.	.	.
The	the	The
email	email	email
from	from	from
Lona	lona	Lona
J	j	J
.	.	.
Valmoro	valmoro	Valmoro
,	,	,
former	former	former
Special	special	Special
Assistant	assist	Assistant
to	to	to
Secretary	secretari	Secretary
of	of	of
State	state	State
Clinton	clinton	Clinton
,	,	,
to	to	to
Abedin	abedin	Abedin
and	and	and
Clinton	clinton	Clinton
reveals	reveal	reveals
exact	exact	exact
times	time	time
including	includ	including
driving	drive	driving
times	time	time
and	and	and
locations	locat	location
of	of	of
all	all	all
appointments	appoint	appointment
throughout	throughout	throughout
the	the	the
day	day	day
.	.	.
Another	anoth	Another
itinerary	itinerari	itinerary
email	email	email
provides	provid	provides
details	detail	detail
about	about	about
a	a	a
meeting	meet	meeting
at	at	at
the	the	the
United	unit	United
Nations	nation	Nations
in	in	in
New	new	New
York	york	York
at	at	at
3	3	3
00	00	00
on	on	on
Tuesday	tuesday	Tuesday
,	,	,
January	januari	January
31	31	31
,	,	,
2012	2012	2012
,	,	,
with	with	with
the	the	the
precise	precis	precise
disclosure	disclosur	disclosure
,	,	,
that	that	that
would	would	would
mean	mean	mean
wheels	wheel	wheel
up	up	up
from	from	from
Andrews	andrew	Andrews
at	at	at
approximately	approxim	approximately
12	12	12
00pm	00pm	00pm
12	12	12
15pm	15pm	15pm
.	.	.
These	these	These
emails	email	email
show	show	show
that	that	that
Hillary	hillari	Hillary
Clinton	clinton	Clinton
isn	isn	isn
t	t	t
the	the	the
only	onli	only
Obama	obama	Obama
official	offici	official
who	who	who
should	should	should
be	be	be
worried	worri	worried
about	about	about
being	be	being
prosecuted	prosecut	prosecuted
for	for	for
mishandling	mishandl	mishandling
classified	classifi	classified
information	inform	information
.	.	.
Her	her	Her
former	former	former
top	top	top
State	state	State
aides	aid	aide
and	and	and
current	current	current
campaign	campaign	campaign
advisers	advis	adviser
Huma	huma	Huma
Abedin	abedin	Abedin
and	and	and
Jake	jake	Jake
Sullivan	sullivan	Sullivan
should	should	should
be	be	be
in	in	in
the	the	the
dock	dock	dock
,	,	,
as	as	a
well	well	well
,	,	,
said	said	said
Judicial	judici	Judicial
Watch	watch	Watch
President	presid	President
Tom	tom	Tom
Fitton	fitton	Fitton
.	.	.
The	the	The
Obama	obama	Obama
State	state	State
Department	depart	Department
has	has	ha
now	now	now
confirmed	confirm	confirmed
that	that	that
Clinton	clinton	Clinton
,	,	,
Abedin	abedin	Abedin
,	,	,
and	and	and
Sullivan	sullivan	Sullivan
used	use	used
unsecured	unsecur	unsecured
,	,	,
non	non	non
-government	-govern	-government
email	email	email
accounts	account	account
to	to	to
communicate	communic	communicate
information	inform	information
that	that	that
should	should	should
now	now	now
be	be	be
withheld	withheld	withheld
from	from	from
the	the	the
American	american	American
people	peopl	people
in	in	in
the	the	the
interest	interest	interest
of	of	of
national	nation	national
defense	defens	defense
or	or	or
foreign	foreign	foreign
policy	polici	policy
,	,	,
and	and	and
properly	proper	properly
classified	classifi	classified
.	.	.
When	when	When
can	can	can
we	we	we
expect	expect	expect
the	the	the
indictments	indict	indictment
?	?	?
Via	via	Via
Judicial	judici	Judicial
Watch	watch	Watch
