Sean	sean	Sean
shut	shut	shut
up	up	up
.	.	.

cc	cc	cc
@Bencjacobs	@bencjacob	@Bencjacobs
@politico	@politico	@politico
Arik	arik	Arik
Hesseldahl	hesseldahl	Hesseldahl
@ahess247	@ahess247	@ahess247
October	octob	October
26	26	26
,	,	,
2016	2016	2016
@seanhannity	@seanhann	@seanhannity
You	you	You
just	just	just
can	can	can
t	t	t
help	help	help
yourself	yourself	yourself
.	.	.

I	i	I
m	m	m
not	not	not
surprised	surpris	surprised
given	given	given
your	your	your
high	high	high
school	school	school
education	educ	education
.	.	.

Andrew	andrew	Andrew
Mastrandonas	mastrandona	Mastrandonas
@AndrewMinDC	@andrewmindc	@AndrewMinDC
October	octob	October
26	26	26
,	,	,
2016	2016	2016
@seanhannity	@seanhann	@seanhannity
@Bencjacobs	@bencjacob	@Bencjacobs
@politico	@politico	@politico
Question	question	Question
Can	can	Can
we	we	we
charter	charter	charter
a	a	a
flight	flight	flight
for	for	for
you	you	you
to	to	to
go	go	go
back	back	back
to	to	to
what	what	what
ever	ever	ever
racist	racist	racist
country	countri	country
you	you	you
come	come	come
from	from	from
?	?	?

Eric	eric	Eric
@ramseur	@ramseur	@ramseur
October	octob	October
26	26	26
,	,	,
2016	2016	2016
@seanhannity	@seanhann	@seanhannity
Pres	pres	Pres
Obama	obama	Obama
s	s	s
myriad	myriad	myriad
accomplishments	accomplish	accomplishment
and	and	and
proud	proud	proud
legacy	legaci	legacy
will	will	will
dwarf	dwarf	dwarf
your	your	your
pointless	pointless	pointless
and	and	and
useless	useless	useless
contributions	contribut	contribution
in	in	in
this	this	this
life	life	life
.	.	.

Have	have	Have
a	a	a
nice	nice	nice
day	day	day
.	.	.

Zelda	zelda	Zelda
J	j	J
Pinwheel	pinwheel	Pinwheel
@ZeldaJPinwheel	@zeldajpinwheel	@ZeldaJPinwheel
October	octob	October
26	26	26
,	,	,
2016	2016	2016
@seanhannity	@seanhann	@seanhannity
Y	y	Y
don	don	don
t	t	t
U	u	U
go	go	go
The	the	The
US	us	US
would	would	would
be	be	be
a	a	a
better	better	better
place	place	place
without	without	without
your	your	your
ignorant	ignor	ignorant
blather	blather	blather
Obama	obama	Obama
will	will	will
be	be	be
remembered	rememb	remembered
U	u	U
WON	won	WON
T	t	T
rather	rather	rather
sail	sail	sail
@onthewater401	@onthewater401	@onthewater401
October	octob	October
26	26	26
,	,	,
2016Hannity	2016hanniti	2016Hannity
responded	respond	responded
by	by	by
lashing	lash	lashing
out	out	out
.	.	.

He	he	He
called	call	called
journalism	journal	journalism
dead	dead	dead
,	,	,
insulted	insult	insulted
a	a	a
bunch	bunch	bunch
a	a	a
people	peopl	people
on	on	on
his	his	his
feed	feed	feed
,	,	,
and	and	and
whined	whine	whined
because	becaus	because
everyone	everyon	everyone
is	is	is
against	against	against
Trump	trump	Trump
.	.	.
.	.	.
Unlike	unlik	Unlike
@BarackObama	@barackobama	@BarackObama
I	i	I
don	don	don
t	t	t
have	have	have
a	a	a
spokesperson	spokesperson	spokesperson
that	that	that
refuses	refus	refuse
to	to	to
say	say	say
he	he	he
s	s	s
not	not	not
leaving	leav	leaving
if	if	if
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
wins	win	win
I	i	I
ll	ll	ll
stay	stay	stay
and	and	and
fight	fight	fight
win	win	win
lose	lose	lose
!	!	!

https://t.co/92pgkEsGmB	https://t.co/92pgkesgmb	https://t.co/92pgkEsGmB
Sean	sean	Sean
Hannity	hanniti	Hannity
@seanhannity	@seanhann	@seanhannity
October	octob	October
26	26	26
,	,	,
2016Journalism	2016journal	2016Journalism
is	is	is
DEAD	dead	DEAD
IN	in	IN
AMERICA	america	AMERICA
!	!	!

pic.twitter.com/50ZBOTvfHy	pic.twitter.com/50zbotvfhi	pic.twitter.com/50ZBOTvfHy
Sean	sean	Sean
Hannity	hanniti	Hannity
@seanhannity	@seanhann	@seanhannity
October	octob	October
26	26	26
,	,	,
2016I	2016i	2016I
m	m	m
not	not	not
a	a	a
journalist	journalist	journalist
jackass	jackass	jackass
.	.	.

I	i	I
m	m	m
a	a	a
talk	talk	talk
host	host	host
.	.	.

https://t.co/fj1ZCsAEL4	https://t.co/fj1zcsael4	https://t.co/fj1ZCsAEL4
Sean	sean	Sean
Hannity	hanniti	Hannity
@seanhannity	@seanhann	@seanhannity
October	octob	October
26	26	26
,	,	,
2016Are	2016are	2016Are
u	u	u
a	a	a
jackass	jackass	jackass
in	in	in
real	real	real
life	life	life
or	or	or
just	just	just
on	on	on
Twitter	twitter	Twitter
?	?	?

https://t.co/B3TTDSdenP	https://t.co/b3ttdsdenp	https://t.co/B3TTDSdenP
Sean	sean	Sean
Hannity	hanniti	Hannity
@seanhannity	@seanhann	@seanhannity
October	octob	October
26	26	26
,	,	,
2016A	2016a	2016A
you	you	you
are	are	are
a	a	a
liberal	liber	liberal
writer	writer	writer
with	with	with
3000	3000	3000
followers	follow	follower
who	who	who
nobody	nobodi	nobody
gives	give	give
a	a	a
about	about	about
.	.	.

https://t.co/CySWGgqNMk	https://t.co/cyswggqnmk	https://t.co/CySWGgqNMk
Sean	sean	Sean
Hannity	hanniti	Hannity
@seanhannity	@seanhann	@seanhannity
October	octob	October
26	26	26
,	,	,
2016Are	2016are	2016Are
u	u	u
really	realli	really
that	that	that
dumb	dumb	dumb
?	?	?

I	i	I
m	m	m
a	a	a
talk	talk	talk
show	show	show
host	host	host
.	.	.

I	i	I
am	am	am
honest	honest	honest
about	about	about
who	who	who
I	i	I
am	am	am
.	.	.

The	the	The
media	media	medium
claims	claim	claim
to	to	to
be	be	be
objective	object	objective
,	,	,
fair	fair	fair
and	and	and
balanced	balanc	balanced
#Biasedmedia	#biasedmedia	#Biasedmedia
https://t.co/avvFvjEqHQ	https://t.co/avvfvjeqhq	https://t.co/avvFvjEqHQ
Sean	sean	Sean
Hannity	hanniti	Hannity
@seanhannity	@seanhann	@seanhannity
October	octob	October
26	26	26
,	,	,
2016Sean	2016sean	2016Sean
Hannity	hanniti	Hannity
,	,	,
like	like	like
other	other	other
right	right	right
-wing	-wing	-wing
talk	talk	talk
hosts	host	host
are	are	are
the	the	the
reason	reason	reason
why	whi	why
so	so	so
many	mani	many
conservatives	conserv	conservative
reject	reject	reject
facts	fact	fact
and	and	and
refuse	refus	refuse
to	to	to
believe	believ	believe
what	what	what
credible	credibl	credible
media	media	medium
outlets	outlet	outlet
report	report	report
.	.	.

Right	right	Right
-wing	-wing	-wing
host	host	host
Charlie	charli	Charlie
Sykes	syke	Sykes
even	even	even
admitted	admit	admitted
in	in	in
August	august	August
that	that	that
people	peopl	people
like	like	like
Hannity	hanniti	Hannity
have	have	have
poisoned	poison	poisoned
journalism	journal	journalism
and	and	and
that	that	that
s	s	s
why	whi	why
we	we	we
ended	end	ended
up	up	up
with	with	with
a	a	a
toxic	toxic	toxic
presidential	presidenti	presidential
candidate	candid	candidate
like	like	like
Trump	trump	Trump
.	.	.

We	we	We
ve	ve	ve
created	creat	created
this	this	this
monster	monster	monster
,	,	,
he	he	he
said	said	said
.	.	.

Look	look	Look
,	,	,
I	i	I
m	m	m
a	a	a
conservative	conserv	conservative
talk	talk	talk
show	show	show
host	host	host
.	.	.

All	all	All
conservative	conserv	conservative
talk	talk	talk
show	show	show
hosts	host	host
have	have	have
basically	basic	basically
established	establish	established
their	their	their
brand	brand	brand
as	as	a
being	be	being
contrasted	contrast	contrasted
with	with	with
the	the	the
mainstream	mainstream	mainstream
media	media	medium
.	.	.

So	so	So
we	we	we
have	have	have
spent	spent	spent
20	20	20
years	year	year
demonizing	demon	demonizing
the	the	the
liberal	liber	liberal
mainstream	mainstream	mainstream
media	media	medium
at	at	at
a	a	a
certain	certain	certain
point	point	point
you	you	you
wake	wake	wake
up	up	up
and	and	and
you	you	you
realize	realiz	realize
you	you	you
have	have	have
destroyed	destroy	destroyed
the	the	the
credibility	credibl	credibility
of	of	of
any	ani	any
credible	credibl	credible
outlet	outlet	outlet
out	out	out
there	there	there
.	.	.

And	and	And
I	i	I
am	am	am
feeling	feel	feeling
,	,	,
to	to	to
a	a	a
certain	certain	certain
extent	extent	extent
,	,	,
that	that	that
we	we	we
are	are	are
reaping	reap	reaping
the	the	the
whirlwind	whirlwind	whirlwind
at	at	at
that	that	that
.	.	.

We	we	We
ve	ve	ve
basically	basic	basically
eliminated	elimin	eliminated
any	ani	any
of	of	of
the	the	the
referees	refere	referee
,	,	,
the	the	the
gatekeepers	gatekeep	gatekeeper
,	,	,
he	he	he
added	ad	added
.	.	.
And	and	And
Sean	sean	Sean
Hannity	hanniti	Hannity
is	is	is
continuing	continu	continuing
that	that	that
quest	quest	quest
to	to	to
destroy	destroy	destroy
the	the	the
credible	credibl	credible
media	media	medium
so	so	so
he	he	he
can	can	can
spread	spread	spread
his	his	his
fact	fact	fact
-free	-free	-free
propaganda	propaganda	propaganda
.	.	.
Featured	featur	Featured
Image	imag	Image
Screenshot	screenshot	Screenshot

