He	he	He
I	i	I
get	get	get
the	the	the
whole	whole	whole
team	team	team
unity	uniti	unity
thing	thing	thing
,	,	,
but	but	but
at	at	at
the	the	the
end	end	end
of	of	of
the	the	the
day	day	day
,	,	,
I	i	I
also	also	also
thought	thought	thought
that	that	that
we	we	we
should	should	should
be	be	be
allowed	allow	allowed
to	to	to
be	be	be
individuals	individu	individual
,	,	,
and	and	and
express	express	express
ourselves	ourselv	ourselves
.	.	.
The	the	The
week	week	week
before	befor	before
,	,	,
I	i	I
was	was	wa
watching	watch	watching
NFL	nfl	NFL
football	footbal	football
,	,	,
and	and	and
I	i	I
happened	happen	happened
to	to	to
see	see	see
some	some	some
of	of	of
the	the	the
remarks	remark	remark
by	by	by
President	presid	President
Trump	trump	Trump
about	about	about
,	,	,
uh	uh	uh
,	,	,
regarding	regard	regarding
NFL	nfl	NFL
players	player	player
taking	take	taking
a	a	a
knee	knee	knee
during	dure	during
the	the	the
anthem	anthem	anthem
,	,	,
and	and	and
he	he	he
said	said	said
that	that	that
they	they	they
should	should	should
be	be	be
fired	fire	fired
,	,	,
they	they	they
should	should	should
be	be	be
kicked	kick	kicked
off	off	off
and	and	and
things	thing	thing
like	like	like
that	that	that
.	.	.
I	i	I
already	alreadi	already
knew	knew	knew
that	that	that
it	it	it
was	was	wa
an	an	an
issue	issu	issue
with	with	with
,	,	,
all	all	all
of	of	of
the	the	the
racial	racial	racial
and	and	and
social	social	social
injustice	injustic	injustice
and	and	and
you	you	you
know	know	know
,	,	,
police	polic	police
brutality	brutal	brutality
among	among	among
African	african	African
Americans	american	Americans
and	and	and
things	thing	thing
like	like	like
that	that	that
.	.	.
But	but	But
when	when	when
I	i	I
heard	heard	heard
the	the	the
President	presid	President
say	say	say
something	someth	something
about	about	about
it	it	it
,	,	,
and	and	and
,	,	,
it	it	it
was	was	wa
very	veri	very
negative	negat	negative
,	,	,
it	it	it
just	just	just
kinda	kinda	kinda
struck	struck	struck
a	a	a
nerve	nerv	nerve
with	with	with
me	me	me
and	and	and
it	it	it
made	made	made
me	me	me
think	think	think
,	,	,
if	if	if
this	this	this
is	is	is
how	how	how
the	the	the
President	presid	President
feels	feel	feel
,	,	,
then	then	then
Idefinitelyy	idefinitelyy	Idefinitelyy
need	need	need
to	to	to
take	take	take
a	a	a
need	need	need
and	and	and
protest	protest	protest
this	this	this
.	.	.
Go	go	Go
here	here	here
for	for	for
video	video	video
After	after	After
Durante	durant	Durante
knelt	knelt	knelt
,	,	,
the	the	the
Division	divis	Division
III	iii	III
Lions	lion	Lions
went	went	went
on	on	on
to	to	to
lose	lose	lose
to	to	to
Delaware	delawar	Delaware
Valley	valley	Valley
University	univers	University
,	,	,
from	from	from
nearby	nearbi	nearby
Doylestown	doylestown	Doylestown
,	,	,
by	by	by
41	41	41
-6	-6	-6
.	.	.
Durante	durant	Durante
s	s	s
name	name	name
was	was	wa
wiped	wipe	wiped
from	from	from
the	the	the
team	team	team
roster	roster	roster
and	and	and
a	a	a
college	colleg	college
spokesperson	spokesperson	spokesperson
said	said	said
in	in	in
a	a	a
statement	statement	statement
obtained	obtain	obtained
by	by	by
ESPN	espn	ESPN
that	that	that
the	the	the
Norristown	norristown	Norristown
,	,	,
Pa	pa	Pa
.	.	.
native	nativ	native
was	was	wa
dismissed	dismiss	dismissed
for	for	for
his	his	his
actions	action	action
.	.	.
FOX	fox	FOX
News	news	News
