One	one	One
was	was	wa
revealed	reveal	revealed
only	onli	only
last	last	last
week	week	week
that	that	that
information	inform	information
Fusion	fusion	Fusion
collected	collect	collected
on	on	on
Browder	browder	Browder
was	was	wa
shared	share	shared
directly	direct	directly
with	with	with
Chaika	chaika	Chaika
,	,	,
whose	whose	whose
position	posit	position
is	is	is
the	the	the
Russian	russian	Russian
equivalent	equival	equivalent
of	of	of
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
attorney	attorney	attorney
general	general	general
.	.	.
Natalia	natalia	Natalia
Veselnitskaya	veselnitskaya	Veselnitskaya
,	,	,
the	the	the
Russian	russian	Russian
attorney	attorney	attorney
who	who	who
attended	attend	attended
the	the	the
Trump	trump	Trump
Tower	tower	Tower
meeting	meet	meeting
,	,	,
is	is	is
who	who	who
provided	provid	provided
both	both	both
Chaika	chaika	Chaika
and	and	and
Trump	trump	Trump
Jr	jr	Jr
.	.	.
with	with	with
the	the	the
Fusion	fusion	Fusion
-generated	-gener	-generated
information	inform	information
on	on	on
Browder	browder	Browder
.	.	.
She	she	She
took	took	took
a	a	a
four	four	four
-page	-page	-page
report	report	report
into	into	into
the	the	the
June	june	June
9	9	9
,	,	,
2016	2016	2016
Trump	trump	Trump
Tower	tower	Tower
meeting	meet	meeting
,	,	,
which	which	which
was	was	wa
attended	attend	attended
by	by	by
Jared	jare	Jared
Kushner	kushner	Kushner
and	and	and
then	then	then
-campaign	-campaign	-campaign
chairman	chairman	chairman
Paul	paul	Paul
Manafort	manafort	Manafort
.	.	.
Veselnitskaya	veselnitskaya	Veselnitskaya
worked	work	worked
with	with	with
Simpson	simpson	Simpson
,	,	,
a	a	a
former	former	former
Wall	wall	Wall
Street	street	Street
Journal	journal	Journal
reporter	report	reporter
,	,	,
on	on	on
the	the	the
anti	anti	anti
-Browder	-browder	-Browder
project	project	project
.	.	.
Reuters	reuter	Reuters
reported	report	reported
on	on	on
Thursday	thursday	Thursday
that	that	that
Simpson	simpson	Simpson
compiled	compil	compiled
the	the	the
research	research	research
for	for	for
the	the	the
Trump	trump	Trump
Tower	tower	Tower
memo	memo	memo
.	.	.
And	and	And
NBC	nbc	NBC
News	news	News
reported	report	reported
on	on	on
Friday	friday	Friday
that	that	that
similar	similar	similar
research	research	research
put	put	put
together	togeth	together
by	by	by
Simpson	simpson	Simpson
was	was	wa
given	given	given
by	by	by
Veselnitskaya	veselnitskaya	Veselnitskaya
to	to	to
Chaika	chaika	Chaika
in	in	in
Oct	oct	Oct
.	.	.
2015	2015	2015
.	.	.
Browder	browder	Browder
,	,	,
who	who	who
was	was	wa
born	born	born
in	in	in
Chicago	chicago	Chicago
but	but	but
is	is	is
a	a	a
British	british	British
citizen	citizen	citizen
,	,	,
is	is	is
a	a	a
target	target	target
of	of	of
the	the	the
Kremlin	kremlin	Kremlin
s	s	s
ire	ire	ire
because	becaus	because
of	of	of
his	his	his
role	role	role
in	in	in
pushing	push	pushing
through	through	through
the	the	the
Magnitsky	magnitski	Magnitsky
Act	act	Act
,	,	,
which	which	which
passed	pass	passed
Congress	congress	Congress
in	in	in
2012	2012	2012
.	.	.
The	the	The
Russian	russian	Russian
government	govern	government
recently	recent	recently
issued	issu	issued
an	an	an
Interpol	interpol	Interpol
arrest	arrest	arrest
in	in	in
an	an	an
attempt	attempt	attempt
to	to	to
apprehend	apprehend	apprehend
Browder	browder	Browder
.	.	.
Vladimir	vladimir	Vladimir
Putin	putin	Putin
reportedly	report	reportedly
approved	approv	approved
the	the	the
move	move	move
against	against	against
the	the	the
53	53	53
-year-old	-year-old	-year-old
money	money	money
manager	manag	manager
,	,	,
who	who	who
wrote	wrote	wrote
a	a	a
book	book	book
about	about	about
his	his	his
travails	travail	travail
called	call	called
Red	red	Red
Notice	notic	Notice
,	,	,
a	a	a
reference	refer	reference
to	to	to
the	the	the
term	term	term
used	use	used
for	for	for
Interpol	interpol	Interpol
warrants	warrant	warrant
.	.	.
Fusion	fusion	Fusion
GPS	gps	GPS
,	,	,
which	which	which
is	is	is
based	base	based
in	in	in
Washington	washington	Washington
,	,	,
D	d	D
.	.	.
C	c	C
.	.	.
,	,	,
became	becam	became
involved	involv	involved
in	in	in
the	the	the
Browder	browder	Browder
matter	matter	matter
after	after	after
being	be	being
hired	hire	hired
by	by	by
BakerHostetler	bakerhostetl	BakerHostetler
,	,	,
a	a	a
law	law	law
firm	firm	firm
representing	repres	representing
Denis	deni	Denis
Katsyv	katsyv	Katsyv
,	,	,
a	a	a
Russian	russian	Russian
businessman	businessman	businessman
who	who	who
faced	face	faced
penalties	penalti	penalty
because	becaus	because
of	of	of
the	the	the
Magnitsky	magnitski	Magnitsky
Act	act	Act
.	.	.
Simpson	simpson	Simpson
worked	work	worked
closely	close	closely
on	on	on
the	the	the
investigation	investig	investigation
with	with	with
the	the	the
Moscow	moscow	Moscow
-based	-base	-based
Veselnitskaya	veselnitskaya	Veselnitskaya
,	,	,
who	who	who
represents	repres	represents
Katsyv	katsyv	Katsyv
and	and	and
his	his	his
firm	firm	firm
,	,	,
Prevezon	prevezon	Prevezon
Holdings	hold	Holdings
.	.	.
Veselnitskaya	veselnitskaya	Veselnitskaya
s	s	s
affiliation	affili	affiliation
with	with	with
Simpson	simpson	Simpson
is	is	is
one	one	one
of	of	of
the	the	the
stranger	stranger	stranger
story	stori	story
lines	line	line
arising	aris	arising
from	from	from
both	both	both
the	the	the
Trump	trump	Trump
Tower	tower	Tower
meeting	meet	meeting
and	and	and
the	the	the
dossier	dossier	dossier
,	,	,
which	which	which
was	was	wa
funded	fund	funded
by	by	by
the	the	the
Clinton	clinton	Clinton
campaign	campaign	campaign
and	and	and
DNC	dnc	DNC
.	.	.
Theories	theori	Theories
have	have	have
circulated	circul	circulated
that	that	that
Fusion	fusion	Fusion
GPS	gps	GPS
arranged	arrang	arranged
the	the	the
Trump	trump	Trump
Tower	tower	Tower
meeting	meet	meeting
in	in	in
order	order	order
to	to	to
compromise	compromis	compromise
the	the	the
Trump	trump	Trump
campaign	campaign	campaign
or	or	or
that	that	that
Simpson	simpson	Simpson
relayed	relay	relayed
details	detail	detail
of	of	of
the	the	the
meeting	meet	meeting
provided	provid	provided
by	by	by
Veselnitskaya	veselnitskaya	Veselnitskaya
to	to	to
Christopher	christoph	Christopher
Steele	steel	Steele
,	,	,
the	the	the
former	former	former
British	british	British
spy	spi	spy
who	who	who
wrote	wrote	wrote
the	the	the
dossier	dossier	dossier
.	.	.
Fusion	fusion	Fusion
was	was	wa
being	be	being
paid	paid	paid
for	for	for
its	it	it
dossier	dossier	dossier
work	work	work
at	at	at
the	the	the
same	same	same
time	time	time
it	it	it
was	was	wa
being	be	being
paid	paid	paid
by	by	by
BakerHostetler	bakerhostetl	BakerHostetler
to	to	to
investigate	investig	investigate
Browder	browder	Browder
.	.	.
Adding	ad	Adding
even	even	even
more	more	more
fuel	fuel	fuel
to	to	to
those	those	those
theories	theori	theory
was	was	wa
a	a	a
report	report	report
this	this	this
week	week	week
that	that	that
Simpson	simpson	Simpson
and	and	and
Veselnitskaya	veselnitskaya	Veselnitskaya
met	met	met
just	just	just
before	befor	before
and	and	and
just	just	just
after	after	after
she	she	she
attended	attend	attended
the	the	the
Trump	trump	Trump
Tower	tower	Tower
session	session	session
BUSTED	bust	BUSTED
!	!	!
MEETING	meet	MEETING
BETWEEN	between	BETWEEN
FUSION	fusion	FUSION
GPS	gps	GPS
AND	and	AND
RUSSIAN	russian	RUSSIAN
LAWYER	lawyer	LAWYER
BEFORE	befor	BEFORE
AND	and	AND
AFTER	after	AFTER
The	the	The
co	co	co
-founder	-founder	-founder
of	of	of
Fusion	fusion	Fusion
GPS	gps	GPS
,	,	,
the	the	the
firm	firm	firm
behind	behind	behind
the	the	the
unverified	unverifi	unverified
Trump	trump	Trump
dossier	dossier	dossier
,	,	,
met	met	met
with	with	with
a	a	a
Russian	russian	Russian
lawyer	lawyer	lawyer
before	befor	before
and	and	and
after	after	after
a	a	a
key	key	key
meeting	meet	meeting
she	she	she
had	had	had
last	last	last
year	year	year
with	with	with
Trump	trump	Trump
Jr	jr	Jr
.	.	.
The	the	The
contacts	contact	contact
shed	shed	shed
new	new	new
light	light	light
on	on	on
how	how	how
closely	close	closely
tied	tie	tied
the	the	the
firm	firm	firm
was	was	wa
to	to	to
Russian	russian	Russian
interests	interest	interest
,	,	,
at	at	at
a	a	a
time	time	time
when	when	when
it	it	it
was	was	wa
financing	financ	financing
research	research	research
to	to	to
discredit	discredit	discredit
then	then	then
-candidate	-candid	-candidate
Donald	donald	Donald
Trump	trump	Trump
.	.	.
The	the	The
opposition	opposit	opposition
research	research	research
firm	firm	firm
has	has	ha
faced	face	faced
renewed	renew	renewed
scrutiny	scrutini	scrutiny
after	after	after
litigation	litig	litigation
revealed	reveal	revealed
that	that	that
the	the	the
DNC	dnc	DNC
and	and	and
Hillary	hillari	Hillary
Clinton	clinton	Clinton
s	s	s
campaign	campaign	campaign
paid	paid	paid
for	for	for
that	that	that
research	research	research
.	.	.
Congressional	congression	Congressional
Republicans	republican	Republicans
have	have	have
since	sinc	since
questioned	question	questioned
whether	whether	whether
that	that	that
politically	polit	politically
financed	financ	financed
research	research	research
contributed	contribut	contributed
to	to	to
the	the	the
FBI	fbi	FBI
s	s	s
investigation	investig	investigation
of	of	of
Russian	russian	Russian
collusion	collus	collusion
with	with	with
the	the	the
Trump	trump	Trump
campaign	campaign	campaign
making	make	making
Fusion	fusion	Fusion
s	s	s
2016	2016	2016
contacts	contact	contact
with	with	with
Russian	russian	Russian
interests	interest	interest
all	all	all
the	the	the
more	more	more
relevant	relev	relevant
.	.	.
DNC	dnc	DNC
MONEY	money	MONEY
FUNNELED	funnel	FUNNELED
THROUGH	through	THROUGH
LAW	law	LAW
FIRM	firm	FIRM
TO	to	TO
FUSION	fusion	FUSION
GPS	gps	GPS
?	?	?
The	the	The
June	june	June
2016	2016	2016
Trump	trump	Trump
Tower	tower	Tower
meeting	meet	meeting
involving	involv	involving
Donald	donald	Donald
Trump	trump	Trump
Jr	jr	Jr
.	.	.
and	and	and
Russian	russian	Russian
lawyer	lawyer	lawyer
Natalia	natalia	Natalia
Veselnitskaya	veselnitskaya	Veselnitskaya
occurred	occur	occurred
during	dure	during
a	a	a
critical	critic	critical
period	period	period
.	.	.
Bank	bank	Bank
records	record	record
show	show	show
Fusion	fusion	Fusion
GPS	gps	GPS
was	was	wa
paid	paid	paid
by	by	by
a	a	a
law	law	law
firm	firm	firm
for	for	for
work	work	work
on	on	on
behalf	behalf	behalf
of	of	of
a	a	a
Kremlin	kremlin	Kremlin
-linked	-link	-linked
oligarch	oligarch	oligarch
while	while	while
paying	pay	paying
a	a	a
former	former	former
British	british	British
spy	spi	spy
Christopher	christoph	Christopher
Steele	steel	Steele
to	to	to
dig	dig	dig
up	up	up
dirt	dirt	dirt
on	on	on
Trump	trump	Trump
through	through	through
his	his	his
Russian	russian	Russian
contacts	contact	contact
.	.	.
But	but	But
hours	hour	hour
before	befor	before
the	the	the
Trump	trump	Trump
Tower	tower	Tower
meeting	meet	meeting
on	on	on
June	june	June
9	9	9
,	,	,
2016	2016	2016
,	,	,
Fusion	fusion	Fusion
co	co	co
-founder	-founder	-founder
and	and	and
ex	ex	ex
-Wall	-wall	-Wall
Street	street	Street
Journal	journal	Journal
reporter	report	reporter
Glenn	glenn	Glenn
Simpson	simpson	Simpson
was	was	wa
with	with	with
Veselnitskaya	veselnitskaya	Veselnitskaya
in	in	in
a	a	a
Manhattan	manhattan	Manhattan
federal	feder	federal
courtroom	courtroom	courtroom
.	.	.
Court	court	Court
records	record	record
show	show	show
email	email	email
correspondence	correspond	correspondence
and	and	and
published	publish	published
reports	report	report
corroborate	corrobor	corroborate
the	the	the
pair	pair	pair
s	s	s
presence	presenc	presence
together	togeth	together
.	.	.
They	they	They
also	also	also
were	were	were
together	togeth	together
after	after	after
the	the	the
Trump	trump	Trump
Tower	tower	Tower
meeting	meet	meeting
.	.	.
Read	read	Read
more	more	more
Fox	fox	Fox
NewsRead	newsread	NewsRead
more	more	more
Daily	daili	Daily
Caller	caller	Caller
