Reality	realiti	Reality
espionage	espionag	espionage
operations	oper	operation
against	against	against
a	a	a
named	name	named
U	u	U
.	.	.
S	s	S
.	.	.
company	compani	company
in	in	in
August	august	August
2016	2016	2016
,	,	,
evidently	evid	evidently
to	to	to
obtain	obtain	obtain
information	inform	information
on	on	on
elections	elect	election
-related	-relat	-related
software	softwar	software
and	and	and
hardware	hardwar	hardware
solutions	solut	solution
.	.	.
The	the	The
actors	actor	actor
likely	like	likely
used	use	used
data	data	data
obtained	obtain	obtained
from	from	from
that	that	that
operation	oper	operation
to	to	to
launch	launch	launch
a	a	a
voter	voter	voter
registration	registr	registration
-themed	-theme	-themed
spear	spear	spear
-phishing	-phish	-phishing
campaign	campaign	campaign
targeting	target	targeting
U	u	U
.	.	.
S	s	S
.	.	.
local	local	local
government	govern	government
organizations	organ	organization
.	.	.
An	an	An
affidavit	affidavit	affidavit
sworn	sworn	sworn
by	by	by
FBI	fbi	FBI
Agent	agent	Agent
Justin	justin	Justin
Garrick	garrick	Garrick
claimed	claim	claimed
that	that	that
the	the	the
government	govern	government
was	was	wa
notified	notifi	notified
of	of	of
the	the	the
leaked	leak	leaked
report	report	report
by	by	by
the	the	the
news	news	news
outlet	outlet	outlet
that	that	that
received	receiv	received
it	it	it
and	and	and
the	the	the
agency	agenc	agency
that	that	that
housed	hous	housed
the	the	the
report	report	report
determined	determin	determined
only	onli	only
six	six	six
employees	employe	employee
had	had	had
made	made	made
physical	physic	physical
copies	copi	copy
,	,	,
one	one	one
of	of	of
whom	whom	whom
was	was	wa
Winner	winner	Winner
.	.	.
The	the	The
affidavit	affidavit	affidavit
also	also	also
stated	state	stated
that	that	that
Garrick	garrick	Garrick
interviewed	interview	interviewed
Winner	winner	Winner
at	at	at
her	her	her
home	home	home
and	and	and
she	she	she
admitted	admit	admitted
intentionally	intent	intentionally
identifying	identifi	identifying
and	and	and
printing	print	printing
the	the	the
classified	classifi	classified
intelligence	intellig	intelligence
reporting	report	reporting
at	at	at
issue	issu	issue
and	and	and
mailing	mail	mailing
it	it	it
to	to	to
the	the	the
news	news	news
outlet	outlet	outlet
.	.	.
The	the	The
U	u	U
.	.	.
S	s	S
.	.	.
Government	govern	Government
Agency	agenc	Agency
examined	examin	examined
the	the	the
document	document	document
shared	share	shared
by	by	by
the	the	the
News	news	News
Outlet	outlet	Outlet
and	and	and
determined	determin	determined
the	the	the
pages	page	page
of	of	of
the	the	the
intelligence	intellig	intelligence
reporting	report	reporting
appeared	appear	appeared
to	to	to
be	be	be
folded	fold	folded
and	and	and
or	or	or
creased	creas	creased
,	,	,
suggesting	suggest	suggesting
they	they	they
had	had	had
been	been	been
printed	print	printed
and	and	and
hand	hand	hand
-carried	-carri	-carried
out	out	out
of	of	of
a	a	a
secured	secur	secured
space	space	space
,	,	,
the	the	the
affidavit	affidavit	affidavit
continued	continu	continued
.	.	.
Titus	titus	Titus
Thomas	thoma	Thomas
Nichols	nichol	Nichols
,	,	,
Winner	winner	Winner
s	s	s
attorney	attorney	attorney
,	,	,
declined	declin	declined
to	to	to
confirm	confirm	confirm
whether	whether	whether
his	his	his
client	client	client
had	had	had
been	been	been
accused	accus	accused
of	of	of
leaking	leak	leaking
the	the	the
document	document	document
.	.	.
My	my	My
client	client	client
has	has	ha
no	no	no
criminal	crimin	criminal
history	histori	history
,	,	,
so	so	so
it	it	it
s	s	s
not	not	not
as	as	a
if	if	if
she	she	she
has	has	ha
a	a	a
pattern	pattern	pattern
of	of	of
having	have	having
done	done	done
anything	anyth	anything
like	like	like
this	this	this
before	befor	before
,	,	,
Nichols	nichol	Nichols
said	said	said
in	in	in
a	a	a
phone	phone	phone
interview	interview	interview
on	on	on
Monday	monday	Monday
to	to	to
the	the	the
Associated	associ	Associated
Press	press	Press
.	.	.
She	she	She
is	is	is
a	a	a
very	veri	very
good	good	good
person	person	person
.	.	.
All	all	All
this	this	this
craziness	crazi	craziness
has	has	ha
happened	happen	happened
all	all	all
of	of	of
a	a	a
sudden	sudden	sudden
,	,	,
adding	ad	adding
that	that	that
she	she	she
hadn	hadn	hadn
t	t	t
stated	state	stated
or	or	or
shown	shown	shown
any	ani	any
form	form	form
of	of	of
confession	confess	confession
.	.	.
Winner	winner	Winner
remains	remain	remains
in	in	in
federal	feder	federal
custody	custodi	custody
pending	pend	pending
a	a	a
hearing	hear	hearing
scheduled	schedul	scheduled
for	for	for
June	june	June
8	8	8
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Facebook	facebook	Facebook
