Make	make	Make
said	said	said
that	that	that
Jones	jone	Jones
has	has	ha
tried	tri	tried
to	to	to
stand	stand	stand
in	in	in
the	the	the
way	way	way
of	of	of
any	ani	any
extension	extens	extension
for	for	for
Goodell	goodel	Goodell
.	.	.
Last	last	Last
month	month	month
,	,	,
ESPN	espn	ESPN
reported	report	reported
that	that	that
Jones	jone	Jones
was	was	wa
impeding	imped	impeding
the	the	the
progress	progress	progress
of	of	of
contract	contract	contract
negotiations	negoti	negotiation
aimed	aim	aimed
at	at	at
an	an	an
extension	extens	extension
for	for	for
Goodell	goodel	Goodell
.	.	.

If	if	If
not	not	not
for	for	for
Jerry	jerri	Jerry
,	,	,
one	one	one
owner	owner	owner
said	said	said
last	last	last
month	month	month
in	in	in
regard	regard	regard
to	to	to
the	the	the
contract	contract	contract
negotiations	negoti	negotiation
,	,	,
this	this	this
deal	deal	deal
would	would	would
be	be	be
done	done	done
.	.	.

The	the	The
tension	tension	tension
between	between	between
Jones	jone	Jones
and	and	and
Goodell	goodel	Goodell
is	is	is
in	in	in
part	part	part
credited	credit	credited
to	to	to
the	the	the
commissioner	commission	commissioner
giving	give	giving
Cowboys	cowboy	Cowboys
running	run	running
back	back	back
Ezekiel	ezekiel	Ezekiel
Elliott	elliott	Elliott
a	a	a
six	six	six
-game	-game	-game
suspension	suspens	suspension
,	,	,
which	which	which
is	is	is
currently	current	currently
being	be	being
disputed	disput	disputed
in	in	in
court	court	court
.	.	.
Another	anoth	Another
factor	factor	factor
in	in	in
the	the	the
frustration	frustrat	frustration
with	with	with
Goodell	goodel	Goodell
is	is	is
the	the	the
controversy	controversi	controversy
surrounding	surround	surrounding
players	player	player
kneeling	kneel	kneeling
during	dure	during
the	the	the
national	nation	national
anthem	anthem	anthem
.	.	.
Goodell	goodel	Goodell
won	won	won
t	t	t
mandate	mandat	mandate
the	the	the
players	player	player
stand	stand	stand
while	while	while
Jones	jone	Jones
is	is	is
threatening	threaten	threatening
Cowboys	cowboy	Cowboys
onto	onto	onto
their	their	their
feet	feet	foot
.	.	.
Earlier	earlier	Earlier
this	this	this
month	month	month
,	,	,
Jones	jone	Jones
said	said	said
that	that	that
any	ani	any
of	of	of
his	his	his
players	player	player
who	who	who
disrespect	disrespect	disrespect
the	the	the
flag	flag	flag
won	won	won
t	t	t
be	be	be
allowed	allow	allowed
to	to	to
play	play	play
.	.	.

I	i	I
know	know	know
this	this	this
,	,	,
we	we	we
cannot	cannot	cannot
in	in	in
the	the	the
NFL	nfl	NFL
in	in	in
any	ani	any
way	way	way
give	give	give
the	the	the
implication	implic	implication
that	that	that
we	we	we
tolerate	toler	tolerate
disrespecting	disrespect	disrespecting
the	the	the
flag	flag	flag
,	,	,
Jones	jone	Jones
,	,	,
also	also	also
the	the	the
team	team	team
s	s	s
general	general	general
manager	manag	manager
,	,	,
said	said	said
after	after	after
a	a	a
35	35	35
-31	-31	-31
loss	loss	loss
to	to	to
the	the	the
Green	green	Green
Bay	bay	Bay
Packers	packer	Packers
on	on	on
October	octob	October
8	8	8
.	.	.
The	the	The
previous	previous	previous
week	week	week
,	,	,
Jones	jone	Jones
knelt	knelt	knelt
along	along	along
with	with	with
head	head	head
coach	coach	coach
Jason	jason	Jason
Garrett	garrett	Garrett
and	and	and
all	all	all
their	their	their
players	player	player
in	in	in
the	the	the
middle	middl	middle
of	of	of
the	the	the
field	field	field
on	on	on
September	septemb	September
26	26	26
in	in	in
a	a	a
show	show	show
of	of	of
unity	uniti	unity
before	befor	before
they	they	they
all	all	all
stood	stood	stood
for	for	for
the	the	the
anthem	anthem	anthem
before	befor	before
their	their	their
28	28	28
-17	-17	-17
win	win	win
over	over	over
the	the	the
Arizona	arizona	Arizona
Cardinals	cardin	Cardinals
.	.	.

Spoke	spoke	Spoke
to	to	to
Jerry	jerri	Jerry
Jones	jone	Jones
of	of	of
the	the	the
Dallas	dalla	Dallas
Cowboys	cowboy	Cowboys
yesterday	yesterday	yesterday
.	.	.

Jerry	jerri	Jerry
is	is	is
a	a	a
winner	winner	winner
who	who	who
knows	know	know
how	how	how
to	to	to
get	get	get
things	thing	thing
done	done	done
.	.	.

Players	player	Players
will	will	will
stand	stand	stand
for	for	for
Country	countri	Country
!	!	!

President	presid	President
Trump	trump	Trump
tweeted	tweet	tweeted
.	.	.
On	on	On
the	the	the
other	other	other
side	side	side
of	of	of
the	the	the
debate	debat	debate
,	,	,
Goodell	goodel	Goodell
strongly	strong	strongly
backed	back	backed
the	the	the
players	player	player
and	and	and
criticized	critic	criticized
Trump	trump	Trump
for	for	for
an	an	an
unfortunate	unfortun	unfortunate
lack	lack	lack
of	of	of
respect	respect	respect
for	for	for
the	the	the
NFL	nfl	NFL
.	.	.

For	for	For
entire	entir	entire
story	stori	story
-	-	-
Daily	daili	Daily
Mail	mail	Mail

