Sen	sen	Sen
s	s	s
qualified	qualifi	qualified
to	to	to
be	be	be
president	presid	president
of	of	of
the	the	the
United	unit	United
States	state	States
is	is	is
that	that	that
he	he	he
is	is	is
a	a	a
very	veri	very
,	,	,
very	veri	very
,	,	,
very	veri	very
successful	success	successful
businessman	businessman	businessman
.	.	.
Donald	donald	Donald
Trump	trump	Trump
is	is	is
not	not	not
a	a	a
great	great	great
business	busi	business
success	success	success
and	and	and
it	it	it
s	s	s
time	time	time
he	he	he
s	s	s
called	call	called
on	on	on
it	it	it
.	.	.
This	this	This
isn	isn	isn
t	t	t
the	the	the
first	first	first
time	time	time
Warren	warren	Warren
has	has	ha
called	call	called
out	out	out
Trump	trump	Trump
for	for	for
his	his	his
bad	bad	bad
business	busi	business
decisions	decis	decision
.	.	.
Warren	warren	Warren
,	,	,
a	a	a
former	former	former
Harvard	harvard	Harvard
Law	law	Law
professor	professor	professor
,	,	,
who	who	who
specializes	special	specializes
in	in	in
bankruptcy	bankruptci	bankruptcy
law	law	law
,	,	,
wrote	wrote	wrote
about	about	about
Trump	trump	Trump
s	s	s
nefarious	nefari	nefarious
failed	fail	failed
business	busi	business
schemes	scheme	scheme
.	.	.
She	she	She
also	also	also
urged	urg	urged
people	peopl	people
to	to	to
listen	listen	listen
to	to	to
the	the	the
experts	expert	expert
who	who	who
ve	ve	ve
concluded	conclud	concluded
he	he	he
s	s	s
so	so	so
bad	bad	bad
at	at	at
business	busi	business
that	that	that
he	he	he
might	might	might
have	have	have
more	more	more
money	money	money
today	today	today
if	if	if
he	he	he
d	d	d
put	put	put
his	his	his
entire	entir	entire
inheritance	inherit	inheritance
into	into	into
an	an	an
index	index	index
fund	fund	fund
and	and	and
just	just	just
left	left	left
it	it	it
alone	alon	alone
.	.	.
Warren	warren	Warren
also	also	also
went	went	went
on	on	on
to	to	to
note	note	note
Trump	trump	Trump
s	s	s
Mussolini	mussolini	Mussolini
quote	quot	quote
gaffe	gaff	gaffe
.	.	.
Warren	warren	Warren
also	also	also
spent	spent	spent
some	some	some
time	time	time
praising	prais	praising
Bernie	berni	Bernie
Sanders	sander	Sanders
and	and	and
the	the	the
influence	influenc	influence
he	he	he
has	has	ha
had	had	had
on	on	on
the	the	the
Democratic	democrat	Democratic
Party	parti	Party
and	and	and
the	the	the
nation	nation	nation
.	.	.
He	he	He
s	s	s
out	out	out
there	there	there
.	.	.
He	he	He
fights	fight	fight
with	with	with
the	the	the
heart	heart	heart
.	.	.
This	this	This
is	is	is
who	who	who
Bernie	berni	Bernie
is	is	is
.	.	.
He	he	He
has	has	ha
put	put	put
the	the	the
right	right	right
issues	issu	issue
on	on	on
the	the	the
table	tabl	table
both	both	both
for	for	for
the	the	the
Democratic	democrat	Democratic
Party	parti	Party
and	and	and
for	for	for
the	the	the
country	countri	country
in	in	in
general	general	general
so	so	so
I	i	I
m	m	m
still	still	still
cheering	cheer	cheering
Bernie	berni	Bernie
on	on	on
.	.	.
However	howev	However
,	,	,
Warren	warren	Warren
does	doe	doe
say	say	say
that	that	that
Clinton	clinton	Clinton
or	or	or
Sanders	sander	Sanders
would	would	would
be	be	be
far	far	far
better	better	better
leaders	leader	leader
than	than	than
what	what	what
the	the	the
GOP	gop	GOP
is	is	is
offering	offer	offering
.	.	.
While	while	While
the	the	the
Democrats	democrat	Democrats
are	are	are
saying	say	saying
,	,	,
Gee	gee	Gee
is	is	is
the	the	the
right	right	right
answer	answer	answer
to	to	to
improve	improv	improve
the	the	the
Affordable	afford	Affordable
Care	care	Care
Act	act	Act
in	in	in
the	the	the
following	follow	following
six	six	six
ways	way	way
or	or	or
go	go	go
all	all	all
the	the	the
way	way	way
to	to	to
single	singl	single
payer	payer	payer
which	which	which
is	is	is
a	a	a
good	good	good
debate	debat	debate
to	to	to
have	have	have
the	the	the
Republicans	republican	Republicans
are	are	are
saying	say	saying
they	they	they
are	are	are
going	go	going
to	to	to
repeal	repeal	repeal
the	the	the
Affordable	afford	Affordable
Care	care	Care
Act	act	Act
and	and	and
replace	replac	replace
it	it	it
with	with	with
something	someth	something
they	they	they
can	can	can
t	t	t
quite	quit	quite
describe	describ	describe
.	.	.
Warren	warren	Warren
has	has	ha
not	not	not
disclosed	disclos	disclosed
who	who	who
she	she	she
voted	vote	voted
for	for	for
in	in	in
the	the	the
primary	primari	primary
election	elect	election
.	.	.
However	howev	However
,	,	,
she	she	she
did	did	did
make	make	make
progressive	progress	progressive
politicos	politico	politico
sitting	sit	sitting
on	on	on
the	the	the
edge	edg	edge
of	of	of
her	her	her
seat	seat	seat
,	,	,
saying	say	saying
that	that	that
she	she	she
will	will	will
make	make	make
an	an	an
endorsement	endors	endorsement
.	.	.
That	that	That
being	be	being
said	said	said
,	,	,
she	she	she
didn	didn	didn
t	t	t
say	say	say
is	is	is
she	she	she
plans	plan	plan
on	on	on
making	make	making
an	an	an
endorsement	endors	endorsement
before	befor	before
the	the	the
primary	primari	primary
election	elect	election
is	is	is
over	over	over
.	.	.
Should	should	Should
she	she	she
do	do	do
so	so	so
,	,	,
I	i	I
guarantee	guarante	guarantee
it	it	it
will	will	will
be	be	be
done	done	done
at	at	at
a	a	a
key	key	key
strategic	strateg	strategic
moment	moment	moment
in	in	in
the	the	the
race	race	race
.	.	.
Possibly	possibl	Possibly
before	befor	before
the	the	the
Washington	washington	Washington
caucus	caucus	caucus
or	or	or
the	the	the
New	new	New
York	york	York
primary	primari	primary
.	.	.
Though	though	Though
,	,	,
a	a	a
pre	pre	pre
-nomination	-nomin	-nomination
endorsement	endors	endorsement
seems	seem	seems
unlikely	unlik	unlikely
.	.	.
You	you	You
can	can	can
read	read	read
the	the	the
AP	ap	AP
interview	interview	interview
with	with	with
Warren	warren	Warren
here	here	here
.	.	.
Featured	featur	Featured
image	imag	image
from	from	from
Photo	photo	Photo
by	by	by
Chip	chip	Chip
Somodevilla	somodevilla	Somodevilla
Getty	getti	Getty
Images	imag	Images
