Political	polit	Political
Republican	republican	Republican
Party	parti	Party
has	has	ha
before	befor	before
it	it	it
several	sever	several
candidates	candid	candidate
with	with	with
the	the	the
record	record	record
and	and	and
ability	abil	ability
to	to	to
serve	serv	serve
as	as	a
president	presid	president
with	with	with
honor	honor	honor
and	and	and
distinction	distinct	distinction
.	.	.

In	in	In
the	the	the
coming	come	coming
months	month	month
,	,	,
we	we	we
will	will	will
devote	devot	devote
ourselves	ourselv	ourselves
to	to	to
ensuring	ensur	ensuring
the	the	the
nomination	nomin	nomination
goes	goe	go
to	to	to
a	a	a
candidate	candid	candidate
who	who	who
will	will	will
strengthen	strengthen	strengthen
our	our	our
economy	economi	economy
,	,	,
national	nation	national
security	secur	security
and	and	and
,	,	,
above	abov	above
all	all	all
,	,	,
the	the	the
conservative	conserv	conservative
values	valu	value
on	on	on
which	which	which
all	all	all
else	els	else
depends	depend	depends
.	.	.

Should	should	Should
this	this	this
effort	effort	effort
fail	fail	fail
,	,	,
we	we	we
will	will	will
join	join	join
with	with	with
other	other	other
faithful	faith	faithful
conservatives	conserv	conservative
to	to	to
find	find	find
new	new	new
candidates	candid	candidate
and	and	and
institutions	institut	institution
to	to	to
carry	carri	carry
on	on	on
the	the	the
fight	fight	fight
for	for	for
conservative	conserv	conservative
principles	principl	principle
and	and	and
policies	polici	policy
.	.	.
This	this	This
is	is	is
he	he	he
third	third	third
meeting	meet	meeting
between	between	between
Erikson	erikson	Erikson
and	and	and
his	his	his
band	band	band
of	of	of
plucky	plucki	plucky
conservatives	conserv	conservative
.	.	.

In	in	In
March	march	March
,	,	,
when	when	when
the	the	the
first	first	first
meeting	meet	meeting
adjourned	adjourn	adjourned
,	,	,
the	the	the
group	group	group
called	call	called
for	for	for
the	the	the
creation	creation	creation
of	of	of
Unity	uniti	Unity
Ticket	ticket	Ticket
to	to	to
thwart	thwart	thwart
Trump	trump	Trump
,	,	,
and	and	and
as	as	a
a	a	a
second	second	second
option	option	option
opted	opt	opted
for	for	for
a	a	a
third	third	third
-party	-parti	-party
candidate	candid	candidate
should	should	should
the	the	the
Unity	uniti	Unity
Ticket	ticket	Ticket
fail	fail	fail
.	.	.
Other	other	Other
members	member	member
of	of	of
Erickson	erickson	Erickson
s	s	s
group	group	group
,	,	,
which	which	which
totals	total	total
about	about	about
a	a	a
dozen	dozen	dozen
Republicans	republican	Republicans
,	,	,
includes	includ	includes
columnist	columnist	columnist
Quin	quin	Quin
Hillyer	hillyer	Hillyer
,	,	,
George	georg	George
W	w	W
.	.	.

Bush	bush	Bush
adviser	advis	adviser
Bill	bill	Bill
Wichterman	wichterman	Wichterman
,	,	,
and	and	and
Mike	mike	Mike
Farris	farri	Farris
,	,	,
a	a	a
conservative	conserv	conservative
activist	activist	activist
and	and	and
candidate	candid	candidate
for	for	for
lieutenant	lieuten	lieutenant
governor	governor	governor
in	in	in
Virginia	virginia	Virginia
.	.	.
Although	although	Although
Erickson	erickson	Erickson
s	s	s
group	group	group
is	is	is
seemingly	seem	seemingly
one	one	one
of	of	of
a	a	a
kind	kind	kind
,	,	,
there	there	there
have	have	have
been	been	been
numerous	numer	numerous
Republicans	republican	Republicans
coming	come	coming
out	out	out
to	to	to
say	say	say
they	they	they
would	would	would
refuse	refus	refuse
to	to	to
vote	vote	vote
for	for	for
Trump	trump	Trump
,	,	,
including	includ	including
Joe	joe	Joe
Scarborough	scarborough	Scarborough
who	who	who
at	at	at
one	one	one
point	point	point
supported	support	supported
him	him	him
,	,	,
former	former	former
Gov	gov	Gov
.	.	.

Christine	christin	Christine
Todd	todd	Todd
Whitman	whitman	Whitman
,	,	,
Dana	dana	Dana
Losech	losech	Losech
,	,	,
Mel	mel	Mel
Martinez	martinez	Martinez
,	,	,
Sen	sen	Sen
.	.	.

Ben	ben	Ben
Sasse	sass	Sasse
and	and	and
others	other	others
.	.	.

Featured	featur	Featured
image	imag	image
via	via	via
Flickr	flickr	Flickr

