Yeah	yeah	Yeah
to	to	to
defend	defend	defend
them	them	them
against	against	against
barrel	barrel	barrel
bombing	bomb	bombing
?	?	?
Carter	carter	Carter
Well	well	Well
that	that	that
decision	decis	decision
will	will	will
be	be	be
made	made	made
when	when	when
we	we	we
introduce	introduc	introduce
fighters	fighter	fighter
into	into	into
the	the	the
field	field	field
.	.	.
McCain	mccain	McCain
That	that	That
s	s	s
a	a	a
small	small	small
comfort	comfort	comfort
to	to	to
those	those	those
people	peopl	people
you	you	you
re	re	re
recruiting	recruit	recruiting
right	right	right
now	now	now
that	that	that
that	that	that
decision	decis	decision
will	will	will
be	be	be
made	made	made
later	later	later
on	on	on
.	.	.
Is	is	Is
that	that	that
fair	fair	fair
to	to	to
these	these	these
young	young	young
men	men	men
to	to	to
say	say	say
We	we	We
are	are	are
sending	send	sending
you	you	you
in	in	in
to	to	to
fight	fight	fight
ISIS	isi	ISIS
only	onli	only
,	,	,
and	and	and
by	by	by
the	the	the
way	way	way
,	,	,
we	we	we
will	will	will
decide	decid	decide
on	on	on
the	the	the
policy	polici	policy
whether	whether	whether
to	to	to
defend	defend	defend
you	you	you
if	if	if
you	you	you
are	are	are
barrel	barrel	barrel
bombed	bomb	bombed
?	?	?
Carter	carter	Carter
They	they	They
know	know	know
that	that	that
we	we	we
will	will	will
provide	provid	provide
support	support	support
to	to	to
them	them	them
.	.	.
Exactly	exact	Exactly
what	what	what
kind	kind	kind
of	of	of
support	support	support
McCain	mccain	McCain
Does	doe	Does
that	that	that
mean	mean	mean
you	you	you
will	will	will
defend	defend	defend
them	them	them
against	against	against
Bashar	bashar	Bashar
Assad	assad	Assad
s	s	s
barrel	barrel	barrel
bombing	bomb	bombing
?	?	?
McCain	mccain	McCain
s	s	s
final	final	final
question	question	question
So	so	So
you	you	you
re	re	re
recruiting	recruit	recruiting
them	them	them
,	,	,
but	but	but
not	not	not
telling	tell	telling
them	them	them
that	that	that
you	you	you
ll	ll	ll
defend	defend	defend
them	them	them
because	becaus	because
you	you	you
haven	haven	haven
t	t	t
made	made	made
a	a	a
decision	decis	decision
yet	yet	yet
?	?	?
And	and	And
yet	yet	yet
you	you	you
want	want	want
to	to	to
train	train	train
them	them	them
quickly	quick	quickly
and	and	and
send	send	send
them	them	them
in	in	in
?	?	?
