After	after	After
they	they	they
see	see	see
more	more	more
people	peopl	people
in	in	in
uniforms	uniform	uniform
than	than	than
normal	normal	normal
.	.	.

Londoners	london	Londoners
will	will	will
see	see	see
an	an	an
increased	increas	increased
police	polic	police
presence	presenc	presence
today	today	today
and	and	and
over	over	over
the	the	the
course	cours	course
of	of	of
the	the	the
next	next	next
few	few	few
days	day	day
,	,	,
Khan	khan	Khan
told	told	told
the	the	the
interviewer	interview	interviewer
.	.	.

There	there	There
s	s	s
no	no	no
reason	reason	reason
to	to	to
be	be	be
alarmed	alarm	alarmed
.	.	.

One	one	One
of	of	of
the	the	the
things	thing	thing
the	the	the
police	polic	police
and	and	and
all	all	all
of	of	of
us	us	u
need	need	need
to	to	to
do	do	do
is	is	is
ensure	ensur	ensure
that	that	that
we	we	we
re	re	re
as	as	a
safe	safe	safe
as	as	a
we	we	we
possibly	possibl	possibly
can	can	can
be	be	be
.	.	.

He	he	He
added	ad	added
that	that	that
London	london	London
will	will	will
never	never	never
let	let	let
the	the	the
terrorists	terrorist	terrorist
win	win	win
.	.	.

While	while	While
only	onli	only
Donald	donald	Donald
Trump	trump	Trump
would	would	would
have	have	have
an	an	an
issue	issu	issue
with	with	with
the	the	the
Mayor	mayor	Mayor
letting	let	letting
citizens	citizen	citizen
know	know	know
not	not	not
to	to	to
be	be	be
alarmed	alarm	alarmed
by	by	by
increased	increas	increased
police	polic	police
presence	presenc	presence
,	,	,
at	at	at
this	this	this
point	point	point
people	peopl	people
just	just	just
don	don	don
t	t	t
give	give	give
a	a	a
f	f	f
ck	ck	ck
what	what	what
he	he	he
has	has	ha
to	to	to
say	say	say
.	.	.
In	in	In
a	a	a
statement	statement	statement
related	relat	related
to	to	to
the	the	the
attack	attack	attack
,	,	,
the	the	the
Mayor	mayor	Mayor
through	through	through
a	a	a
spokesman	spokesman	spokesman
hit	hit	hit
Trump	trump	Trump
hard	hard	hard
by	by	by
telling	tell	telling
him	him	him
he	he	he
s	s	s
just	just	just
not	not	not
that	that	that
important	import	important
Spokesperson	spokesperson	Spokesperson
for	for	for
London	london	London
Mayor	mayor	Mayor
Sadiq	sadiq	Sadiq
Khan	khan	Khan
He	he	He
has	has	ha
more	more	more
important	import	important
things	thing	thing
to	to	to
do	do	do
than	than	than
respond	respond	respond
to	to	to
Donald	donald	Donald
Trump's	trump	Trump's
ill	ill	ill
-informed	-inform	-informed
tweet	tweet	tweet
pic.twitter.com/Vqpi3gOaTH	pic.twitter.com/vqpi3goath	pic.twitter.com/Vqpi3gOaTH
NBC	nbc	NBC
News	news	News
@NBCNews	@nbcnew	@NBCNews
June	june	June
4	4	4
,	,	,
2017	2017	2017
The	the	The
Mayor	mayor	Mayor
is	is	is
busy	busi	busy
working	work	working
with	with	with
the	the	the
police	polic	police
,	,	,
emergency	emerg	emergency
services	servic	service
,	,	,
and	and	and
the	the	the
government	govern	government
to	to	to
coordinate	coordin	coordinate
the	the	the
response	respons	response
to	to	to
this	this	this
horrific	horrif	horrific
and	and	and
cowardly	coward	cowardly
terrorist	terrorist	terrorist
attack	attack	attack
and	and	and
provide	provid	provide
leadership	leadership	leadership
and	and	and
reassurance	reassur	reassurance
to	to	to
Londoners	london	Londoners
and	and	and
visitors	visitor	visitor
to	to	to
our	our	our
city	citi	city
,	,	,
the	the	the
statement	statement	statement
reads	read	read
.	.	.

He	he	He
has	has	ha
more	more	more
important	import	important
things	thing	thing
to	to	to
do	do	do
than	than	than
respond	respond	respond
to	to	to
Donald	donald	Donald
Trump	trump	Trump
s	s	s
ill	ill	ill
-informed	-inform	-informed
tweet	tweet	tweet
that	that	that
deliberately	deliber	deliberately
takes	take	take
out	out	out
of	of	of
context	context	context
his	his	his
remarks	remark	remark
urging	urg	urging
Londoners	london	Londoners
not	not	not
to	to	to
be	be	be
alarmed	alarm	alarmed
when	when	when
they	they	they
saw	saw	saw
more	more	more
police	polic	police
including	includ	including
armed	arm	armed
officers	offic	officer
on	on	on
the	the	the
streets	street	street
.	.	.

This	this	This
is	is	is
the	the	the
second	second	second
time	time	time
in	in	in
a	a	a
24	24	24
hour	hour	hour
period	period	period
that	that	that
Trump	trump	Trump
was	was	wa
not	not	not
taken	taken	taken
seriously	serious	seriously
.	.	.

After	after	After
he	he	he
tweeted	tweet	tweeted
a	a	a
Drudge	drudg	Drudge
Report	report	Report
article	articl	article
,	,	,
NBC	nbc	NBC
refused	refus	refused
to	to	to
relay	relay	relay
Trump	trump	Trump
s	s	s
ill	ill	ill
-informed	-inform	-informed
and	and	and
reactionist	reactionist	reactionist
bullsh	bullsh	bullsh
t	t	t
Pres	pres	Pres
.	.	.

Trump	trump	Trump
has	has	ha
used	use	used
Twitter	twitter	Twitter
to	to	to
share	share	share
news	news	news
report	report	report
on	on	on
London	london	London
incident	incid	incident
.	.	.
We	we	We
aren't	aren't	aren't
relaying	relay	relaying
president's	presid	president's
retweet	retweet	retweet
,	,	,
as	as	a
the	the	the
info	info	info
is	is	is
unconfirmed	unconfirm	unconfirmed
.	.	.

NBC	nbc	NBC
Nightly	night	Nightly
News	news	News
@NBCNightlyNews	@nbcnightlynew	@NBCNightlyNews
June	june	June
3	3	3
,	,	,
2017If	2017if	2017If
you	you	you
thought	thought	thought
that	that	that
in	in	in
your	your	your
lifetime	lifetim	lifetime
there	there	there
would	would	would
never	never	never
be	be	be
a	a	a
time	time	time
when	when	when
the	the	the
President	presid	President
of	of	of
the	the	the
United	unit	United
States	state	States
is	is	is
considered	consid	considered
such	such	such
a	a	a
joke	joke	joke
that	that	that
he	he	he
is	is	is
to	to	to
be	be	be
ignored	ignor	ignored
,	,	,
you	you	you
were	were	were
wrong	wrong	wrong
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
screengrab	screengrab	screengrab

