Sarah	sarah	Sarah
pic.twitter.com/1OCs4W48Pq	pic.twitter.com/1ocs4w48pq	pic.twitter.com/1OCs4W48Pq
Fox	fox	Fox
News	news	News
@FoxNews	@foxnew	@FoxNews
December	decemb	December
5	5	5
,	,	,
2017	2017	2017
There	there	There
are	are	are
comments	comment	comment
from	from	from
people	peopl	people
from	from	from
the	the	the
NAACP	naacp	NAACP
from	from	from
black	black	black
ministers	minist	minister
who	who	who
are	are	are
planning	plan	planning
on	on	on
protesting	protest	protesting
and	and	and
boycotting	boycot	boycotting
this	this	this
weekend	weekend	weekend
for	for	for
the	the	the
president	presid	president
s	s	s
visit	visit	visit
to	to	to
the	the	the
Civil	civil	Civil
Rights	right	Rights
Museum	museum	Museum
.	.	.
What	what	What
say	say	say
you	you	you
?	?	?
Ryan	ryan	Ryan
asked	ask	asked
.	.	.
Sanders	sander	Sanders
called	call	called
the	the	the
planned	plan	planned
protests	protest	protest
to	to	to
Trump	trump	Trump
s	s	s
visit	visit	visit
sad	sad	sad
,	,	,
saying	say	saying
I	i	I
think	think	think
that	that	that
would	would	would
be	be	be
honestly	honest	honestly
very	veri	very
sad	sad	sad
.	.	.
I	i	I
think	think	think
this	this	this
is	is	is
something	someth	something
that	that	that
should	should	should
bring	bring	bring
the	the	the
country	countri	country
together	togeth	together
,	,	,
to	to	to
celebrate	celebr	celebrate
the	the	the
opening	open	opening
of	of	of
this	this	this
museum	museum	museum
and	and	and
highlighting	highlight	highlighting
civil	civil	civil
rights	right	right
movement	movement	movement
and	and	and
the	the	the
progress	progress	progress
that	that	that
we	we	we
ve	ve	ve
made	made	made
and	and	and
I	i	I
would	would	would
hope	hope	hope
those	those	those
individuals	individu	individual
join	join	join
in	in	in
instead	instead	instead
of	of	of
protesting	protest	protesting
.	.	.
Ryan	ryan	Ryan
continued	continu	continued
her	her	her
questioning	question	questioning
,	,	,
asking	ask	asking
if	if	if
Trump	trump	Trump
s	s	s
statement	statement	statement
on	on	on
the	the	the
riots	riot	riot
in	in	in
Charlottesville	charlottesvill	Charlottesville
would	would	would
be	be	be
seen	seen	seen
as	as	a
an	an	an
insult	insult	insult
to	to	to
those	those	those
in	in	in
attendance	attend	attendance
.	.	.
Ryan	ryan	Ryan
said	said	said
They	they	They
take	take	take
it	it	it
as	as	a
an	an	an
insult	insult	insult
that	that	that
he	he	he
s	s	s
coming	come	coming
.	.	.
As	as	As
we	we	we
ve	ve	ve
had	had	had
issues	issu	issue
of	of	of
Charlottesville	charlottesvill	Charlottesville
.	.	.
The	the	The
president	presid	president
didn	didn	didn
t	t	t
get	get	get
his	his	his
statement	statement	statement
straight	straight	straight
on	on	on
Charlottesville	charlottesvill	Charlottesville
Sanders	sander	Sanders
cut	cut	cut
Ryan	ryan	Ryan
off	off	off
,	,	,
slamming	slam	slamming
the	the	the
door	door	door
on	on	on
the	the	the
line	line	line
of	of	of
questioning	question	questioning
I	i	I
think	think	think
he	he	he
s	s	s
statement	statement	statement
was	was	wa
very	veri	very
clear	clear	clear
.	.	.
He	he	He
made	made	made
it	it	it
very	veri	very
clear	clear	clear
.	.	.
He	he	He
s	s	s
against	against	against
violence	violenc	violence
and	and	and
bigotry	bigotri	bigotry
.	.	.
After	after	After
the	the	the
riots	riot	riot
in	in	in
Charlottesville	charlottesvill	Charlottesville
,	,	,
Trump	trump	Trump
said	said	said
We	we	We
condemn	condemn	condemn
in	in	in
the	the	the
strongest	strongest	strongest
possible	possibl	possible
terms	term	term
this	this	this
egregious	egregi	egregious
display	display	display
of	of	of
hatred	hatr	hatred
,	,	,
bigotry	bigotri	bigotry
and	and	and
violence	violenc	violence
on	on	on
many	mani	many
sides	side	side
.	.	.
VIA	via	VIA
DAILY	daili	DAILY
CALLER	caller	CALLER
