Backlash	backlash	Backlash
Potty	potti	Potty
also	also	also
ended	end	ended
.	.	.
Sen	sen	Sen
.	.	.
Al	al	Al
Franken	franken	Franken
has	has	ha
dis	dis	dis
-invited	-invit	-invited
Griffin	griffin	Griffin
from	from	from
an	an	an
event	event	event
promoting	promot	promoting
his	his	his
new	new	new
book	book	book
,	,	,
Giant	giant	Giant
of	of	of
the	the	the
Senate	senat	Senate
.	.	.
Franken	franken	Franken
says	say	say
he	he	he
has	has	ha
heard	heard	heard
from	from	from
constituents	constitu	constituent
who	who	who
were	were	were
rightfully	right	rightfully
offended	offend	offended
,	,	,
leading	lead	leading
the	the	the
Minnesota	minnesota	Minnesota
Democrat	democrat	Democrat
to	to	to
change	chang	change
his	his	his
mind	mind	mind
from	from	from
earlier	earlier	earlier
,	,	,
when	when	when
he	he	he
had	had	had
said	said	said
she	she	she
was	was	wa
still	still	still
welcome	welcom	welcome
.	.	.
He	he	He
says	say	say
he	he	he
takes	take	take
seriously	serious	seriously
that	that	that
Minnesotans	minnesotan	Minnesotans
were	were	were
upset	upset	upset
by	by	by
her	her	her
behavior	behavior	behavior
,	,	,
which	which	which
he	he	he
characterizes	character	characterizes
as	as	a
inappropriate	inappropri	inappropriate
and	and	and
not	not	not
something	someth	something
that	that	that
should	should	should
be	be	be
anywhere	anywher	anywhere
in	in	in
the	the	the
national	nation	national
discourse	discours	discourse
.	.	.
It	it	It
s	s	s
the	the	the
latest	latest	latest
fallout	fallout	fallout
after	after	after
the	the	the
comedian	comedian	comedian
posed	pose	posed
with	with	with
a	a	a
likeness	like	likeness
of	of	of
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
s	s	s
severed	sever	severed
head	head	head
.	.	.
Kathy	kathi	Kathy
Griffin	griffin	Griffin
s	s	s
attorney	attorney	attorney
says	say	say
the	the	the
comedian	comedian	comedian
has	has	ha
been	been	been
contacted	contact	contacted
by	by	by
the	the	the
Secret	secret	Secret
Service	servic	Service
in	in	in
the	the	the
wake	wake	wake
of	of	of
her	her	her
controversial	controversi	controversial
photo	photo	photo
shoot	shoot	shoot
in	in	in
which	which	which
she	she	she
posed	pose	posed
with	with	with
the	the	the
likeness	like	likeness
of	of	of
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
s	s	s
severed	sever	severed
head	head	head
.	.	.
Attorney	attorney	Attorney
Lisa	lisa	Lisa
Bloom	bloom	Bloom
says	say	say
Griffin	griffin	Griffin
has	has	ha
retained	retain	retained
a	a	a
criminal	crimin	criminal
attorney	attorney	attorney
,	,	,
who	who	who
also	also	also
appeared	appear	appeared
at	at	at
a	a	a
Friday	friday	Friday
press	press	press
conference	confer	conference
in	in	in
which	which	which
Griffin	griffin	Griffin
apologized	apolog	apologized
again	again	again
for	for	for
the	the	the
images	imag	image
.	.	.
Griffin	griffin	Griffin
said	said	said
she	she	she
is	is	is
the	the	the
subject	subject	subject
of	of	of
a	a	a
Secret	secret	Secret
Service	servic	Service
investigation	investig	investigation
,	,	,
but	but	but
did	did	did
not	not	not
provide	provid	provide
any	ani	any
further	further	further
information	inform	information
about	about	about
the	the	the
inquiry	inquiri	inquiry
or	or	or
if	if	if
she	she	she
was	was	wa
cooperating	cooper	cooperating
.	.	.
Griffin	griffin	Griffin
says	say	say
she	she	she
will	will	will
not	not	not
refrain	refrain	refrain
from	from	from
joking	joke	joking
about	about	about
Trump	trump	Trump
in	in	in
the	the	the
future	futur	future
.	.	.
Since	sinc	Since
the	the	the
comedian	comedian	comedian
posed	pose	posed
with	with	with
a	a	a
likeness	like	likeness
of	of	of
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
s	s	s
severed	sever	severed
head	head	head
,	,	,
she	she	she
has	has	ha
been	been	been
fired	fire	fired
from	from	from
her	her	her
annual	annual	annual
gig	gig	gig
hosting	host	hosting
CNN	cnn	CNN
s	s	s
New	new	New
Year	year	Year
s	s	s
Eve	eve	Eve
special	special	special
and	and	and
several	sever	several
performances	perform	performance
have	have	have
been	been	been
canceled	cancel	canceled
at	at	at
venues	venu	venue
across	across	across
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
