UPDATE	updat	UPDATE
,	,	,
3	3	3
voted	vote	voted
for	for	for
Colin	colin	Colin
Powell	powel	Powell
,	,	,
and	and	and
1	1	1
voted	vote	voted
for	for	for
Faith	faith	Faith
Spotted	spot	Spotted
Eagle	eagl	Eagle
.	.	.
West	west	West
Virginia	virginia	Virginia
All	all	All
5	5	5
electors	elector	elector
voted	vote	voted
for	for	for
Trump	trump	Trump
.	.	.
Wisconsin	wisconsin	Wisconsin
All	all	All
10	10	10
electors	elector	elector
voted	vote	voted
for	for	for
Donald	donald	Donald
Trump	trump	Trump
.	.	.
via	via	via
270towinh	270towinh	270towinh
t	t	t
Heavy	heavi	Heavy

