Robert	robert	Robert
not	not	not
give	give	give
any	ani	any
assurance	assur	assurance
that	that	that
Trump	trump	Trump
would	would	would
pledge	pledg	pledge
not	not	not
to	to	to
meddle	meddl	meddle
in	in	in
the	the	the
investigation	investig	investigation
or	or	or
have	have	have
Mueller	mueller	Mueller
fired	fire	fired
,	,	,
he	he	he
completely	complet	completely
avoided	avoid	avoided
acknowledging	acknowledg	acknowledging
both	both	both
points	point	point
.	.	.

In	in	In
fact	fact	fact
,	,	,
Sekulow	sekulow	Sekulow
went	went	went
on	on	on
to	to	to
add	add	add
that	that	that
he	he	he
can	can	can
t	t	t
imagine	imagin	imagine
the	the	the
issue	issu	issue
of	of	of
firing	fire	firing
the	the	the
head	head	head
of	of	of
the	the	the
investigation	investig	investigation
would	would	would
arise	aris	arise
,	,	,
but	but	but
that	that	that
,	,	,
again	again	again
,	,	,
is	is	is
an	an	an
issue	issu	issue
that	that	that
the	the	the
president	presid	president
with	with	with
his	his	his
advisers	advis	adviser
would	would	would
discuss	discuss	discus
if	if	if
there	there	there
was	was	wa
a	a	a
basis	basi	basis
.	.	.

Nobody	nobodi	Nobody
said	said	said
getting	get	getting
to	to	to
the	the	the
bottom	bottom	bottom
of	of	of
the	the	the
Russia	russia	Russia
scandal	scandal	scandal
was	was	wa
going	go	going
to	to	to
be	be	be
easy	easi	easy
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Andrew	andrew	Andrew
Burton	burton	Burton
Getty	getti	Getty
Images	imag	Images

