Support	support	Support
showing	show	showing
Finicum	finicum	Finicum
and	and	and
others	other	others
in	in	in
his	his	his
truck	truck	truck
Jan	jan	Jan
.	.	.
26	26	26
during	dure	during
the	the	the
initial	initi	initial
stop	stop	stop
by	by	by
law	law	law
enforcement	enforc	enforcement
.	.	.
Finicum	finicum	Finicum
was	was	wa
driving	drive	driving
one	one	one
of	of	of
two	two	two
vehicles	vehicl	vehicle
that	that	that
were	were	were
pulled	pull	pulled
over	over	over
while	while	while
carrying	carri	carrying
key	key	key
occupation	occup	occupation
figures	figur	figure
.	.	.
Video	video	Video
taken	taken	taken
from	from	from
the	the	the
phone	phone	phone
of	of	of
one	one	one
of	of	of
his	his	his
passengers	passeng	passenger
shows	show	show
the	the	the
occupants	occup	occupant
panicking	panick	panicking
after	after	after
authorities	author	authority
stop	stop	stop
the	the	the
truck	truck	truck
.	.	.
With	with	With
his	his	his
window	window	window
rolled	roll	rolled
down	down	down
,	,	,
Finicum	finicum	Finicum
shouts	shout	shout
at	at	at
the	the	the
officers	offic	officer
Shoot	shoot	Shoot
me	me	me
,	,	,
just	just	just
shoot	shoot	shoot
me	me	me
!	!	!
Put	put	Put
the	the	the
bullet	bullet	bullet
through	through	through
me	me	me
.	.	.
Do	do	Do
as	as	a
you	you	you
damn	damn	damn
well	well	well
please	pleas	please
.	.	.
After	after	After
a	a	a
conversation	convers	conversation
with	with	with
others	other	others
in	in	in
the	the	the
truck	truck	truck
,	,	,
Finicum	finicum	Finicum
drives	drive	drive
off	off	off
,	,	,
leading	lead	leading
authorities	author	authority
on	on	on
a	a	a
short	short	short
chase	chase	chase
.	.	.
The	the	The
song	song	song
Hold	hold	Hold
Each	each	Each
Other	other	Other
by	by	by
a	a	a
Great	great	Great
Big	big	Big
World	world	World
was	was	wa
on	on	on
the	the	the
vehicle	vehicl	vehicle
s	s	s
stereo	stereo	stereo
.	.	.
Finicum	finicum	Finicum
was	was	wa
driving	drive	driving
over	over	over
70	70	70
mph	mph	mph
when	when	when
the	the	the
truck	truck	truck
came	came	came
to	to	to
a	a	a
roadblock	roadblock	roadblock
,	,	,
Nelson	nelson	Nelson
said	said	said
.	.	.
A	a	A
trooper	trooper	trooper
fired	fire	fired
three	three	three
shots	shot	shot
at	at	at
the	the	the
truck	truck	truck
as	as	a
it	it	it
approached	approach	approached
because	becaus	because
it	it	it
was	was	wa
a	a	a
threat	threat	threat
to	to	to
law	law	law
enforcement	enforc	enforcement
,	,	,
he	he	he
said	said	said
.	.	.
The	the	The
truck	truck	truck
plowed	plow	plowed
into	into	into
a	a	a
snowbank	snowbank	snowbank
.	.	.
Finicum	finicum	Finicum
got	got	got
out	out	out
,	,	,
and	and	and
someone	someon	someone
from	from	from
the	the	the
FBI	fbi	FBI
team	team	team
fired	fire	fired
two	two	two
more	more	more
shots	shot	shot
,	,	,
Nelson	nelson	Nelson
said	said	said
.	.	.
As	as	As
Finicum	finicum	Finicum
stood	stood	stood
in	in	in
the	the	the
snow	snow	snow
,	,	,
authorities	author	authority
told	told	told
him	him	him
multiple	multipl	multiple
times	time	time
to	to	to
lie	lie	lie
on	on	on
the	the	the
ground	ground	ground
.	.	.
Instead	instead	Instead
,	,	,
he	he	he
reached	reach	reached
into	into	into
the	the	the
inside	insid	inside
of	of	of
his	his	his
jacket	jacket	jacket
.	.	.
The	the	The
troopers	trooper	trooper
fired	fire	fired
three	three	three
rounds	round	round
,	,	,
all	all	all
of	of	of
which	which	which
hit	hit	hit
Finicum	finicum	Finicum
.	.	.
A	a	A
loaded	load	loaded
pistol	pistol	pistol
was	was	wa
found	found	found
in	in	in
his	his	his
jacket	jacket	jacket
pocket	pocket	pocket
.	.	.
Oregon	oregon	Oregon
investigators	investig	investigator
said	said	said
Finicum	finicum	Finicum
posed	pose	posed
a	a	a
threat	threat	threat
to	to	to
officers	offic	officer
by	by	by
nearly	near	nearly
running	run	running
over	over	over
one	one	one
of	of	of
them	them	them
at	at	at
the	the	the
roadblock	roadblock	roadblock
,	,	,
and	and	and
by	by	by
reaching	reach	reaching
for	for	for
a	a	a
gun	gun	gun
.	.	.
Occupation	occup	Occupation
members	member	member
in	in	in
the	the	the
other	other	other
vehicle	vehicl	vehicle
,	,	,
including	includ	including
leader	leader	leader
Ammon	ammon	Ammon
Bundy	bundi	Bundy
,	,	,
surrendered	surrend	surrendered
.	.	.
Finicum	finicum	Finicum
was	was	wa
a	a	a
high	high	high
-profile	-profil	-profile
part	part	part
of	of	of
the	the	the
weekslong	weekslong	weekslong
standoff	standoff	standoff
at	at	at
Malheur	malheur	Malheur
National	nation	National
Wildlife	wildlif	Wildlife
Refuge	refug	Refuge
,	,	,
launched	launch	launched
Jan	jan	Jan
.	.	.
2	2	2
by	by	by
a	a	a
small	small	small
armed	arm	armed
group	group	group
demanding	demand	demanding
the	the	the
government	govern	government
relinquish	relinquish	relinquish
control	control	control
of	of	of
public	public	public
lands	land	land
and	and	and
objecting	object	objecting
to	to	to
the	the	the
prison	prison	prison
sentences	sentenc	sentence
of	of	of
two	two	two
local	local	local
ranchers	rancher	rancher
convicted	convict	convicted
of	of	of
setting	set	setting
fires	fire	fire
.	.	.
His	his	His
death	death	death
became	becam	became
a	a	a
symbol	symbol	symbol
for	for	for
those	those	those
decrying	decri	decrying
federal	feder	federal
oversight	oversight	oversight
,	,	,
on	on	on
public	public	public
lands	land	land
in	in	in
the	the	the
West	west	West
and	and	and
elsewhere	elsewher	elsewhere
,	,	,
and	and	and
led	led	led
to	to	to
protests	protest	protest
of	of	of
what	what	what
they	they	they
called	call	called
an	an	an
unnecessary	unnecessari	unnecessary
use	use	use
of	of	of
force	forc	force
.	.	.
Via	via	Via
AP	ap	AP
