Unable	unabl	Unable
that	that	that
sounds	sound	sound
a	a	a
lot	lot	lot
like	like	like
what	what	what
Republicans	republican	Republicans
have	have	have
been	been	been
doing	do	doing
over	over	over
the	the	the
last	last	last
eight	eight	eight
years	year	year
.	.	.

Except	except	Except
that	that	that
Democrats	democrat	Democrats
are	are	are
obstructing	obstruct	obstructing
because	becaus	because
Trump	trump	Trump
is	is	is
picking	pick	picking
nominees	nomine	nominee
who	who	who
are	are	are
unqualified	unqualifi	unqualified
.	.	.
The	the	The
hypocrisy	hypocrisi	hypocrisy
here	here	here
is	is	is
absolutely	absolut	absolutely
unprecedented	unpreced	unprecedented
.	.	.

If	if	If
President	presid	President
Obama	obama	Obama
had	had	had
immediately	immedi	immediately
fired	fire	fired
every	everi	every
appointee	appointe	appointee
of	of	of
George	georg	George
W	w	W
.	.	.

Bush	bush	Bush
,	,	,
Republicans	republican	Republicans
would	would	would
have	have	have
screamed	scream	screamed
bloody	bloodi	bloody
murder	murder	murder
.	.	.
And	and	And
the	the	the
fact	fact	fact
is	is	is
that	that	that
as	as	a
much	much	much
as	as	a
Republicans	republican	Republicans
are	are	are
whining	whine	whining
about	about	about
Democratic	democrat	Democratic
obstruction	obstruct	obstruction
,	,	,
turnabout	turnabout	turnabout
is	is	is
fair	fair	fair
play	play	play
.	.	.

If	if	If
Republicans	republican	Republicans
wanted	want	wanted
Democrats	democrat	Democrats
to	to	to
work	work	work
with	with	with
them	them	them
they	they	they
should	should	should
have	have	have
thought	thought	thought
about	about	about
that	that	that
before	befor	before
treating	treat	treating
President	presid	President
Obama	obama	Obama
the	the	the
way	way	way
they	they	they
did	did	did
over	over	over
the	the	the
last	last	last
eight	eight	eight
years	year	year
.	.	.

From	from	From
the	the	the
very	veri	very
first	first	first
day	day	day
of	of	of
President	presid	President
Obama	obama	Obama
s	s	s
administration	administr	administration
,	,	,
Senate	senat	Senate
Republicans	republican	Republicans
vowed	vow	vowed
to	to	to
obstruct	obstruct	obstruct
him	him	him
.	.	.

They	they	They
refused	refus	refused
to	to	to
cooperate	cooper	cooperate
with	with	with
him	him	him
on	on	on
anything	anyth	anything
.	.	.

And	and	And
now	now	now
that	that	that
the	the	the
same	same	same
thing	thing	thing
is	is	is
happening	happen	happening
to	to	to
them	them	them
,	,	,
they	they	they
have	have	have
no	no	no
right	right	right
to	to	to
complain	complain	complain
and	and	and
they	they	they
only	onli	only
have	have	have
themselves	themselv	themselves
to	to	to
blame	blame	blame
.	.	.
Comparing	compar	Comparing
Democrats	democrat	Democrats
to	to	to
terrorists	terrorist	terrorist
is	is	is
totally	total	totally
un	un	un
-American	-american	-American
and	and	and
just	just	just
demonstrates	demonstr	demonstrates
that	that	that
Democrats	democrat	Democrats
have	have	have
a	a	a
duty	duti	duty
to	to	to
continue	continu	continue
obstructing	obstruct	obstructing
Donald	donald	Donald
Trump	trump	Trump
and	and	and
his	his	his
extreme	extrem	extreme
conservative	conserv	conservative
agenda	agenda	agenda
.	.	.

And	and	And
by	by	by
not	not	not
disputing	disput	disputing
Hewitt	hewitt	Hewitt
s	s	s
comparison	comparison	comparison
,	,	,
Conway	conway	Conway
just	just	just
demonstrated	demonstr	demonstrated
why	whi	why
she	she	she
should	should	should
never	never	never
be	be	be
allowed	allow	allowed
on	on	on
television	televis	television
again	again	again
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
screenshot	screenshot	screenshot

