Friday	friday	Friday
You	you	You
may	may	may
recall	recal	recall
that	that	that
FBI	fbi	FBI
Director	director	Director
James	jame	James
Comey	comey	Comey
also	also	also
played	play	played
a	a	a
hand	hand	hand
in	in	in
Trump	trump	Trump
s	s	s
win	win	win
,	,	,
by	by	by
allowing	allow	allowing
the	the	the
public	public	public
to	to	to
believe	believ	believe
,	,	,
just	just	just
days	day	day
before	befor	before
the	the	the
election	elect	election
,	,	,
that	that	that
the	the	the
FBI	fbi	FBI
may	may	may
be	be	be
re	re	re
-opening	-open	-opening
the	the	the
investigation	investig	investigation
into	into	into
Hillary	hillari	Hillary
Clinton	clinton	Clinton
s	s	s
use	use	use
of	of	of
her	her	her
private	privat	private
email	email	email
server	server	server
.	.	.
For	for	For
Comey	comey	Comey
to	to	to
come	come	come
forward	forward	forward
and	and	and
back	back	back
the	the	the
other	other	other
two	two	two
intelligence	intellig	intelligence
agencies	agenc	agency
and	and	and
their	their	their
findings	find	finding
from	from	from
this	this	this
investigation	investig	investigation
into	into	into
the	the	the
hackings	hack	hackings
you	you	you
ve	ve	ve
got	got	got
to	to	to
believe	believ	believe
the	the	the
evidence	evid	evidence
against	against	against
Trump	trump	Trump
and	and	and
Putin	putin	Putin
must	must	must
be	be	be
pretty	pretti	pretty
damning	damn	damning
.	.	.
Last	last	Last
week	week	week
,	,	,
FBI	fbi	FBI
counterintelligence	counterintellig	counterintelligence
officials	offici	official
met	met	met
with	with	with
senators	senat	senator
in	in	in
a	a	a
closed	close	closed
-door	-door	-door
meeting	meet	meeting
to	to	to
brief	brief	brief
them	them	them
on	on	on
the	the	the
findings	find	finding
of	of	of
their	their	their
initial	initi	initial
investigation	investig	investigation
,	,	,
and	and	and
many	mani	many
of	of	of
them	them	them
were	were	were
left	left	left
believing	believ	believing
that	that	that
the	the	the
FBI	fbi	FBI
was	was	wa
not	not	not
in	in	in
complete	complet	complete
agreement	agreement	agreement
with	with	with
the	the	the
CIA	cia	CIA
,	,	,
but	but	but
now	now	now
it	it	it
s	s	s
clear	clear	clear
that	that	that
this	this	this
was	was	wa
never	never	never
the	the	the
case	case	case
,	,	,
with	with	with
officials	offici	official
from	from	from
the	the	the
FBI	fbi	FBI
and	and	and
the	the	the
CIA	cia	CIA
stating	state	stating
,	,	,
The	the	The
truth	truth	truth
is	is	is
they	they	they
were	were	were
never	never	never
all	all	all
that	that	that
different	differ	different
in	in	in
the	the	the
first	first	first
place	place	place
.	.	.
In	in	In
recent	recent	recent
days	day	day
,	,	,
I	i	I
have	have	have
had	had	had
several	sever	several
conversations	convers	conversation
with	with	with
members	member	member
of	of	of
Congress	congress	Congress
,	,	,
providing	provid	providing
an	an	an
update	updat	update
on	on	on
the	the	the
status	status	status
of	of	of
the	the	the
review	review	review
as	as	a
well	well	well
as	as	a
the	the	the
considerations	consider	consideration
that	that	that
need	need	need
to	to	to
be	be	be
taken	taken	taken
into	into	into
account	account	account
as	as	a
we	we	we
proceed	proceed	proceed
,	,	,
Brennan	brennan	Brennan
wrote	wrote	wrote
.	.	.
Many	mani	Many
but	but	but
unfortunately	unfortun	unfortunately
not	not	not
all	all	all
members	member	member
understand	understand	understand
and	and	and
appreciate	appreci	appreciate
the	the	the
importance	import	importance
and	and	and
the	the	the
gravity	graviti	gravity
of	of	of
the	the	the
issue	issu	issue
,	,	,
and	and	and
they	they	they
are	are	are
very	veri	very
supportive	support	supportive
of	of	of
the	the	the
process	process	process
that	that	that
is	is	is
underway	underway	underway
.	.	.
Trump	trump	Trump
has	has	ha
been	been	been
blowing	blow	blowing
off	off	off
the	the	the
initial	initi	initial
findings	find	finding
for	for	for
awhile	awhil	awhile
now	now	now
,	,	,
calling	call	calling
them	them	them
ridiculous	ridicul	ridiculous
and	and	and
he	he	he
even	even	even
claimed	claim	claimed
that	that	that
they	they	they
were	were	were
just	just	just
lies	lie	lie
spread	spread	spread
by	by	by
the	the	the
Democrats	democrat	Democrats
in	in	in
order	order	order
to	to	to
account	account	account
for	for	for
his	his	his
landslide	landslid	landslide
win	win	win
which	which	which
was	was	wa
anything	anyth	anything
but	but	but
a	a	a
landslide	landslid	landslide
.	.	.
Hillary	hillari	Hillary
won	won	won
the	the	the
popular	popular	popular
vote	vote	vote
by	by	by
millions	million	million
and	and	and
now	now	now
it	it	it
appears	appear	appears
that	that	that
whatever	whatev	whatever
win	win	win
trump	trump	trump
may	may	may
have	have	have
achieved	achiev	achieved
was	was	wa
handed	hand	handed
to	to	to
him	him	him
on	on	on
a	a	a
silver	silver	silver
platter	platter	platter
by	by	by
Russia	russia	Russia
.	.	.
With	with	With
the	the	the
FBI	fbi	FBI
s	s	s
confirmation	confirm	confirmation
on	on	on
Friday	friday	Friday
,	,	,
it	it	it
looks	look	look
like	like	like
Donald	donald	Donald
Trump	trump	Trump
has	has	ha
no	no	no
more	more	more
excuses	excus	excuse
and	and	and
he	he	he
s	s	s
definitely	definit	definitely
running	run	running
out	out	out
of	of	of
places	place	place
to	to	to
hide	hide	hide
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Tasos	taso	Tasos
Kapitodis	kapitodi	Kapitodis
Getty	getti	Getty
Images	imag	Images
