Leftist	leftist	Leftist
Arts	art	Arts
and	and	and
founder	founder	founder
of	of	of
The	the	The
Anhoek	anhoek	Anhoek
School	school	School
.	.	.
Lee	lee	Lee
is	is	is
Papa	papa	Papa
and	and	and
Mama	mama	Mama
s	s	s
only	onli	only
child	child	child
for	for	for
now	now	now
,	,	,
although	although	although
there	there	there
once	onc	once
was	was	wa
a	a	a
sister	sister	sister
,	,	,
the	the	the
book	book	book
began	began	began
.	.	.
Where	where	Where
does	doe	doe
Sister	sister	Sister
live	live	live
now	now	now
?	?	?
At	at	At
one	one	one
point	point	point
,	,	,
Lee	lee	Lee
explained	explain	explained
to	to	to
his	his	his
Papa	papa	Papa
,	,	,
Well	well	Well
,	,	,
she	she	she
used	use	used
to	to	to
live	live	live
in	in	in
Mama	mama	Mama
and	and	and
doesn	doesn	doesn
t	t	t
anymore	anymor	anymore
.	.	.
After	after	After
Papa	papa	Papa
agreed	agre	agreed
,	,	,
Lee	lee	Lee
reiterated	reiter	reiterated
,	,	,
She	she	She
lived	live	lived
before	befor	before
me	me	me
,	,	,
but	but	but
Mama	mama	Mama
couldn	couldn	couldn
t	t	t
keep	keep	keep
her	her	her
.	.	.
Mama	mama	Mama
says	say	say
she	she	she
is	is	is
a	a	a
ghost	ghost	ghost
.	.	.
When	when	When
Lee	lee	Lee
s	s	s
Papa	papa	Papa
asked	ask	asked
,	,	,
D	d	D
oes	oe	oes
that	that	that
make	make	make
you	you	you
sad	sad	sad
or	or	or
scared	scare	scared
?	?	?
Lee	lee	Lee
changed	chang	changed
his	his	his
tune	tune	tune
.	.	.
I	i	I
m	m	m
not	not	not
sad	sad	sad
that	that	that
my	my	my
sister	sister	sister
is	is	is
a	a	a
ghost	ghost	ghost
!	!	!
If	if	If
you	you	you
kept	kept	kept
my	my	my
sister	sister	sister
,	,	,
you	you	you
would	would	would
be	be	be
tired	tire	tired
,	,	,
and	and	and
sad	sad	sad
,	,	,
and	and	and
mad	mad	mad
!	!	!
When	when	When
his	his	his
father	father	father
questioned	question	questioned
why	whi	why
,	,	,
Lee	lee	Lee
continued	continu	continued
Because	becaus	Because
we	we	we
would	would	would
be	be	be
wild	wild	wild
and	and	and
loud	loud	loud
and	and	and
sometimes	sometim	sometimes
we	we	we
would	would	would
fight	fight	fight
.	.	.
Mama	mama	Mama
might	might	might
be	be	be
scared	scare	scared
that	that	that
she	she	she
could	could	could
not	not	not
buy	buy	buy
enough	enough	enough
food	food	food
for	for	for
us	us	u
.	.	.
Mama	mama	Mama
might	might	might
not	not	not
have	have	have
enough	enough	enough
time	time	time
to	to	to
read	read	read
to	to	to
me	me	me
,	,	,
to	to	to
paint	paint	paint
with	with	with
me	me	me
,	,	,
to	to	to
play	play	play
with	with	with
me	me	me
,	,	,
to	to	to
talk	talk	talk
with	with	with
me	me	me
.	.	.
Papa	papa	Papa
also	also	also
noted	note	noted
good	good	good
reasons	reason	reason
Lee	lee	Lee
doesn	doesn	doesn
t	t	t
have	have	have
a	a	a
sister	sister	sister
right	right	right
here	here	here
right	right	right
now	now	now
.	.	.
Maybe	mayb	Maybe
you	you	you
will	will	will
have	have	have
another	anoth	another
sister	sister	sister
when	when	when
there	there	there
is	is	is
more	more	more
time	time	time
,	,	,
and	and	and
there	there	there
is	is	is
more	more	more
money	money	money
,	,	,
Papa	papa	Papa
said	said	said
.	.	.
But	but	But
even	even	even
during	dure	during
story	stori	story
time	time	time
,	,	,
Lee	lee	Lee
couldn	couldn	couldn
t	t	t
forget	forget	forget
about	about	about
his	his	his
lost	lost	lost
sibling	sibl	sibling
.	.	.
He	he	He
whispered	whisper	whispered
the	the	the
secret	secret	secret
to	to	to
his	his	his
uncle	uncl	uncle
The	the	The
secret	secret	secret
is	is	is
that	that	that
she	she	she
s	s	s
she	she	she
s	s	s
a	a	a
ghost	ghost	ghost
!	!	!
Lee	lee	Lee
and	and	and
his	his	his
Uncle	uncl	Uncle
pretend	pretend	pretend
she	she	she
s	s	s
still	still	still
there	there	there
.	.	.
The	the	The
ghost	ghost	ghost
girl	girl	girl
can	can	can
sit	sit	sit
beside	besid	beside
me	me	me
,	,	,
his	his	his
uncle	uncl	uncle
offered	offer	offered
.	.	.
Later	later	Later
,	,	,
Lee	lee	Lee
told	told	told
his	his	his
uncle	uncl	uncle
,	,	,
Mama	mama	Mama
had	had	had
an	an	an
abortion	abort	abortion
before	befor	before
she	she	she
had	had	had
me	me	me
,	,	,
but	but	but
reassures	reassur	reassures
him	him	him
that	that	that
Sister	sister	Sister
is	is	is
a	a	a
happy	happi	happy
ghost	ghost	ghost
!	!	!
Even	even	Even
the	the	the
uncle	uncl	uncle
s	s	s
friend	friend	friend
,	,	,
Jess	jess	Jess
,	,	,
wonders	wonder	wonder
where	where	where
the	the	the
ghost	ghost	ghost
sister	sister	sister
is	is	is
.	.	.
Lee	lee	Lee
replied	repli	replied
,	,	,
Ghost	ghost	Ghost
sister	sister	sister
has	has	ha
her	her	her
own	own	own
things	thing	thing
to	to	to
do	do	do
!	!	!
but	but	but
that	that	that
s	s	s
he	he	he
returns	return	return
when	when	when
I	i	I
call	call	call
her	her	her
if	if	if
I	i	I
need	need	need
her	her	her
.	.	.
And	and	And
he	he	he
did	did	did
,	,	,
as	as	a
the	the	the
last	last	last
page	page	page
read	read	read
,	,	,
Mama	mama	Mama
,	,	,
Papa	papa	Papa
,	,	,
Lee	lee	Lee
,	,	,
and	and	and
sister	sister	sister
are	are	are
about	about	about
to	to	to
head	head	head
into	into	into
the	the	the
late	late	late
afternoon	afternoon	afternoon
towards	toward	towards
home	home	home
.	.	.
In	in	In
the	the	the
acknowledgements	acknowledg	acknowledgement
,	,	,
Walling	wall	Walling
Blackburn	blackburn	Blackburn
thanked	thank	thanked
her	her	her
own	own	own
ghost	ghost	ghost
sister	sister	sister
and	and	and
warned	warn	warned
Masochists	masochist	Masochists
,	,	,
look	look	look
elsewhere	elsewher	elsewhere
,	,	,
because	becaus	because
,	,	,
between	between	between
these	these	these
pages	page	page
you	you	you
will	will	will
not	not	not
find	find	find
the	the	the
luxury	luxuri	luxury
of	of	of
grief	grief	grief
,	,	,
culpability	culpabl	culpability
s	s	s
sharp	sharp	sharp
sting	sting	sting
or	or	or
salty	salti	salty
guilt	guilt	guilt
.	.	.
Via	via	Via
Newsbusters	newsbust	Newsbusters
