Ted	ted	Ted
And	and	And
what	what	what
does	doe	doe
it	it	it
say	say	say
about	about	about
the	the	the
culture	cultur	culture
of	of	of
the	the	the
campaign	campaign	campaign
you	you	you
are	are	are
running	run	running
?	?	?
Cruz	cruz	Cruz
not	not	not
only	onli	only
failed	fail	failed
to	to	to
take	take	take
personal	person	personal
responsibility	respons	responsibility
for	for	for
his	his	his
campaign	campaign	campaign
s	s	s
actions	action	action
,	,	,
he	he	he
called	call	called
Wallace	wallac	Wallace
a	a	a
liar	liar	liar
and	and	and
accused	accus	accused
him	him	him
of	of	of
being	be	being
a	a	a
Donald	donald	Donald
Trump	trump	Trump
pawn	pawn	pawn
.	.	.
Every	everi	Every
accusation	accus	accusation
you	you	you
raised	rais	raised
there	there	there
is	is	is
incorrect	incorrect	incorrect
,	,	,
Cruz	cruz	Cruz
replied	repli	replied
.	.	.
I	i	I
appreciate	appreci	appreciate
your	your	your
reading	read	reading
the	the	the
Donald	donald	Donald
Trump	trump	Trump
attack	attack	attack
file	file	file
on	on	on
that	that	that
.	.	.
And	and	And
that	that	that
did	did	did
NOT	not	NOT
sit	sit	sit
well	well	well
with	with	with
Wallace	wallac	Wallace
at	at	at
all	all	all
,	,	,
and	and	and
he	he	he
proceeded	proceed	proceeded
to	to	to
take	take	take
Cruz	cruz	Cruz
to	to	to
the	the	the
woodshed	woodsh	woodshed
for	for	for
it	it	it
.	.	.
WALLACE	wallac	WALLACE
Oh	oh	Oh
,	,	,
come	come	come
on	on	on
,	,	,
sir	sir	sir
.	.	.
Wait	wait	Wait
a	a	a
minute	minut	minute
,	,	,
sir	sir	sir
.	.	.
You	you	You
personally	person	personally
apologized	apolog	apologized
to	to	to
Ben	ben	Ben
Carson	carson	Carson
on	on	on
a	a	a
debate	debat	debate
stage	stage	stage
.	.	.
CRUZ	cruz	CRUZ
Chris	chris	Chris
,	,	,
don	don	don
t	t	t
interrupt	interrupt	interrupt
me	me	me
.	.	.
WALLACE	wallac	WALLACE
You	you	You
fired	fire	fired
your	your	your
communications	communic	communication
director	director	director
.	.	.
CRUZ	cruz	CRUZ
Chris	chris	Chris
,	,	,
don	don	don
t	t	t
interrupt	interrupt	interrupt
me	me	me
.	.	.
WALLACE	wallac	WALLACE
Don	don	Don
t	t	t
say	say	say
this	this	this
in	in	in
an	an	an
oppo	oppo	oppo
file	file	file
on	on	on
our	our	our
part	part	part
,	,	,
sir	sir	sir
.	.	.
CRUZ	cruz	CRUZ
Chris	chris	Chris
,	,	,
please	pleas	please
don	don	don
t	t	t
interrupt	interrupt	interrupt
me	me	me
.	.	.
WALLACE	wallac	WALLACE
Please	pleas	Please
don	don	don
t	t	t
accuse	accus	accuse
me	me	me
of	of	of
something	someth	something
I	i	I
didn	didn	didn
t	t	t
do	do	do
.	.	.
CRUZ	cruz	CRUZ
Let	let	Let
me	me	me
know	know	know
when	when	when
I	i	I
m	m	m
allowed	allow	allowed
to	to	to
answer	answer	answer
.	.	.
WALLACE	wallac	WALLACE
Well	well	Well
,	,	,
don	don	don
t	t	t
accuse	accus	accuse
me	me	me
of	of	of
doing	do	doing
something	someth	something
I	i	I
didn	didn	didn
t	t	t
do	do	do
.	.	.
Two	two	Two
of	of	of
those	those	those
things	thing	thing
,	,	,
you	you	you
apologized	apolog	apologized
for	for	for
one	one	one
and	and	and
you	you	you
fired	fire	fired
your	your	your
communications	communic	communication
director	director	director
.	.	.
Don	don	Don
t	t	t
say	say	say
this	this	this
is	is	is
the	the	the
oppo	oppo	oppo
file	file	file
.	.	.
After	after	After
his	his	his
ass	ass	as
-whooping	-whoop	-whooping
by	by	by
Wallace	wallac	Wallace
,	,	,
Cruz	cruz	Cruz
went	went	went
on	on	on
to	to	to
unbelievably	unbeliev	unbelievably
claim	claim	claim
that	that	that
his	his	his
campaign	campaign	campaign
is	is	is
running	run	running
at	at	at
the	the	the
highest	highest	highest
level	level	level
of	of	of
integrity	integr	integrity
,	,	,
completely	complet	completely
unfazed	unfaz	unfazed
by	by	by
the	the	the
facts	fact	fact
presented	present	presented
by	by	by
Wallace	wallac	Wallace
to	to	to
his	his	his
face	face	face
.	.	.
Here	here	Here
s	s	s
the	the	the
video	video	video
via	via	via
YouTube	youtub	YouTube
.	.	.
This	this	This
is	is	is
the	the	the
perfect	perfect	perfect
example	exampl	example
of	of	of
Ted	ted	Ted
Cruz	cruz	Cruz
saying	say	saying
and	and	and
doing	do	doing
anything	anyth	anything
to	to	to
be	be	be
president	presid	president
.	.	.
Rather	rather	Rather
than	than	than
explain	explain	explain
himself	himself	himself
and	and	and
accept	accept	accept
personal	person	personal
responsibility	respons	responsibility
,	,	,
Cruz	cruz	Cruz
flat	flat	flat
out	out	out
lied	lie	lied
to	to	to
Wallace	wallac	Wallace
and	and	and
pretended	pretend	pretended
his	his	his
campaign	campaign	campaign
has	has	ha
never	never	never
done	done	done
anything	anyth	anything
wrong	wrong	wrong
.	.	.
And	and	And
then	then	then
he	he	he
complained	complain	complained
about	about	about
the	the	the
line	line	line
of	of	of
questioning	question	questioning
and	and	and
claimed	claim	claimed
they	they	they
were	were	were
part	part	part
of	of	of
a	a	a
Donald	donald	Donald
Trump	trump	Trump
-approved	-approv	-approved
attack	attack	attack
line	line	line
.	.	.
Ted	ted	Ted
Cruz	cruz	Cruz
definitely	definit	definitely
could	could	could
have	have	have
handled	handl	handled
this	this	this
better	better	better
,	,	,
but	but	but
now	now	now
all	all	all
he	he	he
has	has	ha
is	is	is
egg	egg	egg
on	on	on
his	his	his
face	face	face
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
video	video	video
screen	screen	screen
capture	captur	capture
