Sworn	sworn	Sworn
doing	do	doing
work	work	work
about	about	about
Donald	donald	Donald
Trump	trump	Trump
for	for	for
both	both	both
republican	republican	republican
and	and	and
democratic	democrat	democratic
candidates	candid	candidate
opposed	oppos	opposed
to	to	to
Trump	trump	Trump
.	.	.

They	they	They
were	were	were
looking	look	looking
at	at	at
Trumps	trump	Trumps
business	busi	business
ties	tie	tie
,	,	,
they	they	they
saw	saw	saw
some	some	some
questionable	question	questionable
things	thing	thing
about	about	about
Russians	russian	Russians
,	,	,
about	about	about
his	his	his
businesses	busi	business
in	in	in
Russia	russia	Russia
,	,	,
they	they	they
in	in	in
turn	turn	turn
hired	hire	hired
this	this	this
MI6	mi6	MI6
former	former	former
investigator	investig	investigator
,	,	,
he	he	he
then	then	then
came	came	came
up	up	up
with	with	with
additional	addit	additional
information	inform	information
from	from	from
his	his	his
Russian	russian	Russian
sources	sourc	source
,	,	,
he	he	he
was	was	wa
very	veri	very
concerned	concern	concerned
by	by	by
the	the	the
implications	implic	implication
of	of	of
it	it	it
,	,	,
he	he	he
then	then	then
took	took	took
it	it	it
to	to	to
an	an	an
FBI	fbi	FBI
colleague	colleagu	colleague
that	that	that
he	he	he
had	had	had
known	known	known
in	in	in
his	his	his
undercover	undercov	undercover
work	work	work
for	for	for
years	year	year
,	,	,
he	he	he
took	took	took
it	it	it
to	to	to
this	this	this
FBI	fbi	FBI
man	man	man
in	in	in
Rome	rome	Rome
who	who	who
turned	turn	turned
it	it	it
over	over	over
to	to	to
the	the	the
bureau	bureau	bureau
in	in	in
Washington	washington	Washington
in	in	in
August	august	August
.	.	.

And	and	And
then	then	then
,	,	,
a	a	a
former	former	former
British	british	British
ambassador	ambassador	ambassador
to	to	to
Russia	russia	Russia
independently	independ	independently
was	was	wa
made	made	made
aware	awar	aware
of	of	of
these	these	these
findings	find	finding
and	and	and
he	he	he
took	took	took
the	the	the
information	inform	information
to	to	to
John	john	John
McCain	mccain	McCain
Senator	senat	Senator
John	john	John
McCain	mccain	McCain
of	of	of
Arizona	arizona	Arizona
in	in	in
the	the	the
period	period	period
just	just	just
after	after	after
the	the	the
election	elect	election
,	,	,
and	and	and
showed	show	showed
it	it	it
to	to	to
McCain	mccain	McCain
additional	addit	additional
findings	find	finding
.	.	.

McCain	mccain	McCain
was	was	wa
sufficiently	suffici	sufficiently
disturbed	disturb	disturbed
by	by	by
what	what	what
he	he	he
read	read	read
to	to	to
take	take	take
it	it	it
to	to	to
FBI	fbi	FBI
director	director	director
James	jame	James
Comey	comey	Comey
himself	himself	himself
personally	person	personally
,	,	,
they	they	they
had	had	had
a	a	a
five	five	five
minute	minut	minute
meeting	meet	meeting
the	the	the
two	two	two
men	men	men
,	,	,
very	veri	very
little	littl	little
was	was	wa
said	said	said
,	,	,
McCain	mccain	McCain
turned	turn	turned
it	it	it
over	over	over
to	to	to
him	him	him
and	and	and
is	is	is
now	now	now
awaiting	await	awaiting
what	what	what
the	the	the
FBI	fbi	FBI
s	s	s
response	respons	response
is	is	is
to	to	to
that	that	that
information	inform	information
.	.	.

The	the	The
identity	ident	identity
of	of	of
the	the	the
former	former	former
British	british	British
ambassador	ambassador	ambassador
has	has	ha
not	not	not
been	been	been
disclosed	disclos	disclosed
.	.	.
Only	onli	Only
one	one	one
former	former	former
British	british	British
ambassador	ambassador	ambassador
to	to	to
Moscow	moscow	Moscow
remains	remain	remains
in	in	in
UK	uk	UK
government	govern	government
service	servic	service
,	,	,
Sir	sir	Sir
Tim	tim	Tim
Barrow	barrow	Barrow
,	,	,
who	who	who
went	went	went
on	on	on
to	to	to
be	be	be
Foreign	foreign	Foreign
Office	offic	Office
political	polit	political
director	director	director
and	and	and
is	is	is
now	now	now
Britain	britain	Britain
s	s	s
ambassador	ambassador	ambassador
to	to	to
the	the	the
European	european	European
Union	union	Union
.	.	.
The	the	The
new	new	new
information	inform	information
,	,	,
which	which	which
has	has	ha
not	not	not
been	been	been
independently	independ	independently
verified	verifi	verified
,	,	,
claims	claim	claim
that	that	that
Russian	russian	Russian
officials	offici	official
also	also	also
gathered	gather	gathered
highly	high	highly
damaging	damag	damaging
information	inform	information
on	on	on
Trump	trump	Trump
,	,	,
but	but	but
only	onli	only
released	releas	released
the	the	the
details	detail	detail
attacking	attack	attacking
Clinton	clinton	Clinton
through	through	through
the	the	the
WikiLeaks	wikileak	WikiLeaks
website	websit	website
.	.	.
The	the	The
Kremlin	kremlin	Kremlin
has	has	ha
denied	deni	denied
all	all	all
of	of	of
the	the	the
allegations	alleg	allegation
,	,	,
while	while	while
Trump	trump	Trump
tweeted	tweet	tweeted
FAKE	fake	FAKE
NEWS	news	NEWS
A	a	A
TOTAL	total	TOTAL
POLITICAL	polit	POLITICAL
WITCH	witch	WITCH
HUNT	hunt	HUNT
.	.	.
Buzzfeed	buzzfe	Buzzfeed
followed	follow	followed
up	up	up
a	a	a
report	report	report
by	by	by
CNN	cnn	CNN
which	which	which
disclosed	disclos	disclosed
the	the	the
existence	exist	existence
of	of	of
the	the	the
explosive	explos	explosive
dossier	dossier	dossier
,	,	,
but	but	but
only	onli	only
gave	gave	gave
a	a	a
brief	brief	brief
outline	outlin	outline
of	of	of
the	the	the
contents	content	content
.	.	.
The	the	The
35	35	35
-page	-page	-page
document	document	document
,	,	,
which	which	which
had	had	had
been	been	been
collated	collat	collated
by	by	by
a	a	a
former	former	former
British	british	British
Secret	secret	Secret
Intelligence	intellig	Intelligence
Service	servic	Service
agent	agent	agent
had	had	had
initially	initi	initially
been	been	been
handed	hand	handed
over	over	over
to	to	to
the	the	the
FBI	fbi	FBI
in	in	in
August	august	August
.	.	.
Buzzfeed	buzzfe	Buzzfeed
s	s	s
Editor	editor	Editor
-in-Chief	-in-chief	-in-Chief
Ben	ben	Ben
Smith	smith	Smith
wrote	wrote	wrote
an	an	an
email	email	email
to	to	to
his	his	his
staff	staff	staff
shortly	short	shortly
after	after	after
publishing	publish	publishing
the	the	the
document	document	document
.	.	.
Buzzfeed	buzzfe	Buzzfeed
is	is	is
one	one	one
of	of	of
the	the	the
radical	radic	radical
publications	public	publication
on	on	on
the	the	the
internet	internet	internet
.	.	.

It	it	It
is	is	is
known	known	known
for	for	for
pumping	pump	pumping
out	out	out
hateful	hate	hateful
and	and	and
negative	negat	negative
Trump	trump	Trump
stories	stori	story
almost	almost	almost
with	with	with
a	a	a
vengeance	vengeanc	vengeance
to	to	to
its	it	it
young	young	young
readers	reader	reader
on	on	on
a	a	a
regular	regular	regular
basis	basi	basis
.	.	.

The	the	The
release	releas	release
of	of	of
this	this	this
FAKE	fake	FAKE
NEWS	news	NEWS
should	should	should
surprise	surpris	surprise
NO	no	NO
ONE	one	ONE
!	!	!

Daily	daili	Daily
Mail	mail	Mail

