Last	last	Last
,	,	,
and	and	and
for	for	for
a	a	a
presidential	presidenti	presidential
candidate	candid	candidate
who	who	who
constantly	constant	constantly
gripes	gripe	gripe
about	about	about
our	our	our
veterans	veteran	veteran
not	not	not
getting	get	getting
cared	care	cared
for	for	for
,	,	,
and	and	and
our	our	our
infrastructure	infrastructur	infrastructure
crumbling	crumbl	crumbling
,	,	,
he	he	he
cannot	cannot	cannot
go	go	go
around	around	around
bragging	brag	bragging
about	about	about
how	how	how
he	he	he
s	s	s
paid	paid	paid
little	littl	little
to	to	to
no	no	no
income	incom	income
tax	tax	tax
.	.	.
Especially	especi	Especially
when	when	when
things	thing	thing
like	like	like
veterans	veteran	veteran
benefits	benefit	benefit
and	and	and
infrastructure	infrastructur	infrastructure
have	have	have
been	been	been
crumbling	crumbl	crumbling
because	becaus	because
the	the	the
little	littl	little
guy	guy	guy
s	s	s
been	been	been
shouldering	shoulder	shouldering
a	a	a
lot	lot	lot
of	of	of
the	the	the
tax	tax	tax
burden	burden	burden
in	in	in
this	this	this
country	countri	country
,	,	,
while	while	while
the	the	the
wealthy	wealthi	wealthy
and	and	and
corporations	corpor	corporation
get	get	get
away	away	away
with	with	with
paying	pay	paying
far	far	far
less	less	le
than	than	than
their	their	their
fair	fair	fair
share	share	share
.	.	.

Trump	trump	Trump
s	s	s
essentially	essenti	essentially
bragging	brag	bragging
that	that	that
he	he	he
s	s	s
gotten	gotten	gotten
around	around	around
,	,	,
and	and	and
gotten	gotten	gotten
away	away	away
with	with	with
,	,	,
something	someth	something
the	the	the
rest	rest	rest
of	of	of
us	us	u
do	do	do
faithfully	faith	faithfully
every	everi	every
year	year	year
,	,	,
whether	whether	whether
we	we	we
like	like	like
it	it	it
or	or	or
not	not	not
.	.	.
All	all	All
this	this	this
actually	actual	actually
does	doe	doe
is	is	is
show	show	show
Trump	trump	Trump
for	for	for
the	the	the
selfish	selfish	selfish
,	,	,
narcissistic	narcissist	narcissistic
hypocrite	hypocrit	hypocrite
he	he	he
is	is	is
.	.	.

Chris	chris	Chris
Christie	christi	Christie
is	is	is
a	a	a
brown	brown	brown
-nosed	-nose	-nosed
bootkisser	bootkiss	bootkisser
,	,	,
though	though	though
,	,	,
and	and	and
he	he	he
seems	seem	seems
to	to	to
be	be	be
learning	learn	learning
spin	spin	spin
from	from	from
the	the	the
worst	worst	worst
elements	element	element
at	at	at
places	place	place
like	like	like
Breitbart	breitbart	Breitbart
and	and	and
Fox	fox	Fox
News	news	News
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
screen	screen	screen
capture	captur	capture
from	from	from
embedded	embed	embedded
video	video	video

