While	while	While
disparage	disparag	disparage
Mr	mr	Mr
.	.	.
Trump	trump	Trump
s	s	s
generosity	generos	generosity
for	for	for
a	a	a
totally	total	totally
unsolicited	unsolicit	unsolicited
gesture	gestur	gesture
for	for	for
which	which	which
he	he	he
had	had	had
no	no	no
obligation	oblig	obligation
,	,	,
we	we	we
would	would	would
all	all	all
be	be	be
better	better	better
for	for	for
it	it	it
,	,	,
campaign	campaign	campaign
spokeswoman	spokeswoman	spokeswoman
Hope	hope	Hope
Hicks	hick	Hicks
said	said	said
Thursday	thursday	Thursday
.	.	.
When	when	When
asked	ask	asked
about	about	about
the	the	the
money	money	money
by	by	by
CNN	cnn	CNN
s	s	s
Chris	chris	Chris
Cuomo	cuomo	Cuomo
,	,	,
the	the	the
network	network	network
s	s	s
Drew	drew	Drew
Griffin	griffin	Griffin
said	said	said
We	we	We
found	found	found
the	the	the
same	same	same
thing	thing	thing
that	that	that
you	you	you
found	found	found
Chris	chris	Chris
,	,	,
a	a	a
lot	lot	lot
of	of	of
promises	promis	promise
and	and	and
not	not	not
a	a	a
lot	lot	lot
of	of	of
answers	answer	answer
and	and	and
it	it	it
just	just	just
shouldn	shouldn	shouldn
t	t	t
be	be	be
that	that	that
hard	hard	hard
,	,	,
number	number	number
one	one	one
in	in	in
the	the	the
big	big	big
scheme	scheme	scheme
of	of	of
things	thing	thing
it	it	it
s	s	s
just	just	just
not	not	not
that	that	that
much	much	much
money	money	money
and	and	and
the	the	the
accounting	account	accounting
is	is	is
not	not	not
that	that	that
difficult	difficult	difficult
to	to	to
do	do	do
.	.	.
Here	here	Here
s	s	s
a	a	a
video	video	video
from	from	from
CNN	cnn	CNN
Some	some	Some
experts	expert	expert
say	say	say
that	that	that
this	this	this
isn	isn	isn
t	t	t
that	that	that
unusual	unusu	unusual
,	,	,
that	that	that
it	it	it
often	often	often
takes	take	take
a	a	a
few	few	few
months	month	month
before	befor	before
large	larg	large
donations	donat	donation
make	make	make
it	it	it
to	to	to
their	their	their
destination	destin	destination
,	,	,
but	but	but
others	other	others
say	say	say
that	that	that
the	the	the
veterans	veteran	veteran
organizations	organ	organization
should	should	should
have	have	have
been	been	been
paid	paid	paid
by	by	by
now	now	now
.	.	.
The	the	The
bigger	bigger	bigger
question	question	question
,	,	,
though	though	though
,	,	,
is	is	is
where	where	where
the	the	the
hell	hell	hell
is	is	is
the	the	the
money	money	money
?	?	?
Whether	whether	Whether
this	this	this
is	is	is
an	an	an
innocent	innoc	innocent
mistake	mistak	mistake
or	or	or
something	someth	something
much	much	much
worse	wors	worse
,	,	,
it	it	it
doesn	doesn	doesn
t	t	t
bode	bode	bode
well	well	well
for	for	for
the	the	the
Trump	trump	Trump
campaign	campaign	campaign
,	,	,
but	but	but
few	few	few
are	are	are
covering	cover	covering
this	this	this
.	.	.
Trump	trump	Trump
is	is	is
a	a	a
terrible	terribl	terrible
money	money	money
manager	manag	manager
.	.	.
He	he	He
has	has	ha
filed	file	filed
bankruptcy	bankruptci	bankruptcy
a	a	a
whopping	whop	whopping
four	four	four
times	time	time
and	and	and
he	he	he
promised	promis	promised
to	to	to
do	do	do
the	the	the
same	same	same
with	with	with
the	the	the
United	unit	United
States	state	States
.	.	.
Of	of	Of
course	cours	course
,	,	,
even	even	even
if	if	if
every	everi	every
one	one	one
of	of	of
Trump	trump	Trump
s	s	s
supporters	support	supporter
were	were	were
to	to	to
read	read	read
this	this	this
,	,	,
they	they	they
wouldn	wouldn	wouldn
t	t	t
care	care	care
.	.	.
Hell	hell	Hell
,	,	,
he	he	he
could	could	could
steal	steal	steal
money	money	money
right	right	right
out	out	out
of	of	of
veterans	veteran	veteran
hands	hand	hand
,	,	,
and	and	and
they	they	they
wouldn	wouldn	wouldn
t	t	t
care	care	care
.	.	.
It	it	It
s	s	s
just	just	just
like	like	like
Obama	obama	Obama
Derangement	derang	Derangement
Syndrome	syndrom	Syndrome
and	and	and
Clinton	clinton	Clinton
Derangement	derang	Derangement
Syndrome	syndrom	Syndrome
,	,	,
only	onli	only
the	the	the
exact	exact	exact
opposite	opposit	opposite
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Christopher	christoph	Christopher
Furlong	furlong	Furlong
Getty	getti	Getty
Images	imag	Images
