There	there	There
media	media	medium
pushback	pushback	pushback
with	with	with
the	the	the
White	white	White
House	hous	House
press	press	press
secretary	secretari	secretary
,	,	,
he	he	he
said	said	said
.	.	.
And	and	And
that	that	that
means	mean	mean
an	an	an
independent	independ	independent
commission	commiss	commission
needs	need	need
to	to	to
be	be	be
tasked	task	tasked
with	with	with
investigating	investig	investigating
Trump	trump	Trump
s	s	s
ties	tie	tie
to	to	to
Russia	russia	Russia
and	and	and
a	a	a
special	special	special
prosecutor	prosecutor	prosecutor
should	should	should
be	be	be
appointed	appoint	appointed
to	to	to
oversee	overse	oversee
it	it	it
.	.	.
Because	becaus	Because
it	it	it
is	is	is
clear	clear	clear
that	that	that
Trump	trump	Trump
and	and	and
his	his	his
team	team	team
are	are	are
trying	tri	trying
to	to	to
hide	hide	hide
something	someth	something
.	.	.
There	there	There
is	is	is
something	someth	something
they	they	they
don	don	don
t	t	t
want	want	want
the	the	the
American	american	American
people	peopl	people
discovering	discov	discovering
.	.	.
We	we	We
deserve	deserv	deserve
to	to	to
know	know	know
the	the	the
truth	truth	truth
and	and	and
by	by	by
trying	tri	trying
so	so	so
hard	hard	hard
to	to	to
kill	kill	kill
it	it	it
,	,	,
Trump	trump	Trump
is	is	is
making	make	making
this	this	this
story	stori	story
even	even	even
bigger	bigger	bigger
and	and	and
more	more	more
important	import	important
than	than	than
ever	ever	ever
.	.	.
Featured	featur	Featured
Image	imag	Image
Win	win	Win
McNamee	mcname	McNamee
Getty	getti	Getty
Images	imag	Images
