Time	time	Time
Obama	obama	Obama
are	are	are
in	in	in
the	the	the
White	white	White
House	hous	House
is	is	is
a	a	a
day	day	day
that	that	that
I	i	I
am	am	am
thankful	thank	thankful
for	for	for
.	.	.

Obama	obama	Obama
isn	isn	isn
t	t	t
the	the	the
only	onli	only
politician	politician	politician
Taylor	taylor	Taylor
is	is	is
supporting	support	supporting
The	the	The
singer	singer	singer
said	said	said
he	he	he
s	s	s
on	on	on
the	the	the
Hillary	hillari	Hillary
Rodham	rodham	Rodham
Clinton	clinton	Clinton
train	train	train
,	,	,
too	too	too
.	.	.

And	and	And
aside	asid	aside
from	from	from
the	the	the
fact	fact	fact
that	that	that
she	she	she
s	s	s
a	a	a
woman	woman	woman
running	run	running
,	,	,
she	she	she
s	s	s
the	the	the
right	right	right
person	person	person
.	.	.

The	the	The
whole	whole	whole
point	point	point
black	black	black
or	or	or
white	white	white
,	,	,
male	male	male
or	or	or
female	femal	female
,	,	,
gay	gay	gay
or	or	or
straight	straight	straight
,	,	,
Christian	christian	Christian
,	,	,
Jewish	jewish	Jewish
,	,	,
Muslim	muslim	Muslim
,	,	,
atheist	atheist	atheist
it	it	it
doesn	doesn	doesn
t	t	t
matter	matter	matter
what	what	what
these	these	these
other	other	other
connections	connect	connection
are	are	are
,	,	,
he	he	he
said	said	said
.	.	.

Our	our	Our
country	countri	country
needs	need	need
to	to	to
come	come	come
together	togeth	together
and	and	and
the	the	the
question	question	question
is	is	is
,	,	,
Is	is	Is
this	this	this
public	public	public
servant	servant	servant
someone	someon	someone
who	who	who
will	will	will
bring	bring	bring
us	us	u
together	togeth	together
?	?	?

And	and	And
I	i	I
think	think	think
she	she	she
is	is	is
.	.	.

Taylor	taylor	Taylor
will	will	will
release	releas	release
a	a	a
new	new	new
album	album	album
,	,	,
Before	befor	Before
This	this	This
World	world	World
,	,	,
on	on	on
June	june	June
16	16	16
,	,	,
and	and	and
will	will	will
perform	perform	perform
a	a	a
concert	concert	concert
for	for	for
SiriusXM	siriusxm	SiriusXM
at	at	at
The	the	The
Apollo	apollo	Apollo
in	in	in
New	new	New
York	york	York
City	citi	City
on	on	on
the	the	the
same	same	same
day	day	day
.	.	.

He	he	He
will	will	will
also	also	also
launch	launch	launch
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
tour	tour	tour
in	in	in
July	juli	July
.	.	.
Via	via	Via
AP	ap	AP
News	news	News

