Throughout	throughout	Throughout
https://t.co/QUwwpKW7uS	https://t.co/quwwpkw7us	https://t.co/QUwwpKW7uS
The	the	The
Situation	situat	Situation
Room	room	Room
@CNNSitRoom	@cnnsitroom	@CNNSitRoom
May	may	May
31	31	31
,	,	,
2016I	2016i	2016I
disagree	disagre	disagree
,	,	,
I	i	I
think	think	think
Trump	trump	Trump
is	is	is
very	veri	very
aware	awar	aware
of	of	of
the	the	the
role	role	role
of	of	of
the	the	the
free	free	free
press	press	press
,	,	,
but	but	but
he	he	he
doesn	doesn	doesn
t	t	t
want	want	want
his	his	his
supporters	support	supporter
to	to	to
be	be	be
aware	awar	aware
of	of	of
it	it	it
.	.	.
It	it	It
is	is	is
no	no	no
secret	secret	secret
that	that	that
the	the	the
people	peopl	people
who	who	who
support	support	support
the	the	the
billionaire	billionair	billionaire
are	are	are
not	not	not
the	the	the
brightest	brightest	brightest
crayons	crayon	crayon
in	in	in
the	the	the
box	box	box
.	.	.
Trump	trump	Trump
has	has	ha
even	even	even
talked	talk	talked
about	about	about
how	how	how
much	much	much
he	he	he
loves	love	love
his	his	his
poorly	poor	poorly
educated	educ	educated
voters	voter	voter
.	.	.
He	he	He
needs	need	need
to	to	to
convince	convinc	convince
these	these	these
people	peopl	people
to	to	to
distrust	distrust	distrust
the	the	the
press	press	press
because	becaus	because
then	then	then
they	they	they
will	will	will
just	just	just
tune	tune	tune
out	out	out
the	the	the
stories	stori	story
that	that	that
would	would	would
sink	sink	sink
his	his	his
candidacy	candidaci	candidacy
.	.	.
He	he	He
needs	need	need
them	them	them
to	to	to
ignore	ignor	ignore
the	the	the
shadiness	shadi	shadiness
around	around	around
the	the	the
money	money	money
he	he	he
supposedly	suppos	supposedly
raised	rais	raised
for	for	for
veterans	veteran	veteran
.	.	.
He	he	He
needs	need	need
them	them	them
to	to	to
ignore	ignor	ignore
the	the	the
Trump	trump	Trump
University	univers	University
story	stori	story
and	and	and
how	how	how
he	he	he
swindled	swindl	swindled
people	peopl	people
out	out	out
of	of	of
their	their	their
money	money	money
.	.	.
He	he	He
needs	need	need
them	them	them
to	to	to
ignore	ignor	ignore
every	everi	every
single	singl	single
bad	bad	bad
report	report	report
that	that	that
they	they	they
may	may	may
see	see	see
on	on	on
the	the	the
news	news	news
in	in	in
the	the	the
coming	come	coming
months	month	month
.	.	.
It	it	It
is	is	is
the	the	the
easiest	easiest	easiest
way	way	way
to	to	to
lead	lead	lead
his	his	his
sheep	sheep	sheep
to	to	to
slaughter	slaughter	slaughter
.	.	.
Trump	trump	Trump
may	may	may
be	be	be
a	a	a
bombastic	bombast	bombastic
,	,	,
racist	racist	racist
,	,	,
lying	lie	lying
asshole	asshol	asshole
,	,	,
but	but	but
he	he	he
isn	isn	isn
t	t	t
stupid	stupid	stupid
and	and	and
he	he	he
is	is	is
playing	play	playing
his	his	his
supporters	support	supporter
like	like	like
a	a	a
fiddle	fiddl	fiddle
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
video	video	video
screenshot	screenshot	screenshot
