Tom	tom	Tom
am	am	am
voting	vote	voting
for	for	for
Hillary	hillari	Hillary
Clinton	clinton	Clinton
because	becaus	because
she	she	she
is	is	is
wildly	wild	wildly
,	,	,
wildly	wild	wildly
qualified	qualifi	qualified
to	to	to
be	be	be
president	presid	president
of	of	of
the	the	the
United	unit	United
States	state	States
at	at	at
the	the	the
same	same	same
time	time	time
with	with	with
dealing	deal	dealing
after	after	after
one	one	one
damn	damn	damn
thing	thing	thing
after	after	after
the	the	the
other	other	other
that	that	that
the	the	the
world	world	world
has	has	ha
handed	hand	handed
her	her	her
.	.	.

When	when	When
asked	ask	asked
what	what	what
will	will	will
happen	happen	happen
if	if	if
Donald	donald	Donald
Trump	trump	Trump
becomes	becom	becomes
president	presid	president
,	,	,
Hanks	hank	Hanks
said	said	said
it	it	it
would	would	would
be	be	be
a	a	a
dark	dark	dark
day	day	day
for	for	for
the	the	the
planet	planet	planet
Earth	earth	Earth
.	.	.

Here	here	Here
s	s	s
the	the	the
video	video	video
via	via	via
YouTube	youtub	YouTube
ad3media	ad3media	ad3media
campaign	campaign	campaign
1154	1154	1154
Either	either	Either
way	way	way
,	,	,
Donald	donald	Donald
Trump	trump	Trump
is	is	is
not	not	not
the	the	the
candidate	candid	candidate
most	most	most
qualified	qualifi	qualified
to	to	to
be	be	be
president	presid	president
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
screenshot	screenshot	screenshot

