Megyn	megyn	Megyn
-	-	-
I	i	I
disavow	disavow	disavow
.	.	.

pic.twitter.com/OIXFKPUlz2	pic.twitter.com/oixfkpulz2	pic.twitter.com/OIXFKPUlz2
Donald	donald	Donald
J	j	J
.	.	.

Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
February	februari	February
28	28	28
,	,	,
2016Kelly	2016kelli	2016Kelly
mentioned	mention	mentioned
that	that	that
it	it	it
was	was	wa
weird	weird	weird
how	how	how
Trump	trump	Trump
disavowed	disavow	disavowed
Duke	duke	Duke
on	on	on
Friday	friday	Friday
but	but	but
acted	act	acted
like	like	like
he	he	he
had	had	had
never	never	never
heard	heard	heard
of	of	of
him	him	him
during	dure	during
the	the	the
interview	interview	interview
with	with	with
Jake	jake	Jake
Tapper	tapper	Tapper
on	on	on
CNN	cnn	CNN
on	on	on
Sunday	sunday	Sunday
,	,	,
and	and	and
Huckabee	huckabe	Huckabee
could	could	could
only	onli	only
admit	admit	admit
that	that	that
he	he	he
couldn	couldn	couldn
t	t	t
explain	explain	explain
it	it	it
.	.	.
Huckabee	huckabe	Huckabee
then	then	then
tried	tri	tried
to	to	to
excuse	excus	excuse
Trump	trump	Trump
s	s	s
terrible	terribl	terrible
interview	interview	interview
by	by	by
claiming	claim	claiming
that	that	that
his	his	his
earpiece	earpiec	earpiece
wasn	wasn	wasn
t	t	t
working	work	working
,	,	,
something	someth	something
Kelly	kelli	Kelly
called	call	called
him	him	him
out	out	out
on	on	on
swiftly	swift	swiftly
.	.	.

But	but	But
Trump	trump	Trump
heard	heard	heard
David	david	David
Duke	duke	Duke
in	in	in
that	that	that
ear	ear	ear
piece	piec	piece
,	,	,
you	you	you
know	know	know
that	that	that
,	,	,
because	becaus	because
he	he	he
repeated	repeat	repeated
back	back	back
,	,	,
David	david	David
Duke	duke	Duke
,	,	,
to	to	to
Jake	jake	Jake
Tapper	tapper	Tapper
,	,	,
she	she	she
brutally	brutal	brutally
reminded	remind	reminded
the	the	the
former	former	former
Arkansas	arkansa	Arkansas
Governor	governor	Governor
.	.	.
Huckabee	huckabe	Huckabee
responded	respond	responded
by	by	by
repeating	repeat	repeating
his	his	his
assertion	assert	assertion
that	that	that
he	he	he
doesn	doesn	doesn
t	t	t
believe	believ	believe
Trump	trump	Trump
is	is	is
a	a	a
racist	racist	racist
and	and	and
went	went	went
on	on	on
to	to	to
trash	trash	trash
the	the	the
KKK	kkk	KKK
as	as	a
an	an	an
abominable	abomin	abominable
organization	organ	organization
that	that	that
he	he	he
can	can	can
t	t	t
believe	believ	believe
still	still	still
exists	exist	exists
.	.	.
Kelly	kelli	Kelly
said	said	said
that	that	that
it	it	it
s	s	s
hard	hard	hard
to	to	to
believe	believ	believe
that	that	that
Trump	trump	Trump
could	could	could
fumble	fumbl	fumble
on	on	on
something	someth	something
that	that	that
is	is	is
such	such	such
a	a	a
no	no	no
-brainer	-brainer	-brainer
.	.	.

Political	polit	Political
candidates	candid	candidate
just	just	just
do	do	do
not	not	not
accept	accept	accept
endorsements	endors	endorsement
from	from	from
hate	hate	hate
groups	group	group
like	like	like
the	the	the
KKK	kkk	KKK
.	.	.

Such	such	Such
an	an	an
endorsement	endors	endorsement
is	is	is
damaging	damag	damaging
and	and	and
is	is	is
usually	usual	usually
quickly	quick	quickly
denounced	denounc	denounced
to	to	to
protect	protect	protect
the	the	the
image	imag	image
and	and	and
reputation	reput	reputation
of	of	of
the	the	the
person	person	person
running	run	running
for	for	for
public	public	public
office	offic	office
.	.	.
But	but	But
Trump	trump	Trump
took	took	took
a	a	a
long	long	long
time	time	time
to	to	to
finally	final	finally
disavow	disavow	disavow
Duke	duke	Duke
,	,	,
and	and	and
it	it	it
appears	appear	appears
he	he	he
only	onli	only
did	did	did
so	so	so
reluctantly	reluct	reluctantly
.	.	.
Kelly	kelli	Kelly
even	even	even
reminded	remind	reminded
Huckabee	huckabe	Huckabee
of	of	of
other	other	other
racist	racist	racist
incidents	incid	incident
involving	involv	involving
Trump	trump	Trump
,	,	,
the	the	the
most	most	most
recent	recent	recent
of	of	of
which	which	which
occurred	occur	occurred
when	when	when
he	he	he
decrided	decrid	decrided
a	a	a
judge	judg	judge
for	for	for
being	be	being
Hispanic	hispan	Hispanic
as	as	a
the	the	the
reason	reason	reason
why	whi	why
a	a	a
court	court	court
ruled	rule	ruled
against	against	against
him	him	him
in	in	in
a	a	a
fraud	fraud	fraud
case	case	case
against	against	against
Trump	trump	Trump
University	univers	University
.	.	.

Huckabee	huckabe	Huckabee
responded	respond	responded
by	by	by
calling	call	calling
this	this	this
election	elect	election
silly	silli	silly
.	.	.

Here	here	Here
s	s	s
the	the	the
video	video	video
via	via	via
YouTube	youtub	YouTube
.	.	.
Kudos	kudo	Kudos
to	to	to
Megyn	megyn	Megyn
Kelly	kelli	Kelly
for	for	for
not	not	not
joining	join	joining
her	her	her
Fox	fox	Fox
colleagues	colleagu	colleague
in	in	in
defense	defens	defense
of	of	of
a	a	a
racist	racist	racist
.	.	.

Featured	featur	Featured
image	imag	image
via	via	via
video	video	video
screenshot	screenshot	screenshot

