Modern	modern	Modern
know	know	know
that	that	that
.	.	.

Now	now	Now
,	,	,
to	to	to
the	the	the
people	peopl	people
calling	call	calling
Lawrence	lawrenc	Lawrence
rude	rude	rude
Really	realli	Really
?	?	?

She	she	She
was	was	wa
clearly	clear	clearly
giving	give	giving
that	that	that
reporter	report	reporter
her	her	her
undivided	undivid	undivided
attention	attent	attention
and	and	and
was	was	wa
making	make	making
herself	herself	herself
available	avail	available
to	to	to
answer	answer	answer
his	his	his
question	question	question
,	,	,
and	and	and
he	he	he
was	was	wa
still	still	still
staring	stare	staring
at	at	at
his	his	his
phone	phone	phone
.	.	.

So	so	So
,	,	,
who	who	who
was	was	wa
rude	rude	rude
?	?	?

It	it	It
certainly	certain	certainly
wasn	wasn	wasn
t	t	t
Lawrence	lawrenc	Lawrence
for	for	for
pointing	point	pointing
it	it	it
out	out	out
.	.	.
If	if	If
you	you	you
go	go	go
back	back	back
and	and	and
watch	watch	watch
the	the	the
Golden	golden	Golden
Globes	globe	Globes
during	dure	during
the	the	the
part	part	part
when	when	when
Amy	ami	Amy
Schumer	schumer	Schumer
and	and	and
Jennifer	jennif	Jennifer
Lawrence	lawrenc	Lawrence
were	were	were
announcing	announc	announcing
each	each	each
other	other	other
s	s	s
films	film	film
,	,	,
you	you	you
can	can	can
see	see	see
that	that	that
there	there	there
was	was	wa
a	a	a
jab	jab	jab
at	at	at
people	peopl	people
using	use	using
their	their	their
phones	phone	phone
then	then	then
,	,	,
too	too	too
.	.	.
We	we	We
ve	ve	ve
become	becom	become
a	a	a
culture	cultur	culture
all	all	all
too	too	too
reliant	reliant	reliant
on	on	on
our	our	our
cell	cell	cell
phones	phone	phone
and	and	and
technology	technolog	technology
that	that	that
we	we	we
ve	ve	ve
forgotten	forgotten	forgotten
basic	basic	basic
human	human	human
interaction	interact	interaction
skills	skill	skill
,	,	,
better	better	better
known	known	known
as	as	a
social	social	social
skills	skill	skill
.	.	.

Don	don	Don
t	t	t
call	call	call
someone	someon	someone
rude	rude	rude
for	for	for
pointing	point	pointing
out	out	out
rude	rude	rude
behavior	behavior	behavior
.	.	.

Take	take	Take
what	what	what
they	they	they
are	are	are
saying	say	saying
to	to	to
heart	heart	heart
,	,	,
understand	understand	understand
why	whi	why
it	it	it
may	may	may
offend	offend	offend
you	you	you
,	,	,
because	becaus	because
you	you	you
may	may	may
be	be	be
just	just	just
as	as	a
guilty	guilti	guilty
,	,	,
and	and	and
remember	rememb	remember
that	that	that
human	human	human
beings	be	being
should	should	should
,	,	,
in	in	in
fact	fact	fact
,	,	,
have	have	have
human	human	human
interaction	interact	interaction
without	without	without
technology	technolog	technology
getting	get	getting
in	in	in
the	the	the
way	way	way
.	.	.
Lawrence	lawrenc	Lawrence
perfectly	perfect	perfectly
points	point	point
out	out	out
what	what	what
s	s	s
wrong	wrong	wrong
with	with	with
modern	modern	modern
-day	-day	-day
life	life	life
,	,	,
and	and	and
kudos	kudo	kudos
to	to	to
her	her	her
for	for	for
doing	do	doing
so	so	so
.	.	.

We	we	We
all	all	all
need	need	need
to	to	to
live	live	live
in	in	in
the	the	the
now	now	now
.	.	.

Life	life	Life
is	is	is
happening	happen	happening
before	befor	before
our	our	our
very	veri	very
eyes	eye	eye
if	if	if
we	we	we
make	make	make
the	the	the
decision	decis	decision
to	to	to
look	look	look
up	up	up
from	from	from
our	our	our
mobile	mobil	mobile
devices	devic	device
.	.	.

Jennifer	jennif	Jennifer
Lawrence	lawrenc	Lawrence
calls	call	call
out	out	out
a	a	a
reporter	report	reporter
for	for	for
not	not	not
looking	look	looking
up	up	up
from	from	from
his	his	his
phone	phone	phone
.	.	.

#GoldenGlobes	#goldenglob	#GoldenGlobes
#backstage	#backstag	#backstage
https://t.co/anWeQCsIL6	https://t.co/anweqcsil6	https://t.co/anWeQCsIL6
Variety	varieti	Variety
@Variety	@varieti	@Variety
January	januari	January
11	11	11
,	,	,
2016	2016	2016
Video	video	Video
Featured	featur	Featured
image	imag	image
Twitter	twitter	Twitter

