Conservative	conserv	Conservative
,	,	,
2017Here	2017here	2017Here
is	is	is
the	the	the
video	video	video
originally	origin	originally
tweeted	tweet	tweeted
by	by	by
Based	base	Based
Monitored	monitor	Monitored
Rep	rep	Rep
.	.	.
Hank	hank	Hank
Johnson	johnson	Johnson
just	just	just
called	call	called
the	the	the
FBI	fbi	FBI
Director	director	Director
his	his	his
homeboy	homeboy	homeboy
ridiculous	ridicul	ridiculous
.	.	.
But	but	But
it	it	it
gives	give	give
me	me	me
an	an	an
excuse	excus	excuse
to	to	to
show	show	show
everyone	everyon	everyone
how	how	how
dumb	dumb	dumb
he	he	he
truly	truli	truly
is	is	is
.	.	.
Here	here	Here
s	s	s
a	a	a
video	video	video
of	of	of
him	him	him
thinking	think	thinking
that	that	that
the	the	the
island	island	island
of	of	of
Guam	guam	Guam
will	will	will
tip	tip	tip
over	over	over
and	and	and
capsize	capsiz	capsize
.	.	.
pic.twitter.com/bk7lEB60yz	pic.twitter.com/bk7leb60yz	pic.twitter.com/bk7lEB60yz
Based	base	Based
Monitored	monitor	Monitored
@BasedMonitored	@basedmonitor	@BasedMonitored
December	decemb	December
7	7	7
,	,	,
2017Next	2017next	2017Next
up	up	up
on	on	on
Woods	wood	Woods
liberal	liber	liberal
hit	hit	hit
list	list	list
was	was	wa
Chelsea	chelsea	Chelsea
Handler	handler	Handler
.	.	.
Recently	recent	Recently
,	,	,
during	dure	during
an	an	an
interview	interview	interview
,	,	,
the	the	the
not	not	not
-funny	-funni	-funny
comedian	comedian	comedian
and	and	and
unhinged	unhing	unhinged
liberal	liber	liberal
Chelsea	chelsea	Chelsea
Handler	handler	Handler
,	,	,
called	call	called
Sarah	sarah	Sarah
Huckabee	huckabe	Huckabee
Sanders	sander	Sanders
a	a	a
harlot	harlot	harlot
with	with	with
summer	summer	summer
-whore	-whore	-whore
lipstick	lipstick	lipstick
and	and	and
a	a	a
trollop	trollop	trollop
.	.	.
James	jame	James
Woods	wood	Woods
didn	didn	didn
t	t	t
waste	wast	waste
any	ani	any
time	time	time
reminding	remind	reminding
Twitter	twitter	Twitter
users	user	user
about	about	about
the	the	the
disgusting	disgust	disgusting
video	video	video
of	of	of
Chelsea	chelsea	Chelsea
Handler	handler	Handler
,	,	,
where	where	where
she	she	she
s	s	s
swimming	swim	swimming
in	in	in
the	the	the
water	water	water
while	while	while
actor	actor	actor
and	and	and
comedian	comedian	comedian
Jason	jason	Jason
Biggs	bigg	Biggs
is	is	is
standing	stand	standing
above	abov	above
her	her	her
on	on	on
a	a	a
boat	boat	boat
,	,	,
peeing	pee	peeing
all	all	all
over	over	over
her	her	her
face	face	face
.	.	.
Handler	handler	Handler
seems	seem	seems
unfazed	unfaz	unfazed
by	by	by
Biggs	bigg	Biggs
peeing	pee	peeing
on	on	on
her	her	her
face	face	face
,	,	,
as	as	a
she	she	she
looks	look	look
around	around	around
smiling	smile	smiling
,	,	,
and	and	and
acting	act	acting
like	like	like
a	a	a
human	human	human
urinal	urin	urinal
.	.	.
Woods	wood	Woods
tweeted	tweet	tweeted
about	about	about
Handler	handler	Handler
This	this	This
person	person	person
berates	berat	berates
the	the	the
character	charact	character
of	of	of
@SarahHuckabee	@sarahhuckabe	@SarahHuckabee
on	on	on
a	a	a
daily	daili	daily
basis	basi	basis
.	.	.
#ChelseaHandlerHumanUrinalThis	#chelseahandlerhumanurinalthi	#ChelseaHandlerHumanUrinalThis
person	person	person
berates	berat	berates
the	the	the
character	charact	character
of	of	of
@SarahHuckabee	@sarahhuckabe	@SarahHuckabee
on	on	on
a	a	a
daily	daili	daily
basis	basi	basis
.	.	.
#ChelseaHandlerHumanUrinal	#chelseahandlerhumanurin	#ChelseaHandlerHumanUrinal
https://t.co/Y07Q0Rmcw6	https://t.co/y07q0rmcw6	https://t.co/Y07Q0Rmcw6
James	jame	James
Woods	wood	Woods
@RealJamesWoods	@realjameswood	@RealJamesWoods
December	decemb	December
9	9	9
,	,	,
2017Only	2017on	2017Only
3	3	3
days	day	day
ago	ago	ago
,	,	,
Handler	handler	Handler
doubled	doubl	doubled
down	down	down
on	on	on
stupid	stupid	stupid
,	,	,
when	when	when
she	she	she
tweeted	tweet	tweeted
about	about	about
having	have	having
to	to	to
evacuate	evacu	evacuate
her	her	her
California	california	California
home	home	home
due	due	due
to	to	to
the	the	the
wildfires	wildfir	wildfire
.	.	.
Handler	handler	Handler
,	,	,
who	who	who
claims	claim	claim
she	she	she
was	was	wa
fleeing	flee	fleeing
from	from	from
her	her	her
home	home	home
,	,	,
took	took	took
time	time	time
from	from	from
her	her	her
daring	dare	daring
escape	escap	escape
,	,	,
to	to	to
tweet	tweet	tweet
about	about	about
her	her	her
unfortunate	unfortun	unfortunate
circumstance	circumst	circumstance
,	,	,
and	and	and
to	to	to
blame	blame	blame
President	presid	President
Trump	trump	Trump
for	for	for
setting	set	setting
the	the	the
world	world	world
on	on	on
fire	fire	fire
,	,	,
because	becaus	because
well	well	well
,	,	,
why	whi	why
not	not	not
?	?	?
Just	just	Just
evacuated	evacu	evacuated
my	my	my
house	hous	house
.	.	.
It	it	It
s	s	s
like	like	like
Donald	donald	Donald
Trump	trump	Trump
is	is	is
setting	set	setting
the	the	the
world	world	world
on	on	on
fire	fire	fire
.	.	.
Literally	liter	Literally
and	and	and
figuratively	figur	figuratively
.	.	.
Stay	stay	Stay
safe	safe	safe
everyone	everyon	everyone
.	.	.
Dark	dark	Dark
times	time	time
.	.	.
Chelsea	chelsea	Chelsea
Handler	handler	Handler
@chelseahandler	@chelseahandl	@chelseahandler
December	decemb	December
6	6	6
,	,	,
2017	2017	2017
