Whiny	whini	Whiny
not	not	not
showing	show	showing
the	the	the
office	offic	office
respect	respect	respect
,	,	,
and	and	and
you	you	you
are	are	are
inciting	incit	inciting
mob	mob	mob
mentality	mental	mentality
if	if	if
not	not	not
mob	mob	mob
violence	violenc	violence
,	,	,
she	she	she
said	said	said
.	.	.
You	you	You
are	are	are
encouraging	encourag	encouraging
people	peopl	people
to	to	to
go	go	go
out	out	out
there	there	there
and	and	and
unpeacefully	unpeac	unpeacefully
protest	protest	protest
and	and	and
block	block	block
airport	airport	airport
entrances	entranc	entrance
for	for	for
people	peopl	people
who	who	who
are	are	are
going	go	going
to	to	to
visit	visit	visit
a	a	a
sick	sick	sick
parent	parent	parent
and	and	and
can	can	can
t	t	t
make	make	make
their	their	their
flight	flight	flight
,	,	,
or	or	or
are	are	are
going	go	going
for	for	for
a	a	a
bereavement	bereav	bereavement
call	call	call
and	and	and
can	can	can
t	t	t
make	make	make
their	their	their
flight	flight	flight
.	.	.
Listen	listen	Listen
below	below	below
People	peopl	People
are	are	are
treating	treat	treating
Donald	donald	Donald
with	with	with
the	the	the
respect	respect	respect
he	he	he
deserves	deserv	deserves
.	.	.
Protesters	protest	Protesters
know	know	know
exactly	exact	exactly
why	whi	why
they	they	they
went	went	went
to	to	to
airports	airport	airport
across	across	across
the	the	the
country	countri	country
.	.	.
People	peopl	People
were	were	were
being	be	being
unconstitutionally	unconstitut	unconstitutionally
detained	detain	detained
and	and	and
handcuffed	handcuf	handcuffed
,	,	,
even	even	even
children	children	child
.	.	.
Conway	conway	Conway
said	said	said
at	at	at
the	the	the
time	time	time
that	that	that
the	the	the
whole	whole	whole
idea	idea	idea
that	that	that
these	these	these
people	peopl	people
are	are	are
being	be	being
separated	separ	separated
from	from	from
their	their	their
families	famili	family
is	is	is
temporary	temporari	temporary
.	.	.
She	she	She
called	call	called
it	it	it
an	an	an
inconvenience	inconveni	inconvenience
.	.	.
So	so	So
,	,	,
Kellyanne	kellyann	Kellyanne
,	,	,
just	just	just
consider	consid	consider
the	the	the
treatment	treatment	treatment
Trump	trump	Trump
is	is	is
getting	get	getting
an	an	an
inconvenience	inconveni	inconvenience
,	,	,
and	and	and
something	someth	something
that	that	that
is	is	is
temporary	temporari	temporary
until	until	until
his	his	his
impeachment	impeach	impeachment
.	.	.
She	she	She
literally	liter	literally
complained	complain	complained
that	that	that
the	the	the
press	press	press
is	is	is
being	be	being
mean	mean	mean
to	to	to
Donald	donald	Donald
to	to	to
a	a	a
Fox	fox	Fox
News	news	News
host	host	host
who	who	who
treated	treat	treated
former	former	former
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
like	like	like
dirt	dirt	dirt
for	for	for
8	8	8
years	year	year
.	.	.
Quit	quit	Quit
being	be	being
so	so	so
PC	pc	PC
,	,	,
Kellyanne	kellyann	Kellyanne
.	.	.
Conservatives	conserv	Conservatives
tell	tell	tell
me	me	me
it	it	it
s	s	s
destroying	destroy	destroying
our	our	our
country	countri	country
.	.	.
Featured	featur	Featured
image	imag	image
by	by	by
Mark	mark	Mark
Wilson	wilson	Wilson
via	via	via
Getty	getti	Getty
Images	imag	Images
.	.	.
