Despite	despit	Despite
already	alreadi	already
been	been	been
four	four	four
precincts	precinct	precinct
that	that	that
were	were	were
reported	report	reported
to	to	to
have	have	have
discrepancies	discrep	discrepancy
.	.	.
Trump	trump	Trump
and	and	and
his	his	his
team	team	team
are	are	are
not	not	not
hiding	hide	hiding
their	their	their
anxiety	anxieti	anxiety
over	over	over
this	this	this
issue	issu	issue
very	veri	very
well	well	well
,	,	,
and	and	and
they	they	they
have	have	have
every	everi	every
reason	reason	reason
to	to	to
be	be	be
worried	worri	worried
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Win	win	Win
McNamee	mcname	McNamee
and	and	and
Ty	ty	Ty
Wright	wright	Wright
Getty	getti	Getty
Images	imag	Images
