Yet	yet	Yet
any	ani	any
idea	idea	idea
why	whi	why
at	at	at
all	all	all
.	.	.

Corey	corey	Corey
Hour	hour	Hour
@CoreyHour	@coreyhour	@CoreyHour
May	may	May
2	2	2
,	,	,
2017According	2017accord	2017According
to	to	to
LADbible	ladbibl	LADbible
,	,	,
who	who	who
published	publish	published
the	the	the
video	video	video
,	,	,
The	the	The
man	man	man
in	in	in
the	the	the
shirt	shirt	shirt
was	was	wa
subsequently	subsequ	subsequently
arrested	arrest	arrested
for	for	for
assault	assault	assault
and	and	and
public	public	public
intoxication	intox	intoxication
at	at	at
the	the	the
airport	airport	airport
in	in	in
Japan	japan	Japan
.	.	.

Seeing	see	Seeing
as	as	a
they	they	they
re	re	re
both	both	both
wearing	wear	wearing
shirts	shirt	shirt
,	,	,
they	they	they
likely	like	likely
meant	meant	meant
the	the	the
guy	guy	guy
with	with	with
the	the	the
torn	torn	torn
shirt	shirt	shirt
who	who	who
was	was	wa
escorted	escort	escorted
off	off	off
the	the	the
plane	plane	plane
.	.	.
What	what	What
is	is	is
happening	happen	happening
with	with	with
people	peopl	people
right	right	right
now	now	now
,	,	,
more	more	more
than	than	than
usual	usual	usual
,	,	,
that	that	that
they	they	they
think	think	think
violence	violenc	violence
is	is	is
the	the	the
answer	answer	answer
to	to	to
all	all	all
their	their	their
problems	problem	problem
?	?	?

Who	who	Who
does	doe	doe
this	this	this
?	?	?

Grow	grow	Grow
up	up	up
,	,	,
already	alreadi	already
.	.	.
Watch	watch	Watch
the	the	the
crazy	crazi	crazy
brawl	brawl	brawl
break	break	break
out	out	out
here	here	here
Featured	featur	Featured
image	imag	image
via	via	via
video	video	video
screen	screen	screen
capture	captur	capture

