The	the	The
disrespect	disrespect	disrespect
Gold	gold	Gold
Star	star	Star
families	famili	family
and	and	and
a	a	a
Gold	gold	Gold
Star	star	Star
mother	mother	mother
Mary	mari	Mary
Bruce	bruce	Bruce
@marykbruce	@marykbruc	@marykbruce
July	juli	July
30	30	30
,	,	,
2016Mrs	2016mrs	2016Mrs
.	.	.
Khan	khan	Khan
tells	tell	tell
ABC	abc	ABC
she	she	she
was	was	wa
too	too	too
overcome	overcom	overcome
by	by	by
grief	grief	grief
to	to	to
speak	speak	speak
at	at	at
the	the	the
DNC	dnc	DNC
,	,	,
I	i	I
was	was	wa
in	in	in
pain	pain	pain
Mary	mari	Mary
Bruce	bruce	Bruce
@marykbruce	@marykbruc	@marykbruce
July	juli	July
30	30	30
,	,	,
2016In	2016in	2016In
interviews	interview	interview
Mrs	mrs	Mrs
.	.	.
Khan	khan	Khan
has	has	ha
said	said	said
she	she	she
still	still	still
is	is	is
filled	fill	filled
with	with	with
grief	grief	grief
over	over	over
the	the	the
loss	loss	loss
of	of	of
her	her	her
son	son	son
,	,	,
and	and	and
12	12	12
years	year	year
later	later	later
still	still	still
has	has	ha
trouble	troubl	trouble
entering	enter	entering
rooms	room	room
in	in	in
their	their	their
home	home	home
with	with	with
his	his	his
picture	pictur	picture
.	.	.
She	she	She
discussed	discuss	discussed
this	this	this
in	in	in
an	an	an
interview	interview	interview
with	with	with
MSNBC	msnbc	MSNBC
s	s	s
Lawrence	lawrenc	Lawrence
O	o	O
Donnell	donnel	Donnell
the	the	the
night	night	night
after	after	after
the	the	the
couple	coupl	couple
appeared	appear	appeared
at	at	at
the	the	the
convention	convent	convention
.	.	.
Hillary	hillari	Hillary
Clinton	clinton	Clinton
released	releas	released
a	a	a
statement	statement	statement
after	after	after
Trump	trump	Trump
decided	decid	decided
to	to	to
attack	attack	attack
the	the	the
Khan	khan	Khan
family	famili	family
on	on	on
Saturday	saturday	Saturday
I	i	I
was	was	wa
very	veri	very
moved	move	moved
to	to	to
see	see	see
Ghazala	ghazala	Ghazala
Khan	khan	Khan
stand	stand	stand
bravely	brave	bravely
and	and	and
with	with	with
dignity	digniti	dignity
in	in	in
support	support	support
of	of	of
her	her	her
son	son	son
on	on	on
Thursday	thursday	Thursday
night	night	night
.	.	.
And	and	And
I	i	I
was	was	wa
very	veri	very
moved	move	moved
to	to	to
hear	hear	hear
her	her	her
speak	speak	speak
last	last	last
night	night	night
,	,	,
bravely	brave	bravely
and	and	and
with	with	with
dignity	digniti	dignity
,	,	,
about	about	about
her	her	her
son	son	son
s	s	s
life	life	life
and	and	and
the	the	the
ultimate	ultim	ultimate
sacrifice	sacrific	sacrifice
he	he	he
made	made	made
for	for	for
his	his	his
country	countri	country
.	.	.
That	that	That
,	,	,
Donald	donald	Donald
Trump	trump	Trump
is	is	is
leadership	leadership	leadership
.	.	.
Once	onc	Once
again	again	again
,	,	,
you	you	you
show	show	show
you	you	you
are	are	are
completely	complet	completely
unfit	unfit	unfit
for	for	for
the	the	the
office	offic	office
you	you	you
seek	seek	seek
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
screen	screen	screen
capture	captur	capture
