NBC	nbc	NBC
,	,	,
attempting	attempt	attempting
to	to	to
white	white	white
-wash	-wash	-wash
America	america	America
.	.	.
I	i	I
don	don	don
t	t	t
like	like	like
your	your	your
definition	definit	definition
of	of	of
American	american	American
,	,	,
because	becaus	because
I	i	I
don	don	don
t	t	t
seem	seem	seem
to	to	to
fit	fit	fit
within	within	within
it	it	it
.	.	.
These	these	These
adolescent	adolesc	adolescent
activists	activist	activist
really	realli	really
,	,	,
really	realli	really
don	don	don
t	t	t
want	want	want
a	a	a
border	border	border
wall	wall	wall
or	or	or
travel	travel	travel
ban	ban	ban
on	on	on
state	state	state
-sponsors	-sponsor	-sponsors
of	of	of
terror	terror	terror
,	,	,
because	becaus	because
it	it	it
s	s	s
not	not	not
nice	nice	nice
and	and	and
fair	fair	fair
Not	not	Not
letting	let	letting
immigrants	immigr	immigrant
into	into	into
America	america	America
is	is	is
really	realli	really
not	not	not
nice	nice	nice
,	,	,
so	so	so
please	pleas	please
let	let	let
them	them	them
in	in	in
.	.	.
It	it	It
s	s	s
not	not	not
fair	fair	fair
for	for	for
refugees	refuge	refugee
.	.	.
Just	just	Just
because	becaus	because
I	i	I
m	m	m
Mexican	mexican	Mexican
,	,	,
doesn	doesn	doesn
t	t	t
mean	mean	mean
you	you	you
can	can	can
build	build	build
a	a	a
wall	wall	wall
around	around	around
the	the	the
country	countri	country
.	.	.
Please	pleas	Please
don	don	don
t	t	t
build	build	build
a	a	a
wall	wall	wall
,	,	,
and	and	and
don	don	don
t	t	t
let	let	let
people	peopl	people
have	have	have
guns	gun	gun
.	.	.
P	p	P
.	.	.
S	s	S
.	.	.
Please	pleas	Please
don	don	don
t	t	t
build	build	build
a	a	a
wall	wall	wall
around	around	around
Mexico	mexico	Mexico
.	.	.
P	p	P
.	.	.
P	p	P
.	.	.
S	s	S
.	.	.
Please	pleas	Please
,	,	,
please	pleas	please
don	don	don
t	t	t
stop	stop	stop
the	the	the
refugees	refuge	refugee
from	from	from
coming	come	coming
.	.	.
You	you	You
re	re	re
going	go	going
to	to	to
separate	separ	separate
me	me	me
away	away	away
from	from	from
the	the	the
rest	rest	rest
of	of	of
my	my	my
family	famili	family
,	,	,
and	and	and
I	i	I
really	realli	really
don	don	don
t	t	t
what	what	what
that	that	that
because	becaus	because
I	i	I
love	love	love
them	them	them
too	too	too
much	much	much
.	.	.
Some	some	Some
of	of	of
my	my	my
friends	friend	friend
are	are	are
really	realli	really
scared	scare	scared
about	about	about
you	you	you
building	build	building
a	a	a
wall	wall	wall
,	,	,
and	and	and
the	the	the
travel	travel	travel
ban	ban	ban
,	,	,
because	becaus	because
a	a	a
lot	lot	lot
of	of	of
their	their	their
families	famili	family
live	live	live
in	in	in
different	differ	different
places	place	place
.	.	.
WATCH	watch	WATCH
And	and	And
,	,	,
then	then	then
,	,	,
there	there	there
s	s	s
this	this	this
rebuke	rebuk	rebuke
from	from	from
a	a	a
young	young	young
lady	ladi	lady
who	who	who
appears	appear	appears
in	in	in
both	both	both
videos	video	video
When	when	When
you	you	you
speak	speak	speak
on	on	on
things	thing	thing
that	that	that
make	make	make
me	me	me
feel	feel	feel
uncomfortable	uncomfort	uncomfortable
or	or	or
I	i	I
disagree	disagre	disagree
with	with	with
,	,	,
you	you	you
make	make	make
me	me	me
feel	feel	feel
small	small	small
,	,	,
because	becaus	because
I	i	I
know	know	know
I	i	I
can	can	can
t	t	t
change	chang	change
it	it	it
.	.	.
Apparently	appar	Apparently
,	,	,
the	the	the
president	presid	president
should	should	should
never	never	never
disagree	disagre	disagree
with	with	with
her	her	her
or	or	or
say	say	say
things	thing	thing
she	she	she
doesn	doesn	doesn
t	t	t
like	like	like
because	becaus	because
it	it	it
ll	ll	ll
hurt	hurt	hurt
Susie	susi	Susie
Snowflake	snowflak	Snowflake
s	s	s
feelings	feel	feeling
.	.	.
CNS	cns	CNS
news	news	news
HERE	here	HERE
S	s	S
THE	the	THE
SECOND	second	SECOND
VIDEO	video	VIDEO
