Newly	newli	Newly
Department	depart	Department
states	state	state
that	that	that
an	an	an
internal	intern	internal
investigation	investig	investigation
into	into	into
the	the	the
incident	incid	incident
is	is	is
still	still	still
underway	underway	underway
.	.	.
Image	imag	Image
credit	credit	credit
video	video	video
screen	screen	screen
capture	captur	capture
via	via	via
Denver	denver	Denver
Post	post	Post
