Floundering	flounder	Floundering
Trump	trump	Trump
has	has	ha
blackballed	blackbal	blackballed
major	major	major
and	and	and
small	small	small
media	media	medium
outlets	outlet	outlet
for	for	for
his	his	his
entire	entir	entire
campaign	campaign	campaign
.	.	.
Never	never	Never
mind	mind	mind
the	the	the
fact	fact	fact
that	that	that
he	he	he
started	start	started
a	a	a
feud	feud	feud
with	with	with
gold	gold	gold
star	star	star
family	famili	family
.	.	.
Never	never	Never
mind	mind	mind
the	the	the
fact	fact	fact
that	that	that
he	he	he
forgot	forgot	forgot
that	that	that
Russia	russia	Russia
had	had	had
annexed	annex	annexed
Crimea	crimea	Crimea
only	onli	only
two	two	two
years	year	year
ago	ago	ago
.	.	.
Trump	trump	Trump
just	just	just
cannot	cannot	cannot
accept	accept	accept
that	that	that
he	he	he
is	is	is
a	a	a
failed	fail	failed
politician	politician	politician
,	,	,
the	the	the
same	same	same
way	way	way
he	he	he
cannot	cannot	cannot
accept	accept	accept
that	that	that
he	he	he
is	is	is
a	a	a
failed	fail	failed
businessman	businessman	businessman
.	.	.
Featured	featur	Featured
image	imag	image
from	from	from
Photo	photo	Photo
by	by	by
Jeff	jeff	Jeff
Swensen	swensen	Swensen
Getty	getti	Getty
Images	imag	Images
