Millions	million	Millions
are	are	are
government	govern	government
propaganda	propaganda	propaganda
.	.	.
Lauren	lauren	Lauren
Duca	duca	Duca
@laurenduca	@laurenduca	@laurenduca
November	novemb	November
11	11	11
,	,	,
2016	2016	2016
@laurenduca	@laurenduca	@laurenduca
He	he	He
got	got	got
exactly	exact	exactly
what	what	what
he	he	he
wanted	want	wanted
still	still	still
he	he	he
s	s	s
pitying	piti	pitying
himself	himself	himself
not	not	not
to	to	to
mention	mention	mention
responding	respond	responding
to	to	to
protest	protest	protest
like	like	like
a	a	a
dictator	dictat	dictator
.	.	.
Lord	lord	Lord
love	love	love
us	us	u
.	.	.
Rachel	rachel	Rachel
Vorona	vorona	Vorona
Cote	cote	Cote
@RVoronaCote	@rvoronacot	@RVoronaCote
November	novemb	November
11	11	11
,	,	,
2016	2016	2016
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
Have	have	Have
you	you	you
prepared	prepar	prepared
a	a	a
speech	speech	speech
yet	yet	yet
on	on	on
how	how	how
to	to	to
tell	tell	tell
your	your	your
supporters	support	supporter
that	that	that
your	your	your
wall	wall	wall
on	on	on
the	the	the
border	border	border
is	is	is
never	never	never
going	go	going
to	to	to
be	be	be
happen	happen	happen
?	?	?
#NotMyPresident	#notmypresid	#NotMyPresident
@BestOfRaps	@bestofrap	@BestOfRaps
November	novemb	November
11	11	11
,	,	,
2016	2016	2016
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
THIS	this	THIS
was	was	wa
unfair	unfair	unfair
pic.twitter.com/qg2EpVMj99	pic.twitter.com/qg2epvmj99	pic.twitter.com/qg2EpVMj99
Tony	toni	Tony
Paul	paul	Paul
@TonyPaul1984	@tonypaul1984	@TonyPaul1984
November	novemb	November
11	11	11
,	,	,
2016	2016	2016
@jonahkeri	@jonahkeri	@jonahkeri
every	everi	every
time	time	time
I	i	I
calm	calm	calm
down	down	down
for	for	for
a	a	a
minute	minut	minute
,	,	,
this	this	this
clown	clown	clown
reminds	remind	reminds
me	me	me
of	of	of
how	how	how
dangerous	danger	dangerous
he	he	he
is	is	is
.	.	.
Greg	greg	Greg
Chernack	chernack	Chernack
@GChernack	@gchernack	@GChernack
November	novemb	November
11	11	11
,	,	,
2016If	2016if	2016If
Hillary	hillari	Hillary
Clinton	clinton	Clinton
had	had	had
won	won	won
,	,	,
does	doe	doe
anyone	anyon	anyone
think	think	think
Trump	trump	Trump
would	would	would
be	be	be
calling	call	calling
this	this	this
a	a	a
very	veri	very
open	open	open
and	and	and
successful	success	successful
election	elect	election
?	?	?
Please	pleas	Please
.	.	.
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
Charles	charl	Charles
Johnson	johnson	Johnson
@Green_Footballs	@green_footbal	@Green_Footballs
November	novemb	November
11	11	11
,	,	,
2016Donald	2016donald	2016Donald
Trump	trump	Trump
spent	spent	spent
a	a	a
year	year	year
and	and	and
a	a	a
half	half	half
using	use	using
offensive	offens	offensive
hateful	hate	hateful
divisive	divis	divisive
language	languag	language
casting	cast	casting
anyone	anyon	anyone
one	one	one
who	who	who
isn	isn	isn
t	t	t
a	a	a
white	white	white
male	male	male
conservative	conserv	conservative
an	an	an
enemy	enemi	enemy
of	of	of
America	america	America
.	.	.
People	peopl	People
are	are	are
NOT	not	NOT
going	go	going
to	to	to
forget	forget	forget
that	that	that
and	and	and
they	they	they
certainly	certain	certainly
are	are	are
not	not	not
going	go	going
to	to	to
forgive	forgiv	forgive
and	and	and
bow	bow	bow
down	down	down
to	to	to
kiss	kiss	kiss
Trump	trump	Trump
s	s	s
ass	ass	as
.	.	.
His	his	His
entire	entir	entire
campaign	campaign	campaign
was	was	wa
unfair	unfair	unfair
to	to	to
the	the	the
American	american	American
people	peopl	people
and	and	and
now	now	now
he	he	he
is	is	is
reaping	reap	reaping
what	what	what
he	he	he
sowed	sow	sowed
.	.	.
Featured	featur	Featured
Image	imag	Image
Chip	chip	Chip
Somodevilla	somodevilla	Somodevilla
Getty	getti	Getty
Images	imag	Images
