Alleged	alleg	Alleged
2017	2017	2017
We	we	We
have	have	have
no	no	no
quarrel	quarrel	quarrel
with	with	with
Russia	russia	Russia
or	or	or
the	the	the
Russian	russian	Russian
people	peopl	people
.	.	.
Problem	problem	Problem
is	is	is
with	with	with
Putin	putin	Putin
his	his	his
oppression	oppress	oppression
,	,	,
war	war	war
crimes	crime	crime
interference	interfer	interference
in	in	in
our	our	our
elections	elect	election
,	,	,
he	he	he
added	ad	added
.	.	.
We	we	We
have	have	have
no	no	no
quarrel	quarrel	quarrel
with	with	with
Russia	russia	Russia
or	or	or
the	the	the
Russian	russian	Russian
people	peopl	people
.	.	.
Problem	problem	Problem
is	is	is
with	with	with
Putin	putin	Putin
his	his	his
oppression	oppress	oppression
,	,	,
war	war	war
crimes	crime	crime
interference	interfer	interference
in	in	in
our	our	our
elections	elect	election
1	1	1
3	3	3
Marco	marco	Marco
Rubio	rubio	Rubio
@marcorubio	@marcorubio	@marcorubio
July	juli	July
9	9	9
,	,	,
2017While	2017while	2017While
it	it	it
s	s	s
nice	nice	nice
that	that	that
Rubio	rubio	Rubio
blasted	blast	blasted
Trump	trump	Trump
s	s	s
notion	notion	notion
of	of	of
partnering	partner	partnering
with	with	with
Putin	putin	Putin
on	on	on
cybersecurity	cybersecur	cybersecurity
,	,	,
we	we	we
await	await	await
the	the	the
Florida	florida	Florida
Senator	senat	Senator
s	s	s
response	respons	response
to	to	to
the	the	the
bombshell	bombshel	bombshell
report	report	report
that	that	that
was	was	wa
published	publish	published
Sunday	sunday	Sunday
evening	even	evening
in	in	in
which	which	which
the	the	the
former	former	former
reality	realiti	reality
show	show	show
star	star	star
s	s	s
son	son	son
,	,	,
Donald	donald	Donald
Trump	trump	Trump
Jr	jr	Jr
.	.	.
,	,	,
admitted	admit	admitted
to	to	to
trying	tri	trying
to	to	to
collude	collud	collude
with	with	with
a	a	a
Kremlin	kremlin	Kremlin
-connected	-connect	-connected
Russian	russian	Russian
lawyer	lawyer	lawyer
in	in	in
order	order	order
to	to	to
get	get	get
dirt	dirt	dirt
on	on	on
Hillary	hillari	Hillary
Clinton	clinton	Clinton
.	.	.
Paul	paul	Paul
Manafort	manafort	Manafort
,	,	,
the	the	the
campaign	campaign	campaign
s	s	s
chairman	chairman	chairman
at	at	at
the	the	the
time	time	time
,	,	,
and	and	and
Jared	jare	Jared
Kushner	kushner	Kushner
,	,	,
Trump	trump	Trump
s	s	s
son	son	son
-in-law	-in-law	-in-law
and	and	and
adviser	advis	adviser
,	,	,
also	also	also
attended	attend	attended
the	the	the
meeting	meet	meeting
at	at	at
Trump	trump	Trump
Tower	tower	Tower
which	which	which
took	took	took
place	place	place
just	just	just
two	two	two
weeks	week	week
after	after	after
Trump	trump	Trump
won	won	won
his	his	his
party	parti	party
s	s	s
nomination	nomin	nomination
.	.	.
A	a	A
spokesman	spokesman	spokesman
for	for	for
Trump	trump	Trump
s	s	s
legal	legal	legal
team	team	team
said	said	said
the	the	the
amateur	amateur	amateur
president	presid	president
was	was	wa
not	not	not
aware	awar	aware
of	of	of
and	and	and
did	did	did
not	not	not
attend	attend	attend
the	the	the
meeting	meet	meeting
which	which	which
was	was	wa
in	in	in
his	his	his
building	build	building
and	and	and
attended	attend	attended
by	by	by
his	his	his
daughter	daughter	daughter
s	s	s
husband	husband	husband
.	.	.
Let	let	Let
s	s	s
hear	hear	hear
Marco	marco	Marco
Rubio	rubio	Rubio
s	s	s
opinion	opinion	opinion
on	on	on
that	that	that
,	,	,
too	too	too
,	,	,
since	sinc	since
the	the	the
Florida	florida	Florida
Senator	senat	Senator
admitted	admit	admitted
to	to	to
Russia	russia	Russia
s	s	s
interference	interfer	interference
in	in	in
our	our	our
elections	elect	election
.	.	.
Photo	photo	Photo
by	by	by
Joe	joe	Joe
Raedle	raedl	Raedle
Getty	getti	Getty
Images	imag	Images
