LOL	lol	LOL
and	and	and
Hendricks	hendrick	Hendricks
counties	counti	county
.	.	.
The	the	The
investigation	investig	investigation
has	has	ha
expanded	expand	expanded
from	from	from
Marion	marion	Marion
and	and	and
Hendricks	hendrick	Hendricks
counties	counti	county
to	to	to
include	includ	include
Allen	allen	Allen
,	,	,
Delaware	delawar	Delaware
,	,	,
Hamilton	hamilton	Hamilton
,	,	,
Hancock	hancock	Hancock
,	,	,
Johnson	johnson	Johnson
,	,	,
Lake	lake	Lake
and	and	and
Madison	madison	Madison
counties	counti	county
,	,	,
according	accord	according
to	to	to
a	a	a
statement	statement	statement
from	from	from
State	state	State
Police	polic	Police
.	.	.
Police	polic	Police
said	said	said
the	the	the
growing	grow	growing
number	number	number
of	of	of
involved	involv	involved
counties	counti	county
leads	lead	lead
investigators	investig	investigator
to	to	to
believe	believ	believe
that	that	that
the	the	the
number	number	number
of	of	of
fraudulent	fraudul	fraudulent
records	record	record
might	might	might
be	be	be
in	in	in
the	the	the
hundreds	hundr	hundred
.	.	.
An	an	An
investigation	investig	investigation
of	of	of
this	this	this
nature	natur	nature
is	is	is
complex	complex	complex
,	,	,
time	time	time
consuming	consum	consuming
and	and	and
is	is	is
expected	expect	expected
to	to	to
continue	continu	continue
for	for	for
several	sever	several
more	more	more
weeks	week	week
or	or	or
months	month	month
,	,	,
said	said	said
a	a	a
State	state	State
Police	polic	Police
statement	statement	statement
.	.	.
Victims	victim	Victims
of	of	of
the	the	the
activities	activ	activity
by	by	by
some	some	some
agents	agent	agent
of	of	of
the	the	the
Indiana	indiana	Indiana
Voter	voter	Voter
Registration	registr	Registration
Project	project	Project
may	may	may
not	not	not
discover	discov	discover
they	they	they
have	have	have
been	been	been
disenfranchised	disenfranchis	disenfranchised
from	from	from
voting	vote	voting
until	until	until
they	they	they
go	go	go
to	to	to
vote	vote	vote
and	and	and
realize	realiz	realize
their	their	their
voting	vote	voting
information	inform	information
has	has	ha
been	been	been
altered	alter	altered
.	.	.
Such	such	Such
action	action	action
may	may	may
result	result	result
in	in	in
the	the	the
citizen	citizen	citizen
having	have	having
to	to	to
cast	cast	cast
a	a	a
provisional	provision	provisional
ballot	ballot	ballot
.	.	.
Officials	offici	Officials
said	said	said
a	a	a
representative	repres	representative
sample	sampl	sample
of	of	of
voter	voter	voter
registration	registr	registration
applications	applic	application
received	receiv	received
by	by	by
county	counti	county
voter	voter	voter
registration	registr	registration
offices	offic	office
and	and	and
suspected	suspect	suspected
of	of	of
being	be	being
fraudulent	fraudul	fraudulent
have	have	have
been	been	been
copied	copi	copied
and	and	and
provided	provid	provided
to	to	to
investigators	investig	investigator
.	.	.
The	the	The
original	origin	original
applications	applic	application
are	are	are
maintained	maintain	maintained
by	by	by
the	the	the
appropriate	appropri	appropriate
voter	voter	voter
registration	registr	registration
office	offic	office
.	.	.
The	the	The
possible	possibl	possible
fraudulent	fraudul	fraudulent
information	inform	information
is	is	is
a	a	a
combination	combin	combination
of	of	of
fake	fake	fake
names	name	name
,	,	,
addresses	address	address
and	and	and
dates	date	date
of	of	of
birth	birth	birth
with	with	with
real	real	real
information	inform	information
.	.	.
USA	usa	USA
Today	today	Today
Via	via	Via
Gateway	gateway	Gateway
Pundit	pundit	Pundit
