Democratic	democrat	Democratic
What	what	What
if	if	if
Rooney	rooney	Rooney
rapes	rape	rape
Mike	mike	Mike
Wallace	wallac	Wallace
?	?	?
And	and	And
then	then	then
says	say	say
,	,	,
I	i	I
guess	guess	guess
that	that	that
makes	make	make
me	me	me
bad	bad	bad
.	.	.
Is	is	Is
it	it	it
funnier	funnier	funnier
with	with	with
a	a	a
black	black	black
guy	guy	guy
?	?	?
Or	or	Or
two	two	two
old	old	old
white	white	white
guys	guy	guy
?	?	?
Franken	franken	Franken
responded	respond	responded
What	what	What
about	about	about
,	,	,
I	i	I
drag	drag	drag
Mike	mike	Mike
into	into	into
my	my	my
office	offic	office
and	and	and
rape	rape	rape
him	him	him
.	.	.
Right	right	Right
here	here	here
!	!	!
I	i	I
guess	guess	guess
that	that	that
makes	make	make
me	me	me
bad	bad	bad
.	.	.
The	the	The
sketch	sketch	sketch
never	never	never
made	made	made
it	it	it
to	to	to
air	air	air
,	,	,
and	and	and
it	it	it
s	s	s
questionable	question	questionable
whether	whether	whether
it	it	it
was	was	wa
ever	ever	ever
intended	intend	intended
to	to	to
do	do	do
so	so	so
.	.	.
But	but	But
the	the	the
1995	1995	1995
report	report	report
has	has	ha
now	now	now
resurfaced	resurfac	resurfaced
as	as	a
it	it	it
did	did	did
in	in	in
2008	2008	2008
,	,	,
when	when	when
Franken	franken	Franken
made	made	made
his	his	his
successful	success	successful
run	run	run
for	for	for
Minnesota	minnesota	Minnesota
Senator	senat	Senator
.	.	.
At	at	At
the	the	the
time	time	time
,	,	,
his	his	his
campaign	campaign	campaign
said	said	said
Al	al	Al
understands	understand	understands
,	,	,
and	and	and
the	the	the
people	peopl	people
of	of	of
Minnesota	minnesota	Minnesota
understand	understand	understand
,	,	,
the	the	the
difference	differ	difference
between	between	between
what	what	what
a	a	a
satirist	satirist	satirist
does	doe	doe
and	and	and
what	what	what
a	a	a
senator	senat	senator
does	doe	doe
.	.	.
But	but	But
newly	newli	newly
emerged	emerg	emerged
claims	claim	claim
that	that	that
Franken	franken	Franken
kissed	kiss	kissed
a	a	a
woman	woman	woman
without	without	without
her	her	her
consent	consent	consent
in	in	in
2006	2006	2006
,	,	,
and	and	and
pretended	pretend	pretended
to	to	to
grope	grope	grope
her	her	her
in	in	in
a	a	a
photo	photo	photo
while	while	while
she	she	she
was	was	wa
sleeping	sleep	sleeping
have	have	have
been	been	been
tougher	tougher	tougher
for	for	for
the	the	the
comedian	comedian	comedian
to	to	to
address	address	address
.	.	.
Daily	daili	Daily
MailWatch	mailwatch	MailWatch
Leeann	leeann	Leeann
Tweeden	tweeden	Tweeden
talk	talk	talk
about	about	about
Senator	senat	Senator
Franken	franken	Franken
s	s	s
repulsive	repuls	repulsive
sexual	sexual	sexual
assault	assault	assault
against	against	against
her	her	her
