Although	although	Although
is	is	is
referring	refer	referring
to	to	to
the	the	the
same	same	same
research	research	research
that	that	that
the	the	the
campaign	campaign	campaign
had	had	had
referred	refer	referred
to	to	to
,	,	,
and	and	and
the	the	the
transition	transit	transition
had	had	had
referred	refer	referred
to	to	to
.	.	.

One	one	One
was	was	wa
a	a	a
Washington	washington	Washington
Post	post	Post
commissioned	commiss	commissioned
study	studi	study
which	which	which
the	the	the
Washington	washington	Washington
Post	post	Post
itself	itself	itself
debunked	debunk	debunked
,	,	,
and	and	and
the	the	the
other	other	other
one	one	one
was	was	wa
a	a	a
Pew	pew	Pew
study	studi	study
from	from	from
2012	2012	2012
,	,	,
which	which	which
is	is	is
actually	actual	actually
from	from	from
2008	2008	2008
,	,	,
which	which	which
said	said	said
that	that	that
approximately	approxim	approximately
24	24	24
million	million	million
one	one	one
in	in	in
every	everi	every
eight	eight	eight
people	peopl	people
are	are	are
on	on	on
voter	voter	voter
registrations	registr	registration
in	in	in
the	the	the
United	unit	United
States	state	States
that	that	that
no	no	no
longer	longer	longer
valid	valid	valid
and	and	and
they	they	they
are	are	are
significantly	signific	significantly
inaccurate	inaccur	inaccurate
.	.	.

Listing	list	Listing
people	peopl	people
who	who	who
had	had	had
died	die	died
in	in	in
the	the	the
past	past	past
,	,	,
obviously	obvious	obviously
,	,	,
on	on	on
the	the	the
voter	voter	voter
rolls	roll	roll
.	.	.

It	it	It
doesn	doesn	doesn
t	t	t
mention	mention	mention
anything	anyth	anything
about	about	about
undocumented	undocu	undocumented
immigrants	immigr	immigrant
,	,	,
so	so	so
their	their	their
basis	basi	basis
of	of	of
evidence	evid	evidence
isn	isn	isn
t	t	t
quite	quit	quite
correct	correct	correct
at	at	at
all	all	all
.	.	.

You	you	You
can	can	can
watch	watch	watch
that	that	that
brilliant	brilliant	brilliant
moment	moment	moment
below	below	below
Here	here	Here
s	s	s
@KatyTurNBC	@katyturnbc	@KatyTurNBC
with	with	with
an	an	an
instant	instant	instant
fact	fact	fact
-check	-check	-check
after	after	after
Spicer	spicer	Spicer
said	said	said
Trump	trump	Trump
believes	believ	belief
millions	million	million
voted	vote	voted
illegally	illeg	illegally
based	base	based
on	on	on
studies	studi	study
and	and	and
evidence	evid	evidence
pic.twitter.com/Eb10dxtmqd	pic.twitter.com/eb10dxtmqd	pic.twitter.com/Eb10dxtmqd
Bradd	bradd	Bradd
Jaffy	jaffi	Jaffy
@BraddJaffy	@braddjaffi	@BraddJaffy
January	januari	January
24	24	24
,	,	,
2017MSNBC	2017msnbc	2017MSNBC
is	is	is
far	far	far
from	from	from
the	the	the
only	onli	only
network	network	network
to	to	to
prove	prove	prove
Trump	trump	Trump
wrong	wrong	wrong
.	.	.

CNN	cnn	CNN
,	,	,
the	the	the
media	media	medium
outlet	outlet	outlet
that	that	that
Trump	trump	Trump
has	has	ha
dubbed	dub	dubbed
fake	fake	fake
news	news	news
,	,	,
ran	ran	ran
a	a	a
headline	headlin	headline
that	that	that
said	said	said
,	,	,
Trump	trump	Trump
believes	believ	belief
millions	million	million
voted	vote	voted
illegally	illeg	illegally
,	,	,
WH	wh	WH
says	say	say
but	but	but
provides	provid	provides
no	no	no
proof	proof	proof
.	.	.
Hopefully	hope	Hopefully
,	,	,
we	we	we
re	re	re
going	go	going
to	to	to
see	see	see
more	more	more
real	real	real
-time	-time	-time
fact	fact	fact
checking	check	checking
from	from	from
the	the	the
media	media	medium
,	,	,
because	becaus	because
Trump	trump	Trump
and	and	and
his	his	his
team	team	team
are	are	are
the	the	the
most	most	most
dishonest	dishonest	dishonest
administration	administr	administration
we	we	we
ve	ve	ve
ever	ever	ever
seen	seen	seen
.	.	.
Featured	featur	Featured
image	imag	image
by	by	by
Joe	joe	Joe
Raedle	raedl	Raedle
via	via	via
Getty	getti	Getty
Images	imag	Images

