Update	updat	Update
multiple	multipl	multiple
planes	plane	plane
,	,	,
first	first	first
of	of	of
all	all	all
two	two	two
or	or	or
three	three	three
and	and	and
even	even	even
if	if	if
the	the	the
project	project	project
DID	did	DID
run	run	run
that	that	that
far	far	far
over	over	over
budget	budget	budget
there	there	there
is	is	is
no	no	no
evidence	evid	evidence
of	of	of
that	that	that
,	,	,
it	it	it
s	s	s
not	not	not
just	just	just
the	the	the
president	presid	president
s	s	s
version	version	version
of	of	of
a	a	a
private	privat	private
jet	jet	jet
What	what	What
drives	drive	drive
the	the	the
price	price	price
tag	tag	tag
isn	isn	isn
t	t	t
the	the	the
cost	cost	cost
of	of	of
the	the	the
plane	plane	plane
,	,	,
it	it	it
s	s	s
all	all	all
the	the	the
costly	cost	costly
modifications	modif	modification
and	and	and
equipment	equip	equipment
that	that	that
must	must	must
be	be	be
installed	instal	installed
on	on	on
such	such	such
a	a	a
unique	uniqu	unique
aircraft	aircraft	aircraft
,	,	,
said	said	said
Loren	loren	Loren
B	b	B
.	.	.
Thompson	thompson	Thompson
,	,	,
a	a	a
senior	senior	senior
aviation	aviat	aviation
analyst	analyst	analyst
and	and	and
industry	industri	industry
consultant	consult	consultant
with	with	with
the	the	the
Virginia	virginia	Virginia
-based	-base	-based
Lexington	lexington	Lexington
Institute	institut	Institute
.	.	.
Air	air	Air
Force	forc	Force
One	one	One
is	is	is
filled	fill	filled
with	with	with
communications	communic	communication
gear	gear	gear
and	and	and
defensive	defens	defensive
equipment	equip	equipment
to	to	to
evade	evad	evade
airborne	airborn	airborne
threats	threat	threat
,	,	,
such	such	such
as	as	a
anti	anti	anti
-aircraft	-aircraft	-aircraft
missiles	missil	missile
.	.	.
It	it	It
s	s	s
really	realli	really
not	not	not
just	just	just
about	about	about
getting	get	getting
the	the	the
president	presid	president
from	from	from
point	point	point
A	a	A
to	to	to
point	point	point
B	b	B
,	,	,
Buckley	buckley	Buckley
said	said	said
.	.	.
It	it	It
s	s	s
adding	ad	adding
communication	communic	communication
equipment	equip	equipment
.	.	.
It	it	It
s	s	s
adding	ad	adding
defensive	defens	defensive
gear	gear	gear
.	.	.
It	it	It
s	s	s
adding	ad	adding
everything	everyth	everything
that	that	that
the	the	the
president	presid	president
needs	need	need
in	in	in
order	order	order
to	to	to
execute	execut	execute
his	his	his
mission	mission	mission
in	in	in
that	that	that
airplane	airplan	airplane
.	.	.
He	he	He
has	has	ha
to	to	to
be	be	be
able	abl	able
to	to	to
do	do	do
everything	everyth	everything
in	in	in
all	all	all
his	his	his
roles	role	role
commander	command	commander
in	in	in
chief	chief	chief
,	,	,
chief	chief	chief
executive	execut	executive
,	,	,
head	head	head
of	of	of
state	state	state
,	,	,
president	presid	president
of	of	of
the	the	the
United	unit	United
States	state	States
.	.	.
Boeing	boe	Boeing
s	s	s
747	747	747
is	is	is
the	the	the
only	onli	only
U	u	U
.	.	.
S	s	S
.	.	.
-built	-built	-built
jet	jet	jet
that	that	that
can	can	can
support	support	support
all	all	all
the	the	the
functions	function	function
required	requir	required
of	of	of
an	an	an
airborne	airborn	airborne
White	white	White
House	hous	House
,	,	,
Thompson	thompson	Thompson
said	said	said
.	.	.
The	the	The
plane	plane	plane
must	must	must
be	be	be
linked	link	linked
to	to	to
all	all	all
U	u	U
.	.	.
S	s	S
.	.	.
military	militari	military
forces	forc	force
worldwide	worldwid	worldwide
and	and	and
able	abl	able
to	to	to
function	function	function
even	even	even
in	in	in
the	the	the
midst	midst	midst
of	of	of
a	a	a
nuclear	nuclear	nuclear
war	war	war
.	.	.
Source	sourc	Source
Yet	yet	Yet
again	again	again
,	,	,
Donald	donald	Donald
Trump	trump	Trump
has	has	ha
shown	shown	shown
us	us	u
that	that	that
he	he	he
doesn	doesn	doesn
t	t	t
have	have	have
even	even	even
a	a	a
thin	thin	thin
veneer	veneer	veneer
of	of	of
competence	compet	competence
or	or	or
desire	desir	desire
to	to	to
find	find	find
the	the	the
facts	fact	fact
.	.	.
We	we	We
re	re	re
doomed	doom	doomed
.	.	.
Read	read	Read
more	more	more
Featured	featur	Featured
image	imag	image
via	via	via
Ty	ty	Ty
Wright	wright	Wright
Getty	getti	Getty
Images	imag	Images
