WORD	word	WORD
and	and	and
four	four	four
remain	remain	remain
at	at	at
large	larg	large
in	in	in
connection	connect	connection
to	to	to
a	a	a
food	food	food
stamp	stamp	stamp
fraud	fraud	fraud
at	at	at
a	a	a
Save	save	Save
Way	way	Way
Food	food	Food
Market	market	Market
,	,	,
Homestead	homestead	Homestead
police	polic	police
said	said	said
.	.	.
The	the	The
arrests	arrest	arrest
happened	happen	happened
Wednesday	wednesday	Wednesday
and	and	and
are	are	are
the	the	the
result	result	result
of	of	of
a	a	a
a	a	a
three	three	three
year	year	year
investigation	investig	investigation
by	by	by
Homestead	homestead	Homestead
police	polic	police
,	,	,
the	the	the
Florida	florida	Florida
Department	depart	Department
of	of	of
Financial	financi	Financial
Services	servic	Services
and	and	and
the	the	the
Miami	miami	Miami
-Dade	-dade	-Dade
County	counti	County
State	state	State
Attorney	attorney	Attorney
s	s	s
Office	offic	Office
.	.	.
The	the	The
offices	offic	office
were	were	were
investigating	investig	investigating
unlawful	unlaw	unlawful
trafficking	traffick	trafficking
and	and	and
fraudulent	fraudul	fraudulent
use	use	use
of	of	of
Supplemental	supplement	Supplemental
Nutrition	nutrit	Nutrition
Assistance	assist	Assistance
Program	program	Program
,	,	,
or	or	or
SNAP	snap	SNAP
,	,	,
and	and	and
electronic	electron	electronic
benefit	benefit	benefit
transfer	transfer	transfer
,	,	,
or	or	or
EBT	ebt	EBT
cards	card	card
at	at	at
store	store	store
,	,	,
located	locat	located
in	in	in
the	the	the
700	700	700
block	block	block
of	of	of
Southwest	southwest	Southwest
Eighth	eighth	Eighth
Avenue	avenu	Avenue
.	.	.
The	the	The
scam	scam	scam
would	would	would
work	work	work
by	by	by
a	a	a
food	food	food
stamp	stamp	stamp
recipient	recipi	recipient
coming	come	coming
into	into	into
the	the	the
store	store	store
and	and	and
telling	tell	telling
the	the	the
owner	owner	owner
or	or	or
an	an	an
employee	employe	employee
that	that	that
they	they	they
d	d	d
like	like	like
to	to	to
trade	trade	trade
their	their	their
food	food	food
stamp	stamp	stamp
in	in	in
for	for	for
cash	cash	cash
,	,	,
police	polic	police
said	said	said
.	.	.
The	the	The
customers	custom	customer
would	would	would
then	then	then
be	be	be
offered	offer	offered
50	50	50
cents	cent	cent
on	on	on
the	the	the
dollar	dollar	dollar
,	,	,
a	a	a
police	polic	police
report	report	report
said	said	said
,	,	,
and	and	and
then	then	then
the	the	the
employee	employe	employee
or	or	or
owner	owner	owner
would	would	would
query	queri	query
the	the	the
recipients	recipi	recipient
EBT	ebt	EBT
card	card	card
to	to	to
determine	determin	determine
the	the	the
balance	balanc	balance
.	.	.
Jamil	jamil	Jamil
Hasan	hasan	Hasan
,	,	,
Mohammad	mohammad	Mohammad
Jamil	jamil	Jamil
Hasan	hasan	Hasan
and	and	and
Nabil	nabil	Nabil
Jamil	jamil	Jamil
Hasan	hasan	Hasan
were	were	were
arrested	arrest	arrested
on	on	on
charges	charg	charge
of	of	of
racketeering	racket	racketeering
,	,	,
conspiring	conspir	conspiring
to	to	to
racketeering	racket	racketeering
and	and	and
organizing	organ	organizing
a	a	a
scheme	scheme	scheme
to	to	to
defraud	defraud	defraud
.	.	.
Nabil	nabil	Nabil
Jamil	jamil	Jamil
Hasan	hasan	Hasan
and	and	and
Mohammad	mohammad	Mohammad
Nabil	nabil	Nabil
Jamil	jamil	Jamil
Hasan	hasan	Hasan
were	were	were
also	also	also
arrested	arrest	arrested
on	on	on
public	public	public
assistance	assist	assistance
fraud	fraud	fraud
charges	charg	charge
.	.	.
Four	four	Four
men	men	men
remain	remain	remain
at	at	at
large	larg	large
Fahmi	fahmi	Fahmi
Muhammad	muhammad	Muhammad
Husein	husein	Husein
,	,	,
Abdalla	abdalla	Abdalla
Fahmi	fahmi	Fahmi
Husein	husein	Husein
,	,	,
Mohammad	mohammad	Mohammad
Fahmi	fahmi	Fahmi
Husein	husein	Husein
and	and	and
Adel	adel	Adel
Fahmi	fahmi	Fahmi
Husein	husein	Husein
,	,	,
and	and	and
face	face	face
similar	similar	similar
charges	charg	charge
as	as	a
the	the	the
other	other	other
men	men	men
who	who	who
were	were	were
arrested	arrest	arrested
.	.	.
Via	via	Via
Local	local	Local
10	10	10
