Start	start	Start
Rep	rep	Rep
Party	parti	Party
Atty	atti	Atty
State	state	State
court	court	court
has	has	ha
concluded	conclud	concluded
it's	it	it's
very	veri	very
unlikely	unlik	unlikely
that	that	that
2	2	2
million	million	million
mistakes	mistak	mistake
have	have	have
been	been	been
made	made	made
Tresa	tresa	Tresa
Baldas	balda	Baldas
@TBaldas	@tbalda	@TBaldas
December	decemb	December
7	7	7
,	,	,
2016Judge	2016judg	2016Judge
continues	continu	continues
to	to	to
press	press	press
is	is	is
there	there	there
any	ani	any
court	court	court
case	case	case
that	that	that
says	say	say
recounts	recount	recount
must	must	must
produce	produc	produce
a	a	a
change	chang	change
in	in	in
the	the	the
outcome	outcom	outcome
in	in	in
order	order	order
for	for	for
them	them	them
to	to	to
be	be	be
allowed	allow	allowed
?	?	?
Michigan	michigan	Michigan
Rep	rep	Rep
.	.	.
Atty	atti	Atty
recounts	recount	recount
should	should	should
be	be	be
used	use	used
to	to	to
figure	figur	figure
out	out	out
who	who	who
should	should	should
have	have	have
won	won	won
the	the	the
election	elect	election
.	.	.
Aggrieved	aggriev	Aggrieved
means	mean	mean
someone	someon	someone
who	who	who
has	has	ha
been	been	been
harmed	harm	harmed
Mich	mich	Mich
.	.	.
Rep	rep	Rep
.	.	.
Atty	atti	Atty
Aggrieved	aggriev	Aggrieved
does	doe	doe
not	not	not
apply	appli	apply
to	to	to
someone	someon	someone
who	who	who
came	came	came
in	in	in
4th	4th	4th
place	place	place
.	.	.
#Michiganrecount	#michiganrecount	#Michiganrecount
law	law	law
is	is	is
being	be	being
misused	misus	misused
by	by	by
Jill	jill	Jill
Stein	stein	Stein
.	.	.
Tresa	tresa	Tresa
Baldas	balda	Baldas
@TBaldas	@tbalda	@TBaldas
December	decemb	December
7	7	7
,	,	,
2016	2016	2016
This	this	This
candidate	candid	candidate
is	is	is
not	not	not
aggrieved	aggriev	aggrieved
in	in	in
any	ani	any
sense	sens	sense
of	of	of
the	the	the
word	word	word
Mich	mich	Mich
.	.	.
Rep	rep	Rep
Atty	atti	Atty
says	say	say
of	of	of
Jill	jill	Jill
Stein	stein	Stein
;	;	;
urged	urg	urged
judge	judg	judge
to	to	to
dissolve	dissolv	dissolve
ruling	rule	ruling
end	end	end
recount	recount	recount
.	.	.
Pro	pro	Pro
-recount	-recount	-recount
atty	atti	atty
up	up	up
It	it	It
s	s	s
quite	quit	quite
possible	possibl	possible
that	that	that
a	a	a
recount	recount	recount
in	in	in
Michigan	michigan	Michigan
would	would	would
reveal	reveal	reveal
a	a	a
winner	winner	winner
.	.	.
Not	not	Not
Stein	stein	Stein
.	.	.
she	she	she
doesn	doesn	doesn
t	t	t
expect	expect	expect
that	that	that
.	.	.
Pro	pro	Pro
-recount	-recount	-recount
atty	atti	atty
Michigan	michigan	Michigan
recount	recount	recount
law	law	law
isn	isn	isn
t	t	t
just	just	just
about	about	about
changing	chang	changing
outcome	outcom	outcome
;	;	;
can	can	can
also	also	also
be	be	be
used	use	used
to	to	to
show	show	show
fraud	fraud	fraud
in	in	in
election	elect	election
system	system	system
.	.	.
Judge	judg	Judge
Goldsmith	goldsmith	Goldsmith
discusses	discuss	discus
cost	cost	cost
of	of	of
recount	recount	recount
to	to	to
taxpayers	taxpay	taxpayer
.	.	.
Asks	ask	Asks
Stein	stein	Stein
atty	atti	atty
what	what	what
she	she	she
thinks	think	think
of	of	of
that	that	that
?	?	?
Answer	answer	Answer
the	the	the
law	law	law
explicitly	explicit	explicitly
allows	allow	allows
for	for	for
that	that	that
.	.	.
Stein	stein	Stein
atty	atti	atty
notes	note	note
#Michiganrecount	#michiganrecount	#Michiganrecount
battle	battl	battle
not	not	not
over	over	over
.	.	.
the	the	the
state	state	state
court	court	court
decision	decis	decision
is	is	is
not	not	not
final	final	final
.	.	.
going	go	going
back	back	back
to	to	to
appeals	appeal	appeal
court	court	court
.	.	.
Judge	judg	Judge
asks	ask	asks
Stein	stein	Stein
atty	atti	atty
What	what	What
do	do	do
you	you	you
want	want	want
now	now	now
?	?	?
I	i	I
ordered	order	ordered
immediate	immedi	immediate
recount	recount	recount
.	.	.
What	what	What
s	s	s
your	your	your
issue	issu	issue
now	now	now
?	?	?
notes	note	note
there	there	there
s	s	s
no	no	no
federal	feder	federal
right	right	right
to	to	to
recount	recount	recount
.	.	.
Stein	stein	Stein
atty	atti	atty
There	there	There
is	is	is
no	no	no
way	way	way
of	of	of
knowing	know	knowing
whether	whether	whether
fraud	fraud	fraud
occurred	occur	occurred
without	without	without
conducting	conduct	conducting
the	the	the
recount	recount	recount
.	.	.
Judge	judg	Judge
Goldsmith	goldsmith	Goldsmith
to	to	to
Stein	stein	Stein
atty	atti	atty
Why	whi	Why
are	are	are
you	you	you
coming	come	coming
to	to	to
court	court	court
now	now	now
w	w	w
hen	hen	hen
you	you	you
knew	knew	knew
about	about	about
the	the	the
deficiencies	defici	deficiency
beforehand	beforehand	beforehand
?	?	?
Tresa	tresa	Tresa
Baldas	balda	Baldas
@TBaldas	@tbalda	@TBaldas
December	decemb	December
7	7	7
,	,	,
2016Judge	2016judg	2016Judge
Goldsmith	goldsmith	Goldsmith
to	to	to
Stein	stein	Stein
atty	atti	atty
you	you	you
could	could	could
have	have	have
addressed	address	addressed
Michigan's	michigan	Michigan's
vulnerable	vulner	vulnerable
voting	vote	voting
machines	machin	machine
months	month	month
ago	ago	ago
.	.	.
Why	whi	Why
didn't	didn't	didn't
you	you	you
?	?	?
why	whi	why
now	now	now
?	?	?
Tresa	tresa	Tresa
Baldas	balda	Baldas
@TBaldas	@tbalda	@TBaldas
December	decemb	December
7	7	7
,	,	,
2016Judge	2016judg	2016Judge
to	to	to
Stein	stein	Stein
atty	atti	atty
is	is	is
there	there	there
anything	anyth	anything
about	about	about
the	the	the
recount	recount	recount
that	that	that
will	will	will
tell	tell	tell
us	us	u
whether	whether	whether
there	there	there
was	was	wa
cyber	cyber	cyber
attack	attack	attack
or	or	or
if	if	if
machinery	machineri	machinery
malfunctioned	malfunct	malfunctioned
?	?	?
Stein	stein	Stein
atty	atti	atty
the	the	the
recount	recount	recount
can	can	can
raise	rais	raise
clear	clear	clear
flags	flag	flag
about	about	about
whether	whether	whether
something	someth	something
went	went	went
wrong	wrong	wrong
,	,	,
triggering	trigger	triggering
a	a	a
forensic	forens	forensic
audit	audit	audit
.	.	.
Stein	stein	Stein
atty	atti	atty
just	just	just
ended	end	ended
.	.	.
says	say	say
Michigan	michigan	Michigan
law	law	law
allows	allow	allows
for	for	for
recounts	recount	recount
,	,	,
and	and	and
that	that	that
it	it	it
should	should	should
be	be	be
continued	continu	continued
.	.	.
AG	ag	AG
atty	atti	atty
is	is	is
now	now	now
up	up	up
,	,	,
in	in	in
a	a	a
rebuttal	rebutt	rebuttal
.	.	.
Judge	judg	Judge
Goldsmith	goldsmith	Goldsmith
asks	ask	asks
about	about	about
voting	vote	voting
machine	machin	machine
problems	problem	problem
in	in	in
Detroit	detroit	Detroit
;	;	;
says	say	say
he	he	he
s	s	s
read	read	read
about	about	about
problems	problem	problem
.	.	.
AG	ag	AG
atty	atti	atty
says	say	say
not	not	not
as	as	a
many	mani	many
as	as	a
being	be	being
reported	report	reported
.	.	.
AG	ag	AG
atty	atti	atty
the	the	the
court	court	court
of	of	of
appeals	appeal	appeal
has	has	ha
spoken	spoken	spoken
.	.	.
there	there	there
is	is	is
no	no	no
right	right	right
for	for	for
stein	stein	stein
to	to	to
have	have	have
a	a	a
recount	recount	recount
.	.	.
that	that	that
s	s	s
the	the	the
end	end	end
of	of	of
the	the	the
story	stori	story
.	.	.
AG	ag	AG
atty	atti	atty
to	to	to
Judge	judg	Judge
Goldsmith	goldsmith	Goldsmith
you	you	you
might	might	might
be	be	be
the	the	the
1st	1st	1st
judge	judg	judge
in	in	in
history	histori	history
to	to	to
order	order	order
recount	recount	recount
for	for	for
a	a	a
candidate	candid	candidate
who	who	who
took	took	took
1	1	1
of	of	of
the	the	the
vote	vote	vote
.	.	.
Tresa	tresa	Tresa
Baldas	balda	Baldas
@TBaldas	@tbalda	@TBaldas
December	decemb	December
7	7	7
,	,	,
2016Recount	2016recount	2016Recount
shows	show	show
so	so	so
far	far	far
10	10	10
counties	counti	county
have	have	have
been	been	been
recounting	recount	recounting
;	;	;
66	66	66
total	total	total
vote	vote	vote
change	chang	change
between	between	between
Clinton	clinton	Clinton
Trump	trump	Trump
so	so	so
far	far	far
.	.	.
Tresa	tresa	Tresa
Baldas	balda	Baldas
@TBaldas	@tbalda	@TBaldas
December	decemb	December
7	7	7
,	,	,
2016Election	2016elect	2016Election
lawyer	lawyer	lawyer
I	i	I
have	have	have
not	not	not
known	known	known
of	of	of
anyone	anyon	anyone
to	to	to
come	come	come
in	in	in
and	and	and
say	say	say
i	i	i
believe	believ	believe
the	the	the
system	system	system
has	has	ha
been	been	been
compromised	compromis	compromised
or	or	or
hacked	hack	hacked
Stein	stein	Stein
atty	atti	atty
It	it	It
is	is	is
way	way	way
to	to	to
early	earli	early
to	to	to
say	say	say
whether	whether	whether
any	ani	any
fraud	fraud	fraud
can	can	can
be	be	be
ruled	rule	ruled
out	out	out
.	.	.
Stein	stein	Stein
atty	atti	atty
Until	until	Until
the	the	the
Michigan	michigan	Michigan
State	state	State
Supreme	suprem	Supreme
Court	court	Court
weighs	weigh	weighs
in	in	in
,	,	,
the	the	the
recount	recount	recount
must	must	must
continue	continu	continue
as	as	a
ordered	order	ordered
by	by	by
the	the	the
federal	feder	federal
court	court	court
.	.	.
MI	mi	MI
AG	ag	AG
atty	atti	atty
dont'	dont	dont'
become	becom	become
the	the	the
first	first	first
federal	feder	federal
court	court	court
in	in	in
the	the	the
country	countri	country
to	to	to
order	order	order
a	a	a
recount	recount	recount
for	for	for
a	a	a
candidate	candid	candidate
who	who	who
lost	lost	lost
by	by	by
2	2	2
million	million	million
votes	vote	vote
.	.	.
Tresa	tresa	Tresa
Baldas	balda	Baldas
@TBaldas	@tbalda	@TBaldas
December	decemb	December
7	7	7
,	,	,
2016MI	2016mi	2016MI
AG	ag	AG
atty	atti	atty
seeks	seek	seek
bond	bond	bond
it's	it	it's
costing	cost	costing
500	500	500
,	,	,
000	000	000
a	a	a
day	day	day
for	for	for
recount	recount	recount
.	.	.
it's	it	it's
not	not	not
right	right	right
to	to	to
impose	impos	impose
that	that	that
kind	kind	kind
of	of	of
irreparable	irrepar	irreparable
harm	harm	harm
on	on	on
the	the	the
citizens	citizen	citizen
.	.	.
Tresa	tresa	Tresa
Baldas	balda	Baldas
@TBaldas	@tbalda	@TBaldas
December	decemb	December
7	7	7
,	,	,
2016Stein	2016stein	2016Stein
atty	atti	atty
Sec	sec	Sec
of	of	of
state	state	state
doesn	doesn	doesn
t	t	t
want	want	want
recount	recount	recount
,	,	,
so	so	so
don	don	don
t	t	t
trust	trust	trust
5	5	5
million	million	million
cost	cost	cost
or	or	or
other	other	other
numbers	number	number
being	be	being
thrown	thrown	thrown
by	by	by
folks	folk	folk
who	who	who
just	just	just
don	don	don
t	t	t
want	want	want
it	it	it
.	.	.
Stein	stein	Stein
atty	atti	atty
No	no	No
bond	bond	bond
should	should	should
be	be	be
set	set	set
.	.	.
Judge	judg	Judge
Goldsmith	goldsmith	Goldsmith
orders	order	order
recess	recess	recess
for	for	for
20	20	20
minutes	minut	minute
.	.	.
he	he	he
will	will	will
issue	issu	issue
a	a	a
written	written	written
order	order	order
or	or	or
rule	rule	rule
from	from	from
the	the	the
bench	bench	bench
I	i	I
understand	understand	understand
the	the	the
time	time	time
sensitivity	sensit	sensitivity
Judge	judg	Judge
Goldsmith	goldsmith	Goldsmith
will	will	will
issue	issu	issue
a	a	a
written	written	written
opinion	opinion	opinion
on	on	on
whether	whether	whether
to	to	to
let	let	let
Michigan	michigan	Michigan
presidential	presidenti	presidential
election	elect	election
recount	recount	recount
continue	continu	continue
,	,	,
or	or	or
end	end	end
.	.	.
Stay	stay	Stay
tuned	tune	tuned
.	.	.
Tresa	tresa	Tresa
Baldas	balda	Baldas
@TBaldas	@tbalda	@TBaldas
December	decemb	December
7	7	7
,	,	,
2016	2016	2016
