WARNING	warn	WARNING
it	it	it
appears	appear	appears
Finicum	finicum	Finicum
missed	miss	missed
it	it	it
as	as	a
he	he	he
attempted	attempt	attempted
to	to	to
drive	drive	drive
around	around	around
the	the	the
roadblock	roadblock	roadblock
.	.	.
He	he	He
nearly	near	nearly
hits	hit	hit
an	an	an
FBI	fbi	FBI
agent	agent	agent
as	as	a
he	he	he
maneuvers	maneuv	maneuver
to	to	to
the	the	the
left	left	left
.	.	.
The	the	The
truck	truck	truck
gets	get	get
stuck	stuck	stuck
in	in	in
the	the	the
snowbank	snowbank	snowbank
.	.	.
Finicum	finicum	Finicum
leaves	leav	leaf
the	the	the
truck	truck	truck
and	and	and
steps	step	step
through	through	through
the	the	the
snow	snow	snow
.	.	.
Agents	agent	Agents
and	and	and
troopers	trooper	trooper
on	on	on
scene	scene	scene
had	had	had
information	inform	information
that	that	that
Finicum	finicum	Finicum
and	and	and
others	other	others
would	would	would
be	be	be
armed	arm	armed
.	.	.
On	on	On
at	at	at
least	least	least
two	two	two
occasions	occas	occasion
,	,	,
Finicum	finicum	Finicum
reaches	reach	reach
his	his	his
right	right	right
hand	hand	hand
toward	toward	toward
a	a	a
pocket	pocket	pocket
on	on	on
the	the	the
left	left	left
inside	insid	inside
portion	portion	portion
of	of	of
his	his	his
jacket	jacket	jacket
.	.	.
He	he	He
did	did	did
have	have	have
a	a	a
loaded	load	loaded
9	9	9
mm	mm	mm
semi	semi	semi
-automatic	-automat	-automatic
handgun	handgun	handgun
in	in	in
that	that	that
pocket	pocket	pocket
.	.	.
At	at	At
this	this	this
time	time	time
,	,	,
OSP	osp	OSP
troopers	trooper	trooper
shot	shot	shot
Finicum	finicum	Finicum
.	.	.
The	the	The
video	video	video
debunks	debunk	debunks
claims	claim	claim
by	by	by
the	the	the
Oregon	oregon	Oregon
militia	militia	militia
that	that	that
Finicum	finicum	Finicum
was	was	wa
surrendering	surrend	surrendering
to	to	to
police	polic	police
on	on	on
his	his	his
knees	knee	knee
.	.	.
youtube	youtub	youtube
https://www.youtube.com/watch?v=aAGxDWKrjPQ&w=420&h=315]Featured	https://www.youtube.com/watch?v=aagxdwkrjpq&w=420&h=315]featur	https://www.youtube.com/watch?v=aAGxDWKrjPQ&w=420&h=315]Featured
image	imag	image
via	via	via
video	video	video
screen	screen	screen
grab	grab	grab
.	.	.
