Chuck	chuck	Chuck
take	take	take
a	a	a
stand	stand	stand
?	?	?

You	you	You
just	just	just
said	said	said
it	it	it
s	s	s
a	a	a
time	time	time
for	for	for
choosing	choos	choosing
.	.	.

If	if	If
it	it	it
s	s	s
a	a	a
time	time	time
for	for	for
choosing	choos	choosing
,	,	,
say	say	say
it	it	it
,	,	,
for	for	for
him	him	him
or	or	or
against	against	against
him	him	him
as	as	a
the	the	the
nominee	nomine	nominee
!	!	!

But	but	But
like	like	like
a	a	a
stubborn	stubborn	stubborn
petulant	petul	petulant
child	child	child
,	,	,
Cruz	cruz	Cruz
refused	refus	refused
to	to	to
answer	answer	answer
the	the	the
question	question	question
and	and	and
Todd	todd	Todd
slammed	slam	slammed
him	him	him
for	for	for
it	it	it
.	.	.

Let	let	Let
the	the	the
record	record	record
show	show	show
,	,	,
you	you	you
have	have	have
not	not	not
taken	taken	taken
a	a	a
position	posit	position
on	on	on
whether	whether	whether
you	you	you
can	can	can
support	support	support
Trump	trump	Trump
if	if	if
he	he	he
s	s	s
the	the	the
nominee	nomine	nominee
,	,	,
he	he	he
concluded	conclud	concluded
,	,	,
to	to	to
which	which	which
Cruz	cruz	Cruz
replied	repli	replied
that	that	that
the	the	the
media	media	medium
tried	tri	tried
to	to	to
force	forc	force
him	him	him
to	to	to
support	support	support
Trump	trump	Trump
.	.	.
Here	here	Here
s	s	s
the	the	the
video	video	video
via	via	via
YouTube	youtub	YouTube
Cruz	cruz	Cruz
completely	complet	completely
humiliated	humili	humiliated
himself	himself	himself
during	dure	during
this	this	this
interview	interview	interview
and	and	and
left	left	left
us	us	u
no	no	no
doubt	doubt	doubt
about	about	about
why	whi	why
Republican	republican	Republican
voters	voter	voter
are	are	are
rejecting	reject	rejecting
him	him	him
at	at	at
the	the	the
polls	poll	poll
.	.	.
He	he	He
was	was	wa
given	given	given
a	a	a
national	nation	national
platform	platform	platform
on	on	on
Sunday	sunday	Sunday
television	televis	television
to	to	to
tell	tell	tell
voters	voter	voter
that	that	that
he	he	he
will	will	will
not	not	not
stand	stand	stand
by	by	by
Trump	trump	Trump
if	if	if
he	he	he
wins	win	win
the	the	the
nomination	nomin	nomination
but	but	but
all	all	all
he	he	he
could	could	could
do	do	do
was	was	wa
offer	offer	offer
contradictory	contradictori	contradictory
rhetoric	rhetor	rhetoric
about	about	about
how	how	how
the	the	the
country	countri	country
will	will	will
be	be	be
lost	lost	lost
if	if	if
Trump	trump	Trump
wins	win	win
while	while	while
refusing	refus	refusing
take	take	take
a	a	a
stand	stand	stand
against	against	against
Trump	trump	Trump
.	.	.
When	when	When
Cruz	cruz	Cruz
loses	lose	loses
the	the	the
Republican	republican	Republican
primary	primari	primary
,	,	,
he	he	he
can	can	can
t	t	t
blame	blame	blame
the	the	the
media	media	medium
for	for	for
it	it	it
.	.	.

The	the	The
only	onli	only
one	one	one
he	he	he
can	can	can
blame	blame	blame
is	is	is
himself	himself	himself
because	becaus	because
he	he	he
was	was	wa
too	too	too
cowardly	coward	cowardly
to	to	to
answer	answer	answer
a	a	a
simple	simpl	simple
question	question	question
that	that	that
would	would	would
have	have	have
shown	shown	shown
once	onc	once
and	and	and
for	for	for
all	all	all
where	where	where
Ted	ted	Ted
Cruz	cruz	Cruz
stands	stand	stand
.	.	.

Instead	instead	Instead
,	,	,
all	all	all
he	he	he
could	could	could
do	do	do
is	is	is
complain	complain	complain
.	.	.

And	and	And
whining	whine	whining
will	will	will
be	be	be
all	all	all
Cruz	cruz	Cruz
is	is	is
remembered	rememb	remembered
for	for	for
doing	do	doing
during	dure	during
this	this	this
campaign	campaign	campaign
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
screenshot	screenshot	screenshot

