Once	onc	Once
Lauer	lauer	Lauer
.	.	.

This	this	This
means	mean	mean
that	that	that
he	he	he
s	s	s
being	be	being
fired	fire	fired
NOT	not	NOT
because	becaus	because
of	of	of
sexual	sexual	sexual
misconduct	misconduct	misconduct
but	but	but
for	for	for
not	not	not
following	follow	following
the	the	the
party	parti	party
line	line	line
and	and	and
supporting	support	supporting
Hillary	hillari	Hillary
?	?	?

They	they	They
might	might	might
have	have	have
a	a	a
point	point	point
.	.	.

Lauer	lauer	Lauer
s	s	s
escapades	escapad	escapade
with	with	with
women	women	woman
are	are	are
legend	legend	legend
so	so	so
why	whi	why
fire	fire	fire
him	him	him
now	now	now
?	?	?

Is	is	Is
it	it	it
the	the	the
trend	trend	trend
in	in	in
sexual	sexual	sexual
harassment	harass	harassment
cases	case	case
or	or	or
because	becaus	because
he	he	he
s	s	s
out	out	out
of	of	of
favor	favor	favor
with	with	with
the	the	the
liberal	liber	liberal
elites	elit	elite
since	sinc	since
the	the	the
election	elect	election
last	last	last
year	year	year
?	?	?

With	with	With
these	these	these
people	peopl	people
you	you	you
have	have	have
to	to	to
march	march	march
in	in	in
lockstep	lockstep	lockstep
or	or	or
you	you	you
re	re	re
out	out	out
!	!	!

How	how	How
confusing	confus	confusing
!	!	!
Numerous	numer	Numerous
people	peopl	people
have	have	have
commented	comment	commented
on	on	on
our	our	our
report	report	report
about	about	about
Lauer	lauer	Lauer
s	s	s
firing	fire	firing
to	to	to
say	say	say
they	they	they
blame	blame	blame
Hillary	hillari	Hillary
Who	who	Who
knew	knew	knew
?	?	?
OUR	our	OUR
PREVIOUS	previous	PREVIOUS
REPORT	report	REPORT
ON	on	ON
LAUER	lauer	LAUER
S	s	S
FIRING	fire	FIRING
NBC	nbc	NBC
was	was	wa
in	in	in
cover	cover	cover
your	your	your
ass	ass	as
mode	mode	mode
with	with	with
their	their	their
longtime	longtim	longtime
anchor	anchor	anchor
Matt	matt	Matt
Lauer	lauer	Lauer
s	s	s
latest	latest	latest
misstep	misstep	misstep
coming	come	coming
to	to	to
light	light	light
via	via	via
numerous	numer	numerous
news	news	news
outlets	outlet	outlet
.	.	.

NBC	nbc	NBC
News	news	News
Chairman	chairman	Chairman
Andy	andi	Andy
Lack	lack	Lack
pulled	pull	pulled
the	the	the
trigger	trigger	trigger
to	to	to
fire	fire	fire
Lauer	lauer	Lauer
late	late	late
last	last	last
night	night	night
after	after	after
it	it	it
was	was	wa
revealed	reveal	revealed
that	that	that
Lauer	lauer	Lauer
was	was	wa
going	go	going
to	to	to
be	be	be
outed	out	outed
for	for	for
sexual	sexual	sexual
misconduct	misconduct	misconduct
.	.	.
Page	page	Page
Six	six	Six
reports	report	report
Longtime	longtim	Longtime
NBC	nbc	NBC
anchor	anchor	anchor
Matt	matt	Matt
Lauer	lauer	Lauer
allegedly	alleg	allegedly
sexually	sexual	sexually
assaulted	assault	assaulted
a	a	a
female	femal	female
NBC	nbc	NBC
staffer	staffer	staffer
during	dure	during
the	the	the
Rio	rio	Rio
Olympics	olymp	Olympics
.	.	.

The	the	The
staffer	staffer	staffer
,	,	,
who	who	who
has	has	ha
not	not	not
been	been	been
named	name	named
and	and	and
wishes	wish	wish
to	to	to
remain	remain	remain
anonymous	anonym	anonymous
,	,	,
complained	complain	complained
to	to	to
NBC	nbc	NBC
News	news	News
bosses	boss	boss
yesterday	yesterday	yesterday
,	,	,
prompting	prompt	prompting
them	them	them
to	to	to
move	move	move
fast	fast	fast
and	and	and
fire	fire	fire
him	him	him
.	.	.

An	an	An
NBC	nbc	NBC
staffer	staffer	staffer
come	come	come
forward	forward	forward
with	with	with
a	a	a
claim	claim	claim
that	that	that
Matt	matt	Matt
sexually	sexual	sexually
assaulted	assault	assaulted
her	her	her
at	at	at
the	the	the
Olympics	olymp	Olympics
.	.	.

There	there	There
have	have	have
been	been	been
rumors	rumor	rumor
about	about	about
Matt	matt	Matt
having	have	having
affairs	affair	affair
with	with	with
subordinates	subordin	subordinate
at	at	at
NBC	nbc	NBC
for	for	for
years	year	year
,	,	,
but	but	but
those	those	those
were	were	were
believed	believ	believed
to	to	to
be	be	be
consensual	consensu	consensual
.	.	.

This	this	This
incident	incid	incident
in	in	in
Rio	rio	Rio
was	was	wa
not	not	not
.	.	.

2006	2006	2006
CRUEL	cruel	CRUEL
AND	and	AND
INHUMANE	inhuman	INHUMANE
His	his	His
wife	wife	wife
,	,	,
Annette	annett	Annette
,	,	,
famously	famous	famously
filed	file	filed
for	for	for
divorce	divorc	divorce
in	in	in
2006	2006	2006
,	,	,
accusing	accus	accusing
him	him	him
of	of	of
cruel	cruel	cruel
and	and	and
inhumane	inhuman	inhumane
behavior	behavior	behavior
,	,	,
but	but	but
withdrew	withdrew	withdrew
the	the	the
filing	file	filing
a	a	a
month	month	month
later	later	later
after	after	after
they	they	they
reached	reach	reached
a	a	a
private	privat	private
agreement	agreement	agreement
.	.	.

They	they	They
ostensibly	ostens	ostensibly
live	live	live
separate	separ	separate
lives	live	life
,	,	,
she	she	she
living	live	living
full	full	full
time	time	time
in	in	in
the	the	the
Hamptons	hampton	Hamptons
with	with	with
their	their	their
children	children	child
,	,	,
while	while	while
Matt	matt	Matt
resides	resid	resides
in	in	in
the	the	the
city	citi	city
during	dure	during
the	the	the
week	week	week
.	.	.
Lauer	lauer	Lauer
has	has	ha
been	been	been
rumored	rumor	rumored
to	to	to
be	be	be
a	a	a
serial	serial	serial
adulterer	adulter	adulterer
but	but	but
this	this	this
case	case	case
was	was	wa
not	not	not
consensual	consensu	consensual
.	.	.

A	a	A
whole	whole	whole
different	differ	different
ball	ball	ball
of	of	of
wax	wax	wax
for	for	for
the	the	the
notorious	notori	notorious
cad	cad	cad
.	.	.
Rumors	rumor	Rumors
of	of	of
an	an	an
affair	affair	affair
with	with	with
Natalie	natali	Natalie
Morales	moral	Morales
and	and	and
other	other	other
co	co	co
-workers	-worker	-workers
have	have	have
been	been	been
out	out	out
there	there	there
in	in	in
the	the	the
past	past	past
.	.	.

Lauer	lauer	Lauer
s	s	s
current	current	current
co	co	co
-workers	-worker	-workers
spoke	spoke	spoke
out	out	out
this	this	this
morning	morn	morning
claiming	claim	claiming
shock	shock	shock
at	at	at
what	what	what
just	just	just
happened	happen	happened
Matt	matt	Matt
Lauer	lauer	Lauer
has	has	ha
been	been	been
terminated	termin	terminated
from	from	from
NBC	nbc	NBC
News	news	News
.	.	.

On	on	On
Monday	monday	Monday
night	night	night
,	,	,
we	we	we
received	receiv	received
a	a	a
detailed	detail	detailed
complaint	complaint	complaint
from	from	from
a	a	a
colleague	colleagu	colleague
about	about	about
inappropriate	inappropri	inappropriate
sexual	sexual	sexual
behavior	behavior	behavior
in	in	in
the	the	the
workplace	workplac	workplace
by	by	by
Matt	matt	Matt
Lauer	lauer	Lauer
.	.	.

As	as	As
a	a	a
result	result	result
,	,	,
we	we	we
ve	ve	ve
decided	decid	decided
to	to	to
terminate	termin	terminate
his	his	his
employment	employ	employment
.	.	.

pic.twitter.com/1A3UAZpvPb	pic.twitter.com/1a3uazpvpb	pic.twitter.com/1A3UAZpvPb
TODAY	today	TODAY
@TODAYshow	@todayshow	@TODAYshow
November	novemb	November
29	29	29
,	,	,
2017The	2017the	2017The
victim	victim	victim
wishes	wish	wish
to	to	to
remain	remain	remain
anonymous	anonym	anonymous
we	we	we
re	re	re
wondering	wonder	wondering
how	how	how
long	long	long
it	it	it
will	will	will
take	take	take
for	for	for
her	her	her
name	name	name
to	to	to
be	be	be
leaked	leak	leaked
out	out	out
.	.	.

