Next	next	Next
of	of	of
changing	chang	changing
the	the	the
rules	rule	rule
to	to	to
keep	keep	keep
those	those	those
who	who	who
will	will	will
be	be	be
18	18	18
by	by	by
Nov	nov	Nov
.	.	.

4	4	4
from	from	from
voting	vote	voting
in	in	in
the	the	the
presidential	presidenti	presidential
primary	primari	primary
.	.	.
Husted	hust	Husted
called	call	called
those	those	those
accusations	accus	accusation
and	and	and
the	the	the
Sanders	sander	Sanders
lawsuit	lawsuit	lawsuit
baseless	baseless	baseless
in	in	in
a	a	a
statement	statement	statement
released	releas	released
over	over	over
Twitter	twitter	Twitter
,	,	,
saying	say	saying
that	that	that
Ohio	ohio	Ohio
is	is	is
operating	oper	operating
under	under	under
the	the	the
same	same	same
set	set	set
of	of	of
rules	rule	rule
it	it	it
has	has	ha
used	use	used
in	in	in
past	past	past
primaries	primari	primary
.	.	.
Husted	hust	Husted
s	s	s
response	respons	response
to	to	to
Sanders	sander	Sanders
ridiculous	ridicul	ridiculous
lawsuit	lawsuit	lawsuit
can	can	can
be	be	be
found	found	found
here	here	here
Some	some	Some
facts	fact	fact
about	about	about
voting	vote	voting
for	for	for
17	17	17
-year-olds	-year-old	-year-olds
they	they	they
can	can	can
vote	vote	vote
in	in	in
the	the	the
primary	primari	primary
on	on	on
nominations	nomin	nomination
,	,	,
not	not	not
on	on	on
delegates	deleg	delegate
or	or	or
issues	issu	issue
.	.	.

pic.twitter.com/i7pe7Eg6Wl	pic.twitter.com/i7pe7eg6wl	pic.twitter.com/i7pe7Eg6Wl
Jon	jon	Jon
Husted	hust	Husted
@JonHusted	@jonhust	@JonHusted
March	march	March
8	8	8
,	,	,
2016Via	2016via	2016Via
The	the	The
Hill	hill	Hill

