An	an	An
second	second	second
man	man	man
charged	charg	charged
with	with	with
human	human	human
trafficking	traffick	trafficking
was	was	wa
36	36	36
-year-old	-year-old	-year-old
Zubin	zubin	Zubin
Parakh	parakh	Parakh
of	of	of
Oak	oak	Oak
Ridge	ridg	Ridge
,	,	,
TN	tn	TN
.	.	.
Zubin	zubin	Zubin
also	also	also
showed	show	showed
up	up	up
at	at	at
the	the	the
hotel	hotel	hotel
expecting	expect	expecting
to	to	to
have	have	have
sex	sex	sex
with	with	with
a	a	a
child	child	child
.	.	.
According	accord	According
to	to	to
WBIR	wbir	WBIR
Parakh	parakh	Parakh
is	is	is
connected	connect	connected
to	to	to
Lifehouse	lifehous	Lifehouse
Church	church	Church
in	in	in
Oak	oak	Oak
Ridge	ridg	Ridge
.	.	.
A	a	A
church	church	church
spokesperson	spokesperson	spokesperson
said	said	said
Parakh	parakh	Parakh
serves	serv	serf
as	as	a
a	a	a
volunteer	volunt	volunteer
as	as	a
a	a	a
creative	creativ	creative
pastor	pastor	pastor
.	.	.
Although	although	Although
Parakh	parakh	Parakh
is	is	is
not	not	not
officially	offici	officially
a	a	a
pastor	pastor	pastor
at	at	at
Lifehouse	lifehous	Lifehouse
Church	church	Church
,	,	,
he	he	he
was	was	wa
working	work	working
toward	toward	toward
becoming	becom	becoming
one	one	one
.	.	.
The	the	The
thirty	thirti	thirty
other	other	other
men	men	men
and	and	and
women	women	woman
arrested	arrest	arrested
were	were	were
charged	charg	charged
with	with	with
prostitution	prostitut	prostitution
-related	-relat	-related
crimes	crime	crime
.	.	.
According	accord	According
to	to	to
police	polic	police
,	,	,
Kennedy	kennedi	Kennedy
and	and	and
Zubin	zubin	Zubin
were	were	were
the	the	the
only	onli	only
two	two	two
people	peopl	people
who	who	who
showed	show	showed
up	up	up
at	at	at
the	the	the
hotel	hotel	hotel
expecting	expect	expecting
to	to	to
have	have	have
sex	sex	sex
with	with	with
someone	someon	someone
under	under	under
the	the	the
age	age	age
of	of	of
18	18	18
.	.	.
Here	here	Here
s	s	s
more	more	more
on	on	on
this	this	this
story	stori	story
from	from	from
WPVI	wpvi	WPVI
Image	imag	Image
credit	credit	credit
video	video	video
screen	screen	screen
capture	captur	capture
WPVI	wpvi	WPVI
via	via	via
YouTube	youtub	YouTube
