WOULDN	wouldn	WOULDN
skiing	ski	skiing
in	in	in
Aspen	aspen	Aspen
,	,	,
returning	return	returning
to	to	to
the	the	the
White	white	White
House	hous	House
on	on	on
February	februari	February
16	16	16
.	.	.
Judicial	judici	Judicial
Watch	watch	Watch
obtained	obtain	obtained
the	the	the
Air	air	Air
Force	forc	Force
records	record	record
in	in	in
response	respons	response
to	to	to
a	a	a
February	februari	February
18	18	18
,	,	,
2015	2015	2015
,	,	,
Freedom	freedom	Freedom
of	of	of
Information	inform	Information
Act	act	Act
FOIA	foia	FOIA
request	request	request
seeking	seek	seeking
the	the	the
following	follow	following
According	accord	According
to	to	to
the	the	the
newly	newli	newly
released	releas	released
records	record	record
,	,	,
the	the	the
transportation	transport	transportation
costs	cost	cost
for	for	for
the	the	the
four	four	four
-day	-day	-day
trip	trip	trip
to	to	to
Aspen	aspen	Aspen
were	were	were
based	base	based
on	on	on
a	a	a
flight	flight	flight
cost	cost	cost
of	of	of
7	7	7
,	,	,
712	712	712
an	an	an
hour	hour	hour
for	for	for
the	the	the
First	first	First
Lady	ladi	Lady
,	,	,
her	her	her
daughters	daughter	daughter
,	,	,
and	and	and
support	support	support
personnel	personnel	personnel
in	in	in
the	the	the
Gulfstream	gulfstream	Gulfstream
aircraft	aircraft	aircraft
.	.	.

Not	not	Not
included	includ	included
were	were	were
the	the	the
attendant	attend	attendant
costs	cost	cost
for	for	for
U	u	U
.	.	.
S	s	S
.	.	.
Secret	secret	Secret
Service	servic	Service
personnel	personnel	personnel
,	,	,
accommodations	accommod	accommodation
,	,	,
meals	meal	meal
,	,	,
rental	rental	rental
cars	car	car
,	,	,
lift	lift	lift
tickets	ticket	ticket
for	for	for
skiing	ski	skiing
at	at	at
Buttermilk	buttermilk	Buttermilk
,	,	,
and	and	and
related	relat	related
expenses	expens	expense
.	.	.

The	the	The
57	57	57
,	,	,
068	068	068
.	.	.
80	80	80
tab	tab	tab
Mrs	mrs	Mrs
.	.	.

Obama	obama	Obama
her	her	her
daughters	daughter	daughter
ran	ran	ran
up	up	up
in	in	in
travel	travel	travel
expenses	expens	expense
alone	alon	alone
for	for	for
their	their	their
weekend	weekend	weekend
trip	trip	trip
is	is	is
more	more	more
than	than	than
14	14	14
times	time	time
what	what	what
the	the	the
average	averag	average
American	american	American
of	of	of
four	four	four
spends	spend	spends
for	for	for
an	an	an
entire	entir	entire
week	week	week
-long	-long	-long
vacation	vacat	vacation
.	.	.
The	the	The
ski	ski	ski
trip	trip	trip
was	was	wa
apparently	appar	apparently
intended	intend	intended
to	to	to
be	be	be
low	low	low
-key	-key	-key
,	,	,
and	and	and
it	it	it
may	may	may
have	have	have
stayed	stay	stayed
under	under	under
the	the	the
radar	radar	radar
had	had	had
it	it	it
not	not	not
been	been	been
for	for	for
the	the	the
Obama	obama	Obama
s	s	s
motorcade	motorcad	motorcade
having	have	having
been	been	been
forced	forc	forced
to	to	to
stop	stop	stop
for	for	for
a	a	a
two	two	two
-car	-car	-car
collision	collis	collision
ahead	ahead	ahead
of	of	of
them	them	them
,	,	,
which	which	which
closed	close	closed
the	the	the
road	road	road
for	for	for
40	40	40
minutes	minut	minute
.	.	.

Though	though	Though
the	the	the
Obamas	obama	Obamas
had	had	had
been	been	been
allowed	allow	allowed
to	to	to
sneak	sneak	sneak
through	through	through
while	while	while
they	they	they
waited	wait	waited
on	on	on
tow	tow	tow
trucks	truck	truck
,	,	,
according	accord	according
to	to	to
Aspen	aspen	Aspen
Police	polic	Police
Chief	chief	Chief
Brian	brian	Brian
Olsen	olsen	Olsen
,	,	,
the	the	the
presence	presenc	presence
of	of	of
the	the	the
First	first	First
Lady	ladi	Lady
was	was	wa
noticed	notic	noticed
.	.	.

The	the	The
Obama	obama	Obama
family	famili	family
reportedly	report	reportedly
stayed	stay	stayed
at	at	at
the	the	the
home	home	home
of	of	of
Jim	jim	Jim
and	and	and
Paula	paula	Paula
Crown	crown	Crown
,	,	,
a	a	a
Chicago	chicago	Chicago
couple	coupl	couple
who	who	who
have	have	have
been	been	been
major	major	major
campaign	campaign	campaign
contributors	contributor	contributor
to	to	to
President	presid	President
Obama	obama	Obama
throughout	throughout	throughout
his	his	his
political	polit	political
career	career	career
.	.	.
Barack	barack	Barack
and	and	and
Michelle	michell	Michelle
Obama	obama	Obama
and	and	and
other	other	other
members	member	member
of	of	of
their	their	their
family	famili	family
have	have	have
traveled	travel	traveled
more	more	more
during	dure	during
his	his	his
presidency	presid	presidency
than	than	than
any	ani	any
other	other	other
first	first	first
couple	coupl	couple
,	,	,
including	includ	including
extensive	extens	extensive
and	and	and
costly	cost	costly
trips	trip	trip
to	to	to
Spain	spain	Spain
,	,	,
Africa	africa	Africa
,	,	,
South	south	South
America	america	America
,	,	,
and	and	and
China	china	China
,	,	,
accompanied	accompani	accompanied
by	by	by
staff	staff	staff
and	and	and
often	often	often
by	by	by
friends	friend	friend
.	.	.
Including	includ	Including
the	the	the
Aspen	aspen	Aspen
trip	trip	trip
,	,	,
government	govern	government
records	record	record
indicate	indic	indicate
that	that	that
the	the	the
beyond	beyond	beyond
-first-class	-first-class	-first-class
travel	travel	travel
of	of	of
the	the	the
Obamas	obama	Obamas
and	and	and
Vice	vice	Vice
President	presid	President
Joe	joe	Joe
Biden	biden	Biden
have	have	have
cost	cost	cost
the	the	the
American	american	American
people	peopl	people
well	well	well
over	over	over
56	56	56
million	million	million
.	.	.
Read	read	Read
more	more	more
Judicial	judici	Judicial
Watch	watch	Watch

