Democrats	democrat	Democrats
doesn	doesn	doesn
t	t	t
like	like	like
,	,	,
if	if	if
it	it	it
s	s	s
a	a	a
comment	comment	comment
that	that	that
he	he	he
doesn	doesn	doesn
t	t	t
like	like	like
,	,	,
if	if	if
it	it	it
s	s	s
a	a	a
court	court	court
decision	decis	decision
he	he	he
doesn	doesn	doesn
t	t	t
like	like	like
that	that	that
s	s	s
part	part	part
of	of	of
life	life	life
.	.	.

Exactly	exact	Exactly
.	.	.

It	it	It
s	s	s
part	part	part
of	of	of
life	life	life
and	and	and
it	it	it
s	s	s
a	a	a
big	big	big
part	part	part
of	of	of
life	life	life
when	when	when
you	you	you
re	re	re
a	a	a
public	public	public
figure	figur	figure
,	,	,
particularly	particular	particularly
a	a	a
public	public	public
political	polit	political
figure	figur	figure
.	.	.

The	the	The
fact	fact	fact
that	that	that
she	she	she
felt	felt	felt
she	she	she
had	had	had
basically	basic	basically
had	had	had
no	no	no
words	word	word
for	for	for
the	the	the
level	level	level
of	of	of
immaturity	immatur	immaturity
Trump	trump	Trump
shows	show	show
,	,	,
and	and	and
was	was	wa
willing	will	willing
to	to	to
say	say	say
so	so	so
on	on	on
national	nation	national
television	televis	television
,	,	,
is	is	is
very	veri	very
telling	tell	telling
.	.	.

Watch	watch	Watch
her	her	her
full	full	full
comments	comment	comment
below	below	below
Rep	rep	Rep
.	.	.

Kathleen	kathleen	Kathleen
Rice	rice	Rice
on	on	on
Trump	trump	Trump
s	s	s
name	name	name
-calling	-call	-calling
There	there	There
s	s	s
a	a	a
certain	certain	certain
amount	amount	amount
of	of	of
decorum	decorum	decorum
that	that	that
we	we	we
expect	expect	expect
from	from	from
our	our	our
president	presid	president
https://t.co/uh6WIwKPa1	https://t.co/uh6wiwkpa1	https://t.co/uh6WIwKPa1
CNN	cnn	CNN
Politics	polit	Politics
@CNNPolitics	@cnnpolit	@CNNPolitics
February	februari	February
6	6	6
,	,	,
2017Read	2017read	2017Read
more	more	more
Featured	featur	Featured
image	imag	image
via	via	via
screen	screen	screen
capture	captur	capture
from	from	from
embedded	embed	embedded
video	video	video

