Riots	riot	Riots
recommendation	recommend	recommendation
that	that	that
there	there	there
was	was	wa
insufficient	insuffici	insufficient
evidence	evid	evidence
to	to	to
charge	charg	charge
Vinson	vinson	Vinson
in	in	in
the	the	the
case	case	case
.	.	.
In	in	In
the	the	the
aftermath	aftermath	aftermath
of	of	of
Scott	scott	Scott
s	s	s
death	death	death
,	,	,
Charlotte	charlott	Charlotte
was	was	wa
roiled	roil	roiled
by	by	by
two	two	two
nights	night	night
of	of	of
rioting	riot	rioting
and	and	and
nearly	near	nearly
a	a	a
week	week	week
of	of	of
street	street	street
demonstrations	demonstr	demonstration
.	.	.
After	after	After
street	street	street
violence	violenc	violence
,	,	,
dozens	dozen	dozen
of	of	of
arrests	arrest	arrest
and	and	and
the	the	the
death	death	death
of	of	of
one	one	one
man	man	man
in	in	in
uptown	uptown	uptown
,	,	,
Gov	gov	Gov
.	.	.
Pat	pat	Pat
McCrory	mccrori	McCrory
declared	declar	declared
a	a	a
state	state	state
of	of	of
emergency	emerg	emergency
.	.	.
Murray	murray	Murray
Scott's	scott	Scott's
widow	widow	widow
told	told	told
CMPD	cmpd	CMPD
Detectives	detect	Detectives
that	that	that
Scott	scott	Scott
did	did	did
not	not	not
own	own	own
a	a	a
gun	gun	gun
but	but	but
her	her	her
texts	text	text
suggest	suggest	suggest
otherwise	otherwis	otherwise
Mark	mark	Mark
Becker	becker	Becker
@MarkBeckerWSOC9	@markbeckerwsoc9	@MarkBeckerWSOC9
November	novemb	November
30	30	30
,	,	,
2016Murray	2016murray	2016Murray
live	live	live
round	round	round
found	found	found
in	in	in
chamber	chamber	chamber
of	of	of
scott's	scott	scott's
gun	gun	gun
pic.twitter.com/NTQTOviPSl	pic.twitter.com/ntqtovipsl	pic.twitter.com/NTQTOviPSl
Mark	mark	Mark
Becker	becker	Becker
@MarkBeckerWSOC9	@markbeckerwsoc9	@MarkBeckerWSOC9
November	novemb	November
30	30	30
,	,	,
2016Murray	2016murray	2016Murray
Scott's	scott	Scott's
DNA	dna	DNA
on	on	on
slide	slide	slide
and	and	and
grip	grip	grip
of	of	of
the	the	the
gun	gun	gun
pic.twitter.com/Q5dBX2CKwm	pic.twitter.com/q5dbx2ckwm	pic.twitter.com/Q5dBX2CKwm
Mark	mark	Mark
Becker	becker	Becker
@MarkBeckerWSOC9	@markbeckerwsoc9	@MarkBeckerWSOC9
November	novemb	November
30	30	30
,	,	,
2016Murray	2016murray	2016Murray
totality	total	totality
of	of	of
evidence	evid	evidence
does	doe	doe
not	not	not
support	support	support
shot	shot	shot
to	to	to
Scott's	scott	Scott's
back	back	back
being	be	being
first	first	first
pic.twitter.com/m82mDuPFZN	pic.twitter.com/m82mdupfzn	pic.twitter.com/m82mDuPFZN
Mark	mark	Mark
Becker	becker	Becker
@MarkBeckerWSOC9	@markbeckerwsoc9	@MarkBeckerWSOC9
November	novemb	November
30	30	30
,	,	,
2016https	2016https	2016https
twitter	twitter	twitter
.	.	.
com	com	com
JaredWyand	jaredwyand	JaredWyand
status	status	status
803991294406230016	803991294406230016	803991294406230016
