EAG	eag	EAG
District	district	District
#1.According	#1.accord	#1.According
to	to	to
The	the	The
Washington	washington	Washington
Post	post	Post
Last	last	Last
year	year	year
,	,	,
deeply	deepli	deeply
conservative	conserv	conservative
Wyoming	wyom	Wyoming
voted	vote	voted
for	for	for
Trump	trump	Trump
by	by	by
the	the	the
widest	widest	widest
majority	major	majority
of	of	of
any	ani	any
state	state	state
,	,	,
70	70	70
percent	percent	percent
.	.	.

In	in	In
Teton	teton	Teton
County	counti	County
,	,	,
Hillary	hillari	Hillary
Clinton	clinton	Clinton
got	got	got
60	60	60
percent	percent	percent
,	,	,
the	the	the
only	onli	only
Wyoming	wyom	Wyoming
county	counti	county
the	the	the
Democrat	democrat	Democrat
won	won	won
.	.	.
Teton	teton	Teton
County	counti	County
is	is	is
a	a	a
wealthy	wealthi	wealthy
ski	ski	ski
and	and	and
summer	summer	summer
recreation	recreat	recreation
destination	destin	destination
.	.	.

Residents	resid	Residents
include	includ	include
former	former	former
Vice	vice	Vice
President	presid	President
Dick	dick	Dick
Cheney	cheney	Cheney
and	and	and
his	his	his
daughter	daughter	daughter
,	,	,
Republican	republican	Republican
U	u	U
.	.	.
S	s	S
.	.	.
Rep	rep	Rep
.	.	.

Liz	liz	Liz
Cheney	cheney	Cheney
.	.	.
In	in	In
2015	2015	2015
,	,	,
school	school	school
administrators	administr	administrator
canceled	cancel	canceled
an	an	an
America	america	America
Day	day	Day
tradition	tradit	tradition
for	for	for
homecoming	homecom	homecoming
in	in	in
which	which	which
students	student	student
donned	don	donned
red	red	red
,	,	,
white	white	white
and	and	and
blue	blue	blue
and	and	and
rode	rode	rode
around	around	around
on	on	on
a	a	a
diesel	diesel	diesel
truck	truck	truck
to	to	to
show	show	show
their	their	their
patriotism	patriot	patriotism
and	and	and
love	love	love
of	of	of
country	countri	country
.	.	.

Activities	activ	Activities
director	director	director
Mike	mike	Mike
Hansen	hansen	Hansen
put	put	put
the	the	the
kibosh	kibosh	kibosh
on	on	on
the	the	the
event	event	event
because	becaus	because
he	he	he
alleged	alleg	alleged
some	some	some
students	student	student
might	might	might
get	get	get
offended	offend	offended
.	.	.
The	the	The
school	school	school
s	s	s
juniors	junior	junior
and	and	and
seniors	senior	senior
didn	didn	didn
t	t	t
buy	buy	buy
it	it	it
,	,	,
however	howev	however
,	,	,
and	and	and
many	mani	many
showed	show	showed
up	up	up
to	to	to
school	school	school
decked	deck	decked
out	out	out
in	in	in
stars	star	star
and	and	and
stripes	stripe	stripe
,	,	,
then	then	then
paraded	parad	paraded
the	the	the
diesel	diesel	diesel
truck	truck	truck
around	around	around
the	the	the
school	school	school
parking	park	parking
lot	lot	lot
at	at	at
the	the	the
end	end	end
of	of	of
the	the	the
day	day	day
,	,	,
waving	wave	waving
American	american	American
flags	flag	flag
.	.	.

It	it	It
s	s	s
homecoming	homecom	homecoming
week	week	week
and	and	and
our	our	our
school	school	school
administration	administr	administration
thought	thought	thought
it	it	it
was	was	wa
too	too	too
offensive	offens	offensive
to	to	to
have	have	have
an	an	an
America	america	America
Pride	pride	Pride
Day	day	Day
!	!	!

So	so	So
this	this	this
is	is	is
my	my	my
kids	kid	kid
answer	answer	answer
to	to	to
that	that	that
!	!	!

local	local	local
parent	parent	parent
Ted	ted	Ted
Dawson	dawson	Dawson
posted	post	posted
to	to	to
Facebook	facebook	Facebook
with	with	with
pictures	pictur	picture
of	of	of
his	his	his
kids	kid	kid
in	in	in
patriotic	patriot	patriotic
get	get	get
-ups	-up	-ups
.	.	.

Where	where	Where
have	have	have
we	we	we
gone	gone	gone
wrong	wrong	wrong
!	!	!

I	i	I
don	don	don
t	t	t
care	care	care
what	what	what
race	race	race
or	or	or
religion	religion	religion
you	you	you
are	are	are
,	,	,
you	you	you
live	live	live
here	here	here
,	,	,
benefit	benefit	benefit
from	from	from
the	the	the
schools	school	school
,	,	,
enjoy	enjoy	enjoy
tax	tax	tax
benefits	benefit	benefit
or	or	or
whatever	whatev	whatever
you	you	you
re	re	re
an	an	an
American	american	American
or	or	or
at	at	at
least	least	least
you	you	you
better	better	better
be	be	be
!	!	!

