Trump	trump	Trump
had	had	had
the	the	the
right	right	right
to	to	to
do	do	do
whatever	whatev	whatever
they	they	they
wanted	want	wanted
to	to	to
the	the	the
slave	slave	slave
,	,	,
Carson	carson	Carson
said	said	said
in	in	in
October	octob	October
of	of	of
2015	2015	2015
.	.	.
What	what	What
if	if	if
the	the	the
abolitionists	abolitionist	abolitionist
had	had	had
said	said	said
,	,	,
I	i	I
don	don	don
t	t	t
believe	believ	believe
in	in	in
slavery	slaveri	slavery
,	,	,
I	i	I
think	think	think
it	it	it
s	s	s
wrong	wrong	wrong
,	,	,
but	but	but
you	you	you
guys	guy	guy
do	do	do
whatever	whatev	whatever
you	you	you
want	want	want
to	to	to
do	do	do
?	?	?
Carson	carson	Carson
added	ad	added
.	.	.
The	the	The
retired	retir	retired
neurosurgeon	neurosurgeon	neurosurgeon
does	doe	doe
not	not	not
believe	believ	believe
in	in	in
abortion	abort	abortion
even	even	even
in	in	in
cases	case	case
of	of	of
incest	incest	incest
or	or	or
rape	rape	rape
.	.	.
Abortion	abort	Abortion
is	is	is
a	a	a
choice	choic	choice
.	.	.
Slavery	slaveri	Slavery
is	is	is
not	not	not
.	.	.
Wow	wow	Wow
,	,	,
just	just	just
wow	wow	wow
.	.	.
How	how	How
did	did	did
this	this	this
man	man	man
ever	ever	ever
become	becom	become
a	a	a
neurosurgeon	neurosurgeon	neurosurgeon
?	?	?
You	you	You
know	know	know
what	what	what
slavery	slaveri	slavery
was	was	wa
really	realli	really
like	like	like
?	?	?
Slavery	slaveri	Slavery
.	.	.
Slaves	slave	Slaves
did	did	did
not	not	not
seek	seek	seek
to	to	to
be	be	be
imprisoned	imprison	imprisoned
and	and	and
they	they	they
weren	weren	weren
t	t	t
employees	employe	employee
.	.	.
Geez	geez	Geez
.	.	.
Photo	photo	Photo
by	by	by
Joe	joe	Joe
Raedle	raedl	Raedle
Getty	getti	Getty
Images	imag	Images
