Appearing	appear	Appearing
week	week	week
that	that	that
he	he	he
is	is	is
going	go	going
to	to	to
work	work	work
seven	seven	seven
days	day	day
a	a	a
week	week	week
to	to	to
make	make	make
sure	sure	sure
Donald	donald	Donald
Trump	trump	Trump
doesn	doesn	doesn
t	t	t
become	becom	become
president	presid	president
.	.	.
And	and	And
I	i	I
want	want	want
to	to	to
unify	unifi	unify
the	the	the
party	parti	party
.	.	.
I	i	I
see	see	see
a	a	a
great	great	great
role	role	role
and	and	and
opportunity	opportun	opportunity
for	for	for
him	him	him
and	and	and
his	his	his
supporters	support	supporter
to	to	to
be	be	be
part	part	part
of	of	of
that	that	that
unified	unifi	unified
party	parti	party
,	,	,
to	to	to
move	move	move
into	into	into
not	not	not
just	just	just
November	novemb	November
to	to	to
win	win	win
the	the	the
election	elect	election
against	against	against
Donald	donald	Donald
Trump	trump	Trump
,	,	,
but	but	but
to	to	to
then	then	then
govern	govern	govern
based	base	based
on	on	on
the	the	the
progressive	progress	progressive
goals	goal	goal
that	that	that
he	he	he
and	and	and
I	i	I
share	share	share
.	.	.
We	we	We
both	both	both
want	want	want
to	to	to
raise	rais	raise
the	the	the
minimum	minimum	minimum
wage	wage	wage
.	.	.
We	we	We
both	both	both
understand	understand	understand
you	you	you
have	have	have
got	got	got
to	to	to
rein	rein	rein
in	in	in
bad	bad	bad
actors	actor	actor
on	on	on
Wall	wall	Wall
Street	street	Street
and	and	and
in	in	in
corporate	corpor	corporate
America	america	America
to	to	to
make	make	make
sure	sure	sure
they	they	they
don	don	don
t	t	t
wreck	wreck	wreck
Main	main	Main
Street	street	Street
.	.	.
We	we	We
have	have	have
a	a	a
lot	lot	lot
of	of	of
the	the	the
same	same	same
goals	goal	goal
.	.	.
And	and	And
I	i	I
hope	hope	hope
we	we	we
can	can	can
unify	unifi	unify
around	around	around
them	them	them
.	.	.
And	and	And
she	she	she
s	s	s
absolutely	absolut	absolutely
correct	correct	correct
.	.	.
While	while	While
the	the	the
means	mean	mean
to	to	to
achieve	achiev	achieve
some	some	some
of	of	of
the	the	the
goals	goal	goal
are	are	are
different	differ	different
,	,	,
the	the	the
goals	goal	goal
,	,	,
nonetheless	nonetheless	nonetheless
,	,	,
are	are	are
pretty	pretti	pretty
much	much	much
the	the	the
same	same	same
.	.	.
While	while	While
Bernie	berni	Bernie
wants	want	want
to	to	to
overhaul	overhaul	overhaul
health	health	health
care	care	care
and	and	and
education	educ	education
in	in	in
one	one	one
fell	fell	fell
swoop	swoop	swoop
,	,	,
Hillary	hillari	Hillary
wants	want	want
the	the	the
same	same	same
things	thing	thing
,	,	,
but	but	but
done	done	done
over	over	over
time	time	time
.	.	.
It	it	It
s	s	s
all	all	all
about	about	about
unifying	unifi	unifying
behind	behind	behind
the	the	the
message	messag	message
and	and	and
making	make	making
sure	sure	sure
we	we	we
get	get	get
there	there	there
somehow	somehow	somehow
,	,	,
because	becaus	because
if	if	if
Donald	donald	Donald
Trump	trump	Trump
is	is	is
to	to	to
become	becom	become
president	presid	president
,	,	,
or	or	or
we	we	we
can	can	can
t	t	t
manage	manag	manage
to	to	to
turn	turn	turn
Congress	congress	Congress
blue	blue	blue
again	again	again
,	,	,
honestly	honest	honestly
,	,	,
it	it	it
won	won	won
t	t	t
really	realli	really
matter	matter	matter
who	who	who
is	is	is
president	presid	president
.	.	.
Everything	everyth	Everything
that	that	that
needs	need	need
to	to	to
get	get	get
done	done	done
would	would	would
be	be	be
virtually	virtual	virtually
impossible	imposs	impossible
see	see	see
also	also	also
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
with	with	with
Republican	republican	Republican
Congress	congress	Congress
.	.	.
No	no	No
matter	matter	matter
who	who	who
the	the	the
Democratic	democrat	Democratic
candidate	candid	candidate
for	for	for
president	presid	president
is	is	is
,	,	,
it	it	it
s	s	s
time	time	time
to	to	to
unite	unit	unite
behind	behind	behind
them	them	them
with	with	with
the	the	the
common	common	common
goal	goal	goal
of	of	of
progress	progress	progress
for	for	for
the	the	the
greater	greater	greater
good	good	good
,	,	,
not	not	not
just	just	just
the	the	the
few	few	few
on	on	on
top	top	top
.	.	.
Let	let	Let
s	s	s
do	do	do
this	this	this
,	,	,
progressives	progress	progressive
.	.	.
Watch	watch	Watch
the	the	the
whole	whole	whole
segment	segment	segment
from	from	from
Face	face	Face
the	the	the
Nation	nation	Nation
here	here	here
Featured	featur	Featured
Photo	photo	Photo
by	by	by
Scott	scott	Scott
Olson	olson	Olson
Getty	getti	Getty
Images	imag	Images
