Many	mani	Many
challenging	challeng	challenging
the	the	the
House	hous	House
and	and	and
Senate	senat	Senate
intel	intel	intel
committee	committe	committee
heads	head	head
to	to	to
review	review	review
the	the	the
evidence	evid	evidence
of	of	of
President	presid	President
Obama	obama	Obama
s	s	s
surveillance	surveil	surveillance
.	.	.

How	how	How
can	can	can
they	they	they
refuse	refus	refuse
to	to	to
see	see	see
the	the	the
truth	truth	truth
without	without	without
exposing	expos	exposing
their	their	their
political	polit	political
agenda	agenda	agenda
?	?	?
Well	well	Well
played	play	played
,	,	,
Team	team	Team
Trump	trump	Trump
,	,	,
well	well	well
played	play	played
.	.	.
Here	here	Here
s	s	s
the	the	the
play	play	play
FIRST	first	FIRST
THE	the	THE
LEAKER	leaker	LEAKER
White	white	White
House	hous	House
deputy	deputi	deputy
chief	chief	chief
of	of	of
staff	staff	staff
Katie	kati	Katie
Walsh	walsh	Walsh
,	,	,
a	a	a
top	top	top
aide	aid	aide
to	to	to
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
,	,	,
is	is	is
leaving	leav	leaving
his	his	his
administration	administr	administration
to	to	to
work	work	work
for	for	for
an	an	an
outside	outsid	outside
group	group	group
supporting	support	supporting
the	the	the
president	presid	president
s	s	s
agenda	agenda	agenda
,	,	,
three	three	three
Republicans	republican	Republicans
close	close	close
to	to	to
Trump	trump	Trump
said	said	said
.	.	.

Walsh	walsh	Walsh
was	was	wa
a	a	a
close	close	close
ally	alli	ally
of	of	of
White	white	White
House	hous	House
chief	chief	chief
of	of	of
staff	staff	staff
Reince	reinc	Reince
Priebus	priebus	Priebus
,	,	,
serving	serv	serving
as	as	a
his	his	his
chief	chief	chief
of	of	of
staff	staff	staff
when	when	when
Priebus	priebus	Priebus
led	led	led
the	the	the
Republican	republican	Republican
National	nation	National
Committee	committe	Committee
.	.	.

link	link	link
Katie	kati	Katie
Walsh	walsh	Walsh
was	was	wa
brought	brought	brought
on	on	on
specifically	specif	specifically
because	becaus	because
President	presid	President
Trump	trump	Trump
s	s	s
Chief	chief	Chief
-of-Staff	-of-staff	-of-Staff
Reince	reinc	Reince
Priebus	priebus	Priebus
asked	ask	asked
for	for	for
her	her	her
.	.	.

Walsh	walsh	Walsh
was	was	wa
a	a	a
#NeverTrumper	#nevertrump	#NeverTrumper
during	dure	during
the	the	the
2016	2016	2016
primary	primari	primary
.	.	.
Now	now	Now
fathom	fathom	fathom
the	the	the
renewed	renew	renewed
leverage	leverag	leverage
influence	influenc	influence
President	presid	President
Trump	trump	Trump
and	and	and
Bannon	bannon	Bannon
carries	carri	carry
over	over	over
Priebus	priebus	Priebus
.	.	.
The	the	The
article	articl	article
written	written	written
by	by	by
Maggie	maggi	Maggie
Haberman	haberman	Haberman
outlined	outlin	outlined
two	two	two
National	nation	National
Security	secur	Security
Council	council	Council
members	member	member
as	as	a
the	the	the
people	peopl	people
who	who	who
facilitated	facilit	facilitated
the	the	the
intelligence	intellig	intelligence
information	inform	information
for	for	for
Devin	devin	Devin
Nunes	nune	Nunes
to	to	to
review	review	review
The	the	The
congressman	congressman	congressman
Nunes	nune	Nunes
has	has	ha
refused	refus	refused
to	to	to
identify	identifi	identify
his	his	his
sources	sourc	source
,	,	,
saying	say	saying
he	he	he
needed	need	needed
to	to	to
protect	protect	protect
them	them	them
so	so	so
others	other	others
would	would	would
feel	feel	feel
safe	safe	safe
coming	come	coming
to	to	to
the	the	the
committee	committe	committee
with	with	with
sensitive	sensit	sensitive
information	inform	information
.	.	.

He	he	He
disclosed	disclos	disclosed
the	the	the
existence	exist	existence
of	of	of
the	the	the
intelligence	intellig	intelligence
reports	report	report
on	on	on
March	march	March
22	22	22
,	,	,
and	and	and
in	in	in
his	his	his
public	public	public
comments	comment	comment
he	he	he
has	has	ha
described	describ	described
his	his	his
sources	sourc	source
as	as	a
whistle	whistl	whistle
-blowers	-blower	-blowers
trying	tri	trying
to	to	to
expose	expos	expose
wrongdoing	wrongdo	wrongdoing
at	at	at
great	great	great
risk	risk	risk
to	to	to
themselves	themselv	themselves
.	.	.
Several	sever	Several
current	current	current
American	american	American
officials	offici	official
identified	identifi	identified
the	the	the
White	white	White
House	hous	House
officials	offici	official
as	as	a
Ezra	ezra	Ezra
Cohen	cohen	Cohen
-Watnick	-watnick	-Watnick
,	,	,
the	the	the
senior	senior	senior
director	director	director
for	for	for
intelligence	intellig	intelligence
at	at	at
the	the	the
National	nation	National
Security	secur	Security
Council	council	Council
,	,	,
and	and	and
Michael	michael	Michael
Ellis	elli	Ellis
,	,	,
a	a	a
lawyer	lawyer	lawyer
who	who	who
works	work	work
on	on	on
national	nation	national
security	secur	security
issues	issu	issue
at	at	at
the	the	the
White	white	White
House	hous	House
Counsel	counsel	Counsel
s	s	s
Office	offic	Office
and	and	and
formerly	former	formerly
worked	work	worked
on	on	on
the	the	the
staff	staff	staff
of	of	of
the	the	the
House	hous	House
Intelligence	intellig	Intelligence
Committee	committe	Committee
.	.	.
A	a	A
White	white	White
House	hous	House
spokesperson	spokesperson	spokesperson
declined	declin	declined
to	to	to
comment	comment	comment
.	.	.
Mr	mr	Mr
.	.	.
Cohen	cohen	Cohen
-Watnick	-watnick	-Watnick
is	is	is
a	a	a
former	former	former
Defense	defens	Defense
Intelligence	intellig	Intelligence
Agency	agenc	Agency
official	offici	official
who	who	who
was	was	wa
originally	origin	originally
brought	brought	brought
to	to	to
the	the	the
White	white	White
House	hous	House
by	by	by
Michael	michael	Michael
T	t	T
.	.	.

Flynn	flynn	Flynn
,	,	,
the	the	the
former	former	former
national	nation	national
security	secur	security
adviser	advis	adviser
.	.	.

The	the	The
officials	offici	official
said	said	said
that	that	that
this	this	this
month	month	month
,	,	,
shortly	short	shortly
after	after	after
Mr	mr	Mr
.	.	.
Trump	trump	Trump
wrote	wrote	wrote
on	on	on
Twitter	twitter	Twitter
about	about	about
being	be	being
wiretapped	wiretap	wiretapped
on	on	on
the	the	the
orders	order	order
of	of	of
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
,	,	,
Mr	mr	Mr
.	.	.
Cohen	cohen	Cohen
-Watnick	-watnick	-Watnick
began	began	began
reviewing	review	reviewing
highly	high	highly
classified	classifi	classified
reports	report	report
detailing	detail	detailing
the	the	the
intercepted	intercept	intercepted
communications	communic	communication
of	of	of
foreign	foreign	foreign
officials	offici	official
.	.	.
Officials	offici	Officials
said	said	said
the	the	the
reports	report	report
consisted	consist	consisted
primarily	primarili	primarily
of	of	of
ambassadors	ambassador	ambassador
and	and	and
other	other	other
foreign	foreign	foreign
officials	offici	official
talking	talk	talking
about	about	about
how	how	how
they	they	they
were	were	were
trying	tri	trying
to	to	to
develop	develop	develop
contacts	contact	contact
within	within	within
Mr	mr	Mr
.	.	.
Trump	trump	Trump
s	s	s
family	famili	family
and	and	and
inner	inner	inner
circle	circl	circle
in	in	in
advance	advanc	advance
of	of	of
his	his	his
inauguration	inaugur	inauguration
.	.	.
The	the	The
officials	offici	official
spoke	spoke	spoke
on	on	on
the	the	the
condition	condit	condition
of	of	of
anonymity	anonym	anonymity
to	to	to
describe	describ	describe
the	the	the
intelligence	intellig	intelligence
and	and	and
to	to	to
avoid	avoid	avoid
angering	anger	angering
Mr	mr	Mr
.	.	.
Cohen	cohen	Cohen
-Watnick	-watnick	-Watnick
and	and	and
Mr	mr	Mr
.	.	.
Ellis	elli	Ellis
.	.	.

Officials	offici	Officials
say	say	say
Mr	mr	Mr
.	.	.
Cohen	cohen	Cohen
-Watnick	-watnick	-Watnick
has	has	ha
been	been	been
reviewing	review	reviewing
the	the	the
reports	report	report
from	from	from
his	his	his
fourth	fourth	fourth
-floor	-floor	-floor
office	offic	office
in	in	in
the	the	the
Eisenhower	eisenhow	Eisenhower
Executive	execut	Executive
Office	offic	Office
Building	build	Building
,	,	,
where	where	where
the	the	the
National	nation	National
Security	secur	Security
Council	council	Council
is	is	is
based	base	based
.	.	.
But	but	But
the	the	the
officials	offici	official
description	descript	description
of	of	of
the	the	the
intelligence	intellig	intelligence
is	is	is
in	in	in
line	line	line
with	with	with
Mr	mr	Mr
.	.	.
Nunes	nune	Nunes
s	s	s
own	own	own
characterization	character	characterization
of	of	of
the	the	the
material	materi	material
,	,	,
which	which	which
he	he	he
has	has	ha
said	said	said
was	was	wa
not	not	not
related	relat	related
to	to	to
the	the	the
Russia	russia	Russia
investigations	investig	investigation
when	when	when
he	he	he
disclosed	disclos	disclosed
its	it	it
existence	exist	existence
in	in	in
a	a	a
hastily	hastili	hastily
arranged	arrang	arranged
news	news	news
conference	confer	conference
.	.	.
According	accord	According
to	to	to
Mr	mr	Mr
.	.	.
Nunes	nune	Nunes
,	,	,
he	he	he
received	receiv	received
a	a	a
phone	phone	phone
call	call	call
from	from	from
a	a	a
source	sourc	source
the	the	the
night	night	night
before	befor	before
,	,	,
and	and	and
then	then	then
rushed	rush	rushed
to	to	to
meet	meet	meet
the	the	the
person	person	person
on	on	on
the	the	the
grounds	ground	ground
of	of	of
the	the	the
White	white	White
House	hous	House
.	.	.

He	he	He
has	has	ha
explained	explain	explained
the	the	the
choice	choic	choice
of	of	of
location	locat	location
by	by	by
saying	say	saying
he	he	he
needed	need	needed
access	access	access
to	to	to
a	a	a
secure	secur	secure
place	place	place
where	where	where
people	peopl	people
with	with	with
security	secur	security
clearances	clearanc	clearance
could	could	could
legally	legal	legally
view	view	view
classified	classifi	classified
information	inform	information
,	,	,
though	though	though
such	such	such
facilities	facil	facility
can	can	can
also	also	also
be	be	be
found	found	found
in	in	in
the	the	the
Capitol	capitol	Capitol
building	build	building
and	and	and
at	at	at
other	other	other
locations	locat	location
across	across	across
Washington	washington	Washington
.	.	.
The	the	The
next	next	next
day	day	day
,	,	,
Mr	mr	Mr
.	.	.
Nunes	nune	Nunes
gave	gave	gave
a	a	a
news	news	news
briefing	brief	briefing
at	at	at
the	the	the
Capitol	capitol	Capitol
and	and	and
then	then	then
returned	return	returned
to	to	to
the	the	the
White	white	White
House	hous	House
to	to	to
brief	brief	brief
President	presid	President
Trump	trump	Trump
on	on	on
the	the	the
information	inform	information
.	.	.

link	link	link
With	with	With
Ezra	ezra	Ezra
Cohen	cohen	Cohen
-Watnick	-watnick	-Watnick
,	,	,
the	the	the
senior	senior	senior
director	director	director
for	for	for
intelligence	intellig	intelligence
at	at	at
the	the	the
National	nation	National
Security	secur	Security
Council	council	Council
,	,	,
and	and	and
Michael	michael	Michael
Ellis	elli	Ellis
,	,	,
a	a	a
lawyer	lawyer	lawyer
who	who	who
works	work	work
on	on	on
national	nation	national
security	secur	security
issues	issu	issue
at	at	at
the	the	the
White	white	White
House	hous	House
Counsel	counsel	Counsel
s	s	s
Office	offic	Office
,	,	,
outed	out	outed
as	as	a
the	the	the
source	sourc	source
of	of	of
the	the	the
information	inform	information
for	for	for
Chairman	chairman	Chairman
Nunes	nune	Nunes
the	the	the
entire	entir	entire
media	media	medium
narrative	narrat	narrative
of	of	of
controversy	controversi	controversy
collapses	collaps	collapse
as	as	a
a	a	a
nothingburger	nothingburg	nothingburger
.	.	.
Both	both	Both
Ezra	ezra	Ezra
Cohen	cohen	Cohen
-Watnick	-watnick	-Watnick
and	and	and
Michael	michael	Michael
Ellis	elli	Ellis
are	are	are
cleared	clear	cleared
and	and	and
authorized	author	authorized
to	to	to
act	act	act
on	on	on
behalf	behalf	behalf
of	of	of
the	the	the
President	presid	President
in	in	in
such	such	such
matters	matter	matter
.	.	.

The	the	The
President	presid	President
s	s	s
National	nation	National
Security	secur	Security
Council	council	Council
has	has	ha
a	a	a
responsibility	respons	responsibility
to	to	to
follow	follow	follow
intelligence	intellig	intelligence
protocols	protocol	protocol
to	to	to
draw	draw	draw
attention	attent	attention
to	to	to
matters	matter	matter
of	of	of
compromise	compromis	compromise
;	;	;
their	their	their
notification	notif	notification
of	of	of
Intel	intel	Intel
Chairman	chairman	Chairman
Devin	devin	Devin
Nunes	nune	Nunes
is	is	is
following	follow	following
that	that	that
protocol	protocol	protocol
.	.	.

So	so	So
the	the	the
administration	administr	administration
action	action	action
follows	follow	follows
With	with	With
the	the	the
long	long	long
-sought	-sought	-sought
White	white	White
House	hous	House
leaker	leaker	leaker
Katie	kati	Katie
Walsh	walsh	Walsh
identified	identifi	identified
and	and	and
released	releas	released
,	,	,
and	and	and
the	the	the
controversy	controversi	controversy
of	of	of
the	the	the
Nunes	nune	Nunes
leaker	leaker	leaker
a	a	a
nothingburger	nothingburg	nothingburger
,	,	,
the	the	the
White	white	White
House	hous	House
now	now	now
moves	move	move
forward	forward	forward
with	with	with
a	a	a
brilliant	brilliant	brilliant
request	request	request
to	to	to
the	the	the
Intelligence	intellig	Intelligence
Oversight	oversight	Oversight
Gang	gang	Gang
-of-Eight	-of-eight	-of-Eight
to	to	to
come	come	come
and	and	and
review	review	review
the	the	the
aforementioned	aforement	aforementioned
discovery	discoveri	discovery
of	of	of
President	presid	President
Obama	obama	Obama
surveillance	surveil	surveillance
.	.	.
For	for	For
entire	entir	entire
story	stori	story
Conservative	conserv	Conservative
Treehouse	treehous	Treehouse

