Using	use	Using
But	but	But
a	a	a
disgusted	disgust	disgusted
Tapper	tapper	Tapper
crushed	crush	crushed
Giuliani	giuliani	Giuliani
s	s	s
attempt	attempt	attempt
to	to	to
defend	defend	defend
Trump	trump	Trump
by	by	by
pointing	point	pointing
out	out	out
that	that	that
Anthony	anthoni	Anthony
Gilberthorpe	gilberthorp	Gilberthorpe
was	was	wa
a	a	a
self	self	self
-claimed	-claim	-claimed
pimp	pimp	pimp
for	for	for
pedophiles	pedophil	pedophile
who	who	who
delivered	deliv	delivered
underage	underag	underage
boys	boy	boy
to	to	to
British	british	British
politicians	politician	politician
,	,	,
hardly	hard	hardly
a	a	a
credible	credibl	credible
witness	wit	witness
and	and	and
certainly	certain	certainly
not	not	not
the	the	the
kind	kind	kind
of	of	of
witness	wit	witness
an	an	an
attorney	attorney	attorney
worth	worth	worth
their	their	their
salt	salt	salt
would	would	would
want	want	want
on	on	on
the	the	the
stand	stand	stand
.	.	.
Tapper	tapper	Tapper
then	then	then
cornered	corner	cornered
Giuliani	giuliani	Giuliani
about	about	about
his	his	his
support	support	support
of	of	of
the	the	the
women	women	woman
who	who	who
have	have	have
accused	accus	accused
Bill	bill	Bill
Clinton	clinton	Clinton
of	of	of
sexual	sexual	sexual
misconduct	misconduct	misconduct
,	,	,
noting	note	noting
that	that	that
Donald	donald	Donald
Trump	trump	Trump
has	has	ha
paraded	parad	paraded
these	these	these
women	women	woman
around	around	around
and	and	and
continues	continu	continues
to	to	to
talk	talk	talk
about	about	about
sexual	sexual	sexual
assault	assault	assault
even	even	even
as	as	a
his	his	his
surrogates	surrog	surrogate
complain	complain	complain
that	that	that
the	the	the
media	media	medium
hasn	hasn	hasn
t	t	t
moved	move	moved
on	on	on
to	to	to
covering	cover	covering
something	someth	something
else	els	else
.	.	.
Hypocritically	hypocrit	Hypocritically
,	,	,
instead	instead	instead
of	of	of
answering	answer	answering
Tapper	tapper	Tapper
,	,	,
Giuliani	giuliani	Giuliani
did	did	did
just	just	just
that	that	that
and	and	and
complained	complain	complained
about	about	about
the	the	the
media	media	medium
and	and	and
insisted	insist	insisted
that	that	that
they	they	they
move	move	move
on	on	on
from	from	from
focusing	focus	focusing
on	on	on
the	the	the
sexual	sexual	sexual
assault	assault	assault
allegations	alleg	allegation
against	against	against
Trump	trump	Trump
.	.	.
In	in	In
fact	fact	fact
,	,	,
Giuliani	giuliani	Giuliani
was	was	wa
so	so	so
desperate	desper	desperate
to	to	to
stop	stop	stop
talking	talk	talking
about	about	about
the	the	the
sexual	sexual	sexual
assault	assault	assault
allegations	alleg	allegation
that	that	that
he	he	he
rambled	rambl	rambled
on	on	on
and	and	and
on	on	on
for	for	for
the	the	the
remainder	remaind	remainder
of	of	of
the	the	the
interview	interview	interview
about	about	about
other	other	other
stuff	stuff	stuff
Trump	trump	Trump
has	has	ha
talked	talk	talked
about	about	about
.	.	.
Here	here	Here
s	s	s
the	the	the
video	video	video
via	via	via
YouTube	youtub	YouTube
Donald	donald	Donald
Trump	trump	Trump
should	should	should
have	have	have
to	to	to
answer	answer	answer
for	for	for
these	these	these
allegations	alleg	allegation
all	all	all
the	the	the
way	way	way
through	through	through
Election	elect	Election
Day	day	Day
and	and	and
so	so	so
should	should	should
his	his	his
supporters	support	supporter
.	.	.
These	these	These
are	are	are
serious	serious	serious
accusations	accus	accusation
that	that	that
have	have	have
a	a	a
lot	lot	lot
of	of	of
credibility	credibl	credibility
considering	consid	considering
Trump	trump	Trump
has	has	ha
openly	open	openly
bragged	brag	bragged
about	about	about
groping	grope	groping
women	women	woman
whenever	whenev	whenever
he	he	he
wants	want	want
even	even	even
if	if	if
they	they	they
don	don	don
t	t	t
want	want	want
him	him	him
to	to	to
do	do	do
so	so	so
.	.	.
And	and	And
Trump	trump	Trump
has	has	ha
only	onli	only
made	made	made
things	thing	thing
more	more	more
difficult	difficult	difficult
for	for	for
himself	himself	himself
by	by	by
bringing	bring	bringing
in	in	in
Bill	bill	Bill
Clinton	clinton	Clinton
s	s	s
accusers	accus	accuser
and	and	and
trash	trash	trash
talking	talk	talking
the	the	the
women	women	woman
who	who	who
have	have	have
come	come	come
forward	forward	forward
against	against	against
him	him	him
.	.	.
Republicans	republican	Republicans
have	have	have
also	also	also
made	made	made
this	this	this
more	more	more
of	of	of
a	a	a
story	stori	story
by	by	by
continuing	continu	continuing
to	to	to
support	support	support
Trump	trump	Trump
despite	despit	despite
his	his	his
comments	comment	comment
and	and	and
behavior	behavior	behavior
.	.	.
So	so	So
really	realli	really
,	,	,
the	the	the
only	onli	only
one	one	one
Giuliani	giuliani	Giuliani
should	should	should
blame	blame	blame
for	for	for
the	the	the
media	media	medium
circus	circus	circus
surrounding	surround	surrounding
Trump	trump	Trump
is	is	is
Trump	trump	Trump
himself	himself	himself
.	.	.
But	but	But
again	again	again
,	,	,
that	that	that
would	would	would
require	requir	require
Giuliani	giuliani	Giuliani
taking	take	taking
his	his	his
lips	lip	lip
off	off	off
of	of	of
Trump	trump	Trump
s	s	s
ass	ass	as
first	first	first
.	.	.
Featured	featur	Featured
Image	imag	Image
Screenshot	screenshot	Screenshot
