Ruline	rulin	Ruline
.	.	.

If	if	If
he	he	he
s	s	s
elected	elect	elected
president	presid	president
,	,	,
it	it	it
s	s	s
going	go	going
to	to	to
be	be	be
a	a	a
national	nation	national
disaster	disast	disaster
which	which	which
we	we	we
will	will	will
likely	like	likely
take	take	take
years	year	year
to	to	to
recover	recov	recover
from	from	from
.	.	.

The	the	The
only	onli	only
way	way	way
to	to	to
stop	stop	stop
Trump	trump	Trump
is	is	is
to	to	to
vote	vote	vote
for	for	for
Hillary	hillari	Hillary
.	.	.

Here	here	Here
s	s	s
the	the	the
video	video	video
via	via	via
YouTube	youtub	YouTube
.	.	.
And	and	And
by	by	by
voting	vote	voting
for	for	for
Hillary	hillari	Hillary
,	,	,
Steininger	steining	Steininger
will	will	will
be	be	be
voting	vote	voting
for	for	for
history	histori	history
AND	and	AND
against	against	against
the	the	the
end	end	end
of	of	of
America	america	America
as	as	a
we	we	we
know	know	know
it	it	it
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
screen	screen	screen
capture	captur	capture

